metabolites Bger Esin Pame Pful
CPD0001 26.4770787331346 22.1262058777995 24.6447761542207 24.8508036176944
CPD0002 19.0814288762721 20.0357589697424 20.8129678505489 20.6341130710419
CPD0003 23.776981892814 20.6312854217913 23.4448491679944 23.0325603305833
CPD0004 24.8721959143495 20.7683460982832 23.6663117295742 23.3479549423479
CPD0005 23.4082929034191 25.4653564093605 23.3067807243043 25.4962806019773
CPD0006 29.0442640859491 23.2371275232541 27.4448047471054 27.1433411624591
CPD0007 18.3059663463284 17.9868829177736 21.172555864192 21.0758192566493
CPD0008 18.7107767360017 19.8591290034794 21.0213331704801 21.0421619296806
CPD0009 25.0746571676601 21.8394173785134 24.3549631179967 24.3516680602442
CPD0010 20.7026493569999 22.7885674752762 23.8049966850211 23.5624817643636
CPD0011 21.1571071493575 22.4249256279798 22.2777792272385 20.0630251226691
CPD0012 15.4975866783604 17.9609811355701 19.6554324512961 18.8737445587271
CPD0013 27.609407013336 29.1151873198447 28.1417033877882 28.0320784279933
CPD0014 23.2693250351301 24.2872126232341 23.8178088294258 23.9927738880775
CPD0015 28.0212918930757 27.7961122429736 28.6197768227912 28.3036105293274
CPD0016 24.4690041833098 23.6752895506054 24.2967194191082 26.1256364557932
CPD0017 21.5655579767955 22.7375291688144 22.5422771605744 25.7598206682846
CPD0018 19.3043295162827 20.6537266793046 21.1447779523787 22.4340417423252
CPD0019 22.1619789673605 23.4648230913789 25.4342645092355 24.2583688532807
CPD0020 26.0670790886466 25.606839697237 26.1189684337268 26.030419276138
CPD0021 26.1291006543741 24.3758370867322 26.2045130424394 25.9094194039985
CPD0022 23.9641796716881 22.3603752838615 21.2606947554612 22.5211251069618
CPD0023 24.3275855615465 18.81106218823 23.3447512745666 23.4022860954051
CPD0024 22.5004700098268 19.7597800571987 21.8888260112246 21.6056849377484
CPD0025 24.1086921660795 22.4698149345934 23.4059218580383 22.9021194536432
CPD0026 21.612641620092 21.5082132982054 22.3963491683653 22.6736373591334
CPD0027 23.2846179192304 22.8415226076376 21.6912897019948 21.3161629337589
CPD0028 27.0992390147742 24.038659296356 25.365837492335 25.7709207078045
CPD0029 23.4325816622298 21.2180641398395 21.9931844631021 21.957755780338
CPD0030 22.4725408536229 21.0897120289927 22.7573202972462 23.433332035342
CPD0031 19.7941508476704 21.9808155006355 20.4731619990921 20.0953296190373
CPD0032 20.6373824817144 21.01849465973 24.9945029882767 22.4697383111167
CPD0033 24.9862945596809 27.107663249731 25.5032546395568 26.1188479070112
CPD0034 21.612641620092 21.5082132982054 22.3963491683653 22.6736373591334
CPD0035 21.80852130717 19.8787474875852 20.7051646839314 21.3945524109859
CPD0036 20.2058971701658 20.0901431347212 21.2760635486485 20.7538391026207
CPD0037 22.6773485787614 21.9995614139145 22.0888220521817 22.6603304392778
CPD0038 18.4021038483599 19.3928117309822 21.2292337444621 21.9582876962303
