pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
ko00520	-0.0735806405882325	0.226011922961932	-2.83460178598372	0.00908747789898383	0.055615364741781	-3.15609617309825	-1.25480521020314	Pful_down	0.208244909445595	0.209747364810269	0.197997068189043	0.211133364134295	0.151935288069951	0.248718074222809	0.18175826447264	0.182766454876069	0.148293429187718	0.181985116402518	0.140935656754896	0.189219733430703	0.209919186827324	0.194048379307101	0.227951851305782	0.208146942212755	0.175223139986959	0.198184567323219	0.325780986042283	0.309039649408848	0.33654686295597	0.331759786377954	0.35882033073885	0.296129744602809
ko00565	-0.0940315888420661	-0.00455739338157694	-4.69087190219071	8.82476339896411e-05	0.00192884114291644	1.28376272629814	-2.71470353886504	Pful_down	-0.048815945343554	-0.0315837724894054	-0.0244699327912454	-0.0186909713217272	-0.0543775706561221	0.00692143350870242	-0.0711741832569196	-0.0771169006072495	-0.0833254391584576	-0.0345554749337188	-0.132700147298744	-0.0516143648236693	0.0139708594004248	0.0114275812157974	0.037285297706957	-0.021802739111754	0.0244106549085923	0.0143612740501939	0.0494509312263496	0.0628152425369215	0.0760744927550868	0.082852126234634	0.0870674510887188	0.0742126560023419
ko00513	-0.0567581023854852	0.107951677821471	-4.77780886630545	7.06406644379283e-05	0.00180133694316717	1.50067284534639	-2.7444050440536	Pful_down	0.12380666392205	0.123412849723086	0.0823215438420131	0.125728896441886	0.0780620407053425	0.117712036426777	0.0818425607689004	0.0640612456457899	0.0547594032933428	0.0636904960446006	0.0518069627147244	0.0761379377267832	0.144641145166829	0.142192395176769	0.182931885009073	0.165970794118784	0.120517478209302	0.144068185417787	0.105809930037007	0.119618601934562	0.111139225352593	0.118301527042402	0.0991837916193936	0.0931226713755021
ko04391	-0.0630159585803445	0.067469236641227	-4.88613152122107	5.35458047933304e-05	0.00163850162667591	1.77096088350965	-2.78555312312139	Pful_down	0.0574801161982794	0.0665272985385297	0.0351154017423346	0.0731608326382776	0.0656098878518603	0.054979008490165	0.0247058091007639	0.0377851934218786	-0.00221808388173247	0.0403349747371076	-0.000664742375295174	0.0213004552330894	0.12223340354712	0.107233294992631	0.119125378680615	0.12459936026517	0.122855164987317	0.122516521988678	0.0796494852496472	0.0639286459894699	0.05303260248215	0.0745659358942151	0.0804857448152526	0.074919988801924
ko00830	-0.119293321314722	0.0941032880332003	-4.89813433531429	5.1927882710015e-05	0.00163850162667591	1.8009061759033	-2.78555312312139	Pful_down	0.0880034936357884	0.0447163695472809	0.0823572488461375	0.0510753294263157	0.0650596021568536	0.0206117044127854	-0.0056909392992323	0.0256211204521634	0.0148839148639737	0.00274633313769488	-0.0130359547279221	0.0032753078562747	0.167165664244799	0.138956388889445	0.147880237368802	0.158652854853907	0.265307003087341	0.197632486551129	0.116957284717999	0.158011763221222	0.116448332347925	0.170947650057037	0.115789172321754	0.125106544827333
ko00532	-0.210362423015773	0.0176785830437909	-6.55946768110605	8.16913412019232e-07	6.24938760194713e-05	5.8665597673945	-4.20416253851606	Pful_down	0.0705029411724088	0.0688365810649361	0.0476026662412777	0.0834610902227545	0.067672534860641	0.0597886293379916	-0.121870687054305	-0.159410855567704	-0.173696210643344	-0.130717031166577	-0.134367049028941	-0.12049757184736	-0.0183098521845433	-0.0352345648937663	-0.0346996536337611	-0.0454376090836987	0.0328248009870546	-0.0122137239217485	0.196220782568245	0.142921021007306	0.136537532445042	0.152749805559275	0.154826947195772	0.196795469414027
ko00534	-0.224828746727747	-0.0223086339316345	-8.29149273590587	1.49485019079404e-08	2.28712079191489e-06	9.77528491003977	-5.64071089797446	Pful_down	0.00568628044804779	0.00125805391778671	-0.0112487941726189	0.0163433674351125	-0.00696650601439752	-0.0194158556917928	-0.173778695116523	-0.211231641597126	-0.222199733415639	-0.171124096929875	-0.189021767517393	-0.178225229288111	0.107074441531227	0.0800651471144685	0.133496629279794	0.0802865342332589	0.175760350435902	0.138917116345716	0.00557478785864665	-0.0226450287467469	-0.0408489624550802	-0.023583759202463	-0.0214661233342932	0.0118862705228715
ko00515	-0.160657602565928	-0.242714704059143	-2.85443916179827	0.00866292636744558	0.0378693638348335	-2.94225166367927	-1.42171199050479	Pame_down	-0.383740242207583	-0.388783903840239	-0.31775372728699	-0.348410331611936	-0.392984955336606	-0.347574275618182	-0.251562420953128	-0.27303302194745	-0.296454165459535	-0.263787367633159	-0.293849260109482	-0.286556925833801	-0.0493454959932146	-0.00585562974936415	-0.0241902406123055	0.0245524290214615	-0.0256794040068092	0.00468474776479253	-0.255843157472861	-0.345808862032024	-0.322772034753394	-0.358485475265283	-0.319240764619309	-0.30267841186303
ko00603	-0.141977970107387	0.0488992672063553	-2.8562397145165	0.00862637767589762	0.0378693638348335	-2.9383557772381	-1.42171199050479	Pame_down	-0.00881745089368801	-0.0194293158457943	-0.110289617380014	-0.0782699977058466	-0.131548033482725	0.00284915306295841	0.0198287961888154	0.0685549857698834	0.0149450720331656	-0.0263032188583575	0.000584016107386349	-0.00658885450093549	-0.00221018237231643	-0.0280224407470393	0.00403632081765568	-0.0288163898530117	0.0153465313846736	-0.0055247025958757	0.247763815130084	0.222943602731461	0.270403127176665	0.240567582994046	0.253599960322879	0.257979653468458
ko00600	-0.0728118187087101	0.147739206799582	-3.31995762903581	0.0028264322803311	0.0172977655556264	-1.89978297587021	-1.76200999337613	Pame_down	0.113479938001552	0.0910043372459538	0.080671744786034	0.107218434896677	0.0664969413050996	0.0999106603729778	0.134384571737388	0.146500131935116	0.108314226051791	0.0857353102393593	0.0957426827753069	0.154698636262857	0.1307417804705	0.141018087480883	0.154224052417441	0.143346603866051	0.150891526241911	0.13370073764131	0.215241931253413	0.238567129819721	0.240230359296958	0.246398720226495	0.239520522305784	0.227701896559379
ko00330	-0.0700664543462343	0.227390892798798	-3.95837874739735	0.000571346641793817	0.00485644645524745	-0.386398433053935	-2.31368139521579	Pame_down	0.166627923631574	0.182024953356877	0.19486283078046	0.164245442188688	0.166189459949984	0.175095702327153	0.22873037909896	0.211740952188685	0.214653959481994	0.197305202250037	0.244937925807935	0.215730277507491	0.260545933776709	0.195281432999252	0.207235164399038	0.2134815110703	0.214305884424925	0.226591090779163	0.260086684822236	0.327051458548101	0.303652515980322	0.312891477164564	0.308387280005058	0.265725984631655
ko00500	-0.0732559053437384	0.121873767806164	-4.41283774748249	0.00017902735217363	0.00228259874021378	0.723114567099175	-2.64157042676081	Pame_down	0.0851497903361507	0.0511000909609081	0.0919846770356492	0.0897540337647108	0.0394097771902093	0.0441926635025323	0.111981878062711	0.0690284827447859	0.123569818127142	0.107159507808226	0.108949326180879	0.125930272224199	0.1951898077545	0.190298261047963	0.188107922514211	0.172072633626791	0.18099554109461	0.168530151062684	0.091797560883699	0.150623657054648	0.128470297061599	0.175815952007121	0.128307327998875	0.106550997303128
ko04330	-0.0697131501356419	0.0522365444319335	-4.55340942524438	0.000124864983076297	0.00173675840097031	1.06879048135326	-2.76026059169862	Pame_down	0.00712288441361746	0.00646191615094743	-0.0220530070529599	0.0138824997988893	-0.00297338588469741	-0.00273081644458451	0.0269592516565911	0.00730091342051976	0.00417591949437909	0.0432917581288572	0.0411441557742184	0.0319037006875335	0.102011850538658	0.103031023711865	0.137534512818507	0.0946187094187254	0.0925690934604127	0.0947537291613384	0.0891059838884592	0.0718886972086806	0.0648027844131983	0.0793678232721347	0.0771954718382447	0.0923115964928678
ko00511	-0.143754878290401	0.0252198738176862	-4.72339909264761	8.07578626701477e-05	0.00137288366539251	1.48741773168508	-2.86236626219416	Pame_down	-0.0727805883393844	-0.0185937607185788	-0.158135840328076	-0.0377819050635368	-0.132669600302994	-0.0756160146481179	0.0603248015421267	0.0601160069390856	0.0273803938972185	-0.0468194437302554	0.0222418515204622	0.0528513793653062	0.130263001239252	0.131905529543202	0.135149929154967	0.159072894347403	0.168315388794144	0.169889051117775	0.013790146179782	-0.0435295072951493	0.0245371848904719	0.0286887106120102	0.00567083695718703	0.00100652595016893
ko00062	-0.0732049391874685	0.23565199784312	-5.05416141858865	3.46425319332645e-05	0.000757186769398495	2.30172837692558	-3.12079698322835	Pame_down	0.211190955801275	0.161411908241713	0.183047601777635	0.166925788774788	0.153074452934649	0.208839053185051	0.265926501818875	0.281425003712285	0.293873551505541	0.260762269059975	0.239228667707626	0.29327678394769	0.260846299912475	0.196986315976874	0.238977664367538	0.279860599271038	0.241833764795857	0.244318468055948	0.195832254210201	0.231987829901922	0.294254322730157	0.217458720339838	0.296219745364615	0.238089424841311
ko00512	-0.15602549399011	0.0747623952724843	-5.97778216324355	3.36800230747149e-06	0.000128826088260784	4.54721363270308	-3.88999618014065	Pame_down	-0.0353589761587837	-0.0209385612825533	-0.0560790562247886	-0.0440674893893852	-0.0334598423012818	-0.0636364259637969	0.0313974961557804	0.0320016793411063	0.0535654464811912	0.0755499185827178	0.0469413116136807	0.0346043602024932	0.185293894036043	0.208354072035968	0.214567336009548	0.198270259132381	0.185833809106899	0.166309882614283	0.138656035073691	0.0995966474552272	0.0967107080143091	0.104889028691703	0.0888833769795522	0.0864125763336381
ko00590	-0.105710828601776	0.0451342001820968	-6.06809266126007	2.69194415738442e-06	0.000128826088260784	4.76297168315378	-3.88999618014065	Pame_down	-0.0320067239224206	-0.0500217334726471	-0.0272111889417666	-0.0511177228193219	-0.0716240919072203	0.0270879334479673	0.00279561157235733	0.05237156449811	0.036814399268743	0.0366318331153913	0.00222660296743764	0.0333056979360423	0.117203998175708	0.103496154520076	0.0848168418403324	0.0531373523344282	0.115293605411142	0.0759474628451441	0.0707716725869632	0.103281562164364	0.118345897223961	0.0838624420832956	0.12112289074459	0.0766887426976473
ko00514	-0.166069040847404	0.0869588326984251	-6.14367622623321	2.23307170821917e-06	0.000128826088260784	4.94289116775474	-3.88999618014065	Pame_down	-0.0466389379188078	-0.0184161121521768	-0.0374849806408263	-0.0527976656363382	-0.0241235248077452	-0.0460964664668711	0.0363561497670436	0.0296414581870626	0.0413671788186349	0.0584212087345409	0.0560085492639519	0.0314637489086712	0.142447372079687	0.160250764217443	0.142412241282973	0.149729371872539	0.158052618573443	0.13925614078177	0.236892977154235	0.18880382732449	0.183530486792834	0.182749463609244	0.175974568626252	0.199211546390152
ko04146	-0.0330347819044698	0.189631448172232	-3.44666944988538	0.00206371704031023	0.00544394322702527	-2.72449689020491	-2.26408641254993	Bger_down	0.197476793659357	0.192961236638667	0.202675218307538	0.196674919375686	0.166476903604442	0.193436746133224	0.201107977715905	0.174684554054898	0.213090954097608	0.217729271547706	0.161005087386127	0.216157911484055	0.219218534910813	0.195496681532653	0.207537160305439	0.198792045876098	0.195815701503895	0.211684887536181	0.121929656109536	0.160123649517299	0.193352411616019	0.190793931422506	0.17133014729514	0.151602374502779
ko00380	-0.0306696212916023	0.320337417976238	-3.60093686383103	0.00140497494124184	0.00390838483654548	-2.35034225564003	-2.40800268032697	Bger_down	0.326526929128093	0.33488998290776	0.348264516053968	0.3460299335716	0.302193779960523	0.339762408336826	0.327440271221128	0.31410542559269	0.329288492516005	0.322809082772759	0.340997899899336	0.334157975153261	0.325820589320911	0.298804581245301	0.324082276776533	0.329150513898804	0.298814334786541	0.360947826242454	0.273047061233019	0.301135211553439	0.303750304301259	0.297316100919631	0.320817197181515	0.287945336856355
ko04136	-0.0399026645146511	0.182396933577843	-3.66227434338163	0.00120466768434204	0.00341322510563579	-2.20016559838968	-2.46683506861804	Bger_down	0.190644281448305	0.190345189820311	0.180133328323506	0.191376278476658	0.172701334681112	0.155536777678291	0.169479221757593	0.148757757002559	0.17961829681377	0.215376274500593	0.176204535343803	0.19065022708522	0.215974098263031	0.233848148246792	0.222781095003543	0.205345375764719	0.208699891269416	0.215234683237884	0.160593716959517	0.148595404404858	0.119097862747987	0.171186647072005	0.149020702465832	0.16632527750093
ko03440	-0.0642984151495719	-0.0401028947596383	-3.86371946997975	0.00072462338273391	0.002132064953044	-1.70206972520108	-2.67119956872666	Bger_down	0.00381815683304393	-0.0119728279742511	-0.00987103808069631	-0.0337608182483242	0.0463178021536178	-0.0562099123029088	-0.0513207606996349	-0.0646702079639286	-0.0323840312284208	-0.0371585292999526	-0.00136830145082569	-0.0666362707491668	-0.0243307026168601	0.0194219958237716	-0.00198077535232014	-0.0548393724957853	-0.0290202333819316	-0.026543410465842	-0.0239807270808008	-0.0993921036175826	-0.126109598168948	-0.120934700373645	-0.135320492067673	-0.0242226154222536
ko00051	-0.0387624480154393	0.391341009295608	-4.18154690326619	0.000322586931261537	0.00105012341453224	-0.904034003754828	-2.97875965797704	Bger_down	0.417199380950686	0.380233126329252	0.405963476279403	0.422113576772188	0.379017138245378	0.394897928048741	0.402591593739032	0.380551537662543	0.399618393082785	0.408484504859351	0.405101147661873	0.424518453838283	0.405864940292745	0.393688192402002	0.441507914210875	0.409467511153541	0.369083335442576	0.378667032419173	0.339094734584289	0.362710545437435	0.380905824552879	0.383344379345383	0.347691148720634	0.359868407063553
ko00260	-0.0552250614090184	0.32304665918318	-4.62285227334703	0.000104094794856137	0.000361965991204295	0.21965217014734	-3.44133223202524	Bger_down	0.318226836729013	0.323912434895925	0.358178244195754	0.332204729984054	0.319235143934514	0.335324056707934	0.354233567890315	0.306906710773237	0.343790123417787	0.290470250275354	0.342906139394787	0.343749585771913	0.363448053329487	0.345145227908456	0.328182135878384	0.342267066778905	0.364417069931146	0.350755263840853	0.208658992685894	0.311703819596839	0.310321820604929	0.291037739046285	0.278565466483075	0.289479340341474
ko01212	-0.059079071919781	0.246623290517948	-4.94234073390563	4.58897573917631e-05	0.000163282160021855	1.03819385031658	-3.78706126307293	Bger_down	0.259577283668195	0.234942593582409	0.23890747170747	0.247275973050821	0.212753305205945	0.24620589785159	0.290553906101323	0.284953467062535	0.292578162648305	0.283625535064717	0.246488593495323	0.302885030896025	0.26875198344635	0.239853379923448	0.266495053446417	0.274681939334189	0.255304826080976	0.259240650396048	0.162845673136614	0.203301724748561	0.233369421319514	0.208671600390564	0.232041948614481	0.173653551258942
