pathway	pathway_name	Subcategory	Category
ko00290	00290 Valine, leucine and isoleucine biosynthesis 	09105 Amino acid metabolism	09100 Metabolism
ko00515	00515 Mannose type O-glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko04013	04013 MAPK signaling pathway - fly 	09132 Signal transduction	09130 Environmental Information Processing
ko00563	00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00232	00232 Caffeine metabolism 	09110 Biosynthesis of other secondary metabolites	09100 Metabolism
ko03265	03265 Virion - Ebolavirus, Lyssavirus and Morbillivirus 	09125 Information processing in viruses	09120 Genetic Information Processing
ko03015	03015 mRNA surveillance pathway 	09122 Translation	09120 Genetic Information Processing
ko03010	03010 Ribosome 	09122 Translation	09120 Genetic Information Processing
ko00750	00750 Vitamin B6 metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko03420	03420 Nucleotide excision repair 	09124 Replication and repair	09120 Genetic Information Processing
ko00562	00562 Inositol phosphate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00630	00630 Glyoxylate and dicarboxylate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko04081	04081 Hormone signaling 	09133 Signaling molecules and interaction	09130 Environmental Information Processing
ko00440	00440 Phosphonate and phosphinate metabolism 	09106 Metabolism of other amino acids	09100 Metabolism
ko00190	00190 Oxidative phosphorylation 	09102 Energy metabolism	09100 Metabolism
ko00981	00981 Insect hormone biosynthesis 	09109 Metabolism of terpenoids and polyketides	09100 Metabolism
ko00780	00780 Biotin metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko04981	04981 Folate transport and metabolism 	09154 Digestive system	09150 Organismal Systems
ko00730	00730 Thiamine metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00790	00790 Folate biosynthesis 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00590	00590 Arachidonic acid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00592	00592 alpha-Linolenic acid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko04140	04140 Autophagy - animal 	09141 Transport and catabolism	09140 Cellular Processes
ko00860	00860 Porphyrin metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00541	00541 Biosynthesis of various nucleotide sugars 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00310	00310 Lysine degradation 	09105 Amino acid metabolism	09100 Metabolism
ko00982	00982 Drug metabolism - cytochrome P450 	09111 Xenobiotics biodegradation and metabolism	09100 Metabolism
ko00053	00053 Ascorbate and aldarate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00980	00980 Metabolism of xenobiotics by cytochrome P450 	09111 Xenobiotics biodegradation and metabolism	09100 Metabolism
ko00650	00650 Butanoate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00983	00983 Drug metabolism - other enzymes 	09111 Xenobiotics biodegradation and metabolism	09100 Metabolism
ko00983	09113 Global maps only	09112 Not included in regular maps	09100 Metabolism
ko04711	04711 Circadian rhythm - fly 	09159 Environmental adaptation	09150 Organismal Systems
ko00040	00040 Pentose and glucuronate interconversions 	09101 Carbohydrate metabolism	09100 Metabolism
ko04150	04150 mTOR signaling pathway 	09132 Signal transduction	09130 Environmental Information Processing
ko04122	04122 Sulfur relay system 	09123 Folding, sorting and degradation	09120 Genetic Information Processing
ko04148	04148 Efferocytosis 	09141 Transport and catabolism	09140 Cellular Processes
ko01040	01040 Biosynthesis of unsaturated fatty acids 	09103 Lipid metabolism	09100 Metabolism
ko00830	00830 Retinol metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00510	00510 N-Glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko04070	04070 Phosphatidylinositol signaling system 	09132 Signal transduction	09130 Environmental Information Processing
ko00760	00760 Nicotinate and nicotinamide metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00062	00062 Fatty acid elongation 	09103 Lipid metabolism	09100 Metabolism
ko04136	04136 Autophagy - other 	09141 Transport and catabolism	09140 Cellular Processes
ko01232	01232 Nucleotide metabolism	09113 Global and overview maps	09100 Metabolism
ko01210	01210 2-Oxocarboxylic acid metabolism	09113 Global and overview maps	09100 Metabolism
