pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko00900	0.049021403500674	0.222448527952577	3.0477540019709	0.003660647480952	0.0242617203361296	-2.69087621451974	1.61507840767394	Lab_up	0.0764057595706349	0.243007326443693	0.153886132698018	0.290903365579646	0.227508309899612	0.263300355384052	0.127123014301222	0.267336135528991	0.271960677619755	0.213389305249927	0.288572040261753	0.258532892399206	0.253904258544006	0.276850077604862	0.276174536399521	0.251761417082208	0.229630434766098	0.274929498397202	0.260346421092475	0.245954930983828	0.266930665024943	0.207631857443566	0.221067112256369	0.228803443467391	0.253406611008475	0.263699052667104	0.20889705467342	0.253316544777704	0.272080341836743	0.218756068496555	0.228844412208996	0.243408813845528	0.210924298341061	0.199705424565285	0.222017641543952	0.231001719837207	0.224033221694797	0.253520432800607	0.198820806658198	0.230962680767931	0.164340326081588	0.206360666431375	0.1678497288286	0.169737478211262	0.182513719648866	0.14054466465272	0.259415505187272	0.0653257798618904	0.198480409062475	0.178553025940247
ko00513	0.0414793144717183	0.202341049930043	3.05631428356607	0.00357374374660872	0.0242617203361296	-2.66859410296131	1.61507840767394	Lab_up	0.154638773098712	0.157209906646453	0.175947276598913	0.227058481164479	0.229718103651288	0.168265266390309	0.164885868574575	0.22947086725715	0.221109604716557	0.215844700138769	0.237863705837269	0.230498536858246	0.237551558911683	0.245490202437029	0.221324031291592	0.246644260176883	0.241044074009942	0.20659477512493	0.241054851749823	0.247179018676778	0.196039361103278	0.210210491606771	0.214392598609606	0.230019692765808	0.250568599705396	0.238634553334268	0.204630540192543	0.241573784294476	0.190587267887495	0.218444243189527	0.207427994446249	0.200211434247643	0.136480800470617	0.206997971262667	0.20592231641781	0.197543369446694	0.206154479232129	0.196944793265603	0.18527303472994	0.213547166072928	0.17382344712357	0.132652201631607	0.186555247737262	0.22683018596967	0.0709542957022032	0.252619483225752	0.219087753820445	0.0464926497018451	0.19243006966282	0.164608806334141
ko00450	0.0345485909686625	0.139062076536962	3.2814279966458	0.00187564342634558	0.0184531463887468	-2.06766383475355	1.73392957298629	Lab_up	0.0943807489233347	0.12529845466671	0.110488984389944	0.177688903531851	0.134100165440877	0.120717599667486	0.105521555438307	0.171420908757953	0.187778452288968	0.13341073910394	0.188586832237376	0.174196236236789	0.169342802665731	0.153028469848577	0.123102292883839	0.168395412878513	0.152391160892077	0.207571936583483	0.168796302678999	0.161598046213539	0.15427614265097	0.14317689725185	0.133587165732679	0.143271224964961	0.173490230607632	0.149676611073345	0.162995187781972	0.159966928659994	0.146739565726365	0.157760608746409	0.151197802176956	0.148373591922612	0.160438219598299	0.100332310819724	0.134356984876217	0.0907947686588187	0.144496281349387	0.152032410966546	0.145766751419661	0.166441725219992	0.0753060982975544	0.133750938503292	0.124213456835708	0.085089636376076	0.0965590140549587	0.0687248630814333	0.145796431549436	0.0569349407220451	0.115948719085333	0.103792312809595
ko00770	0.0227479003724735	0.292156771235308	3.38476330803554	0.00138413697039398	0.0183536540223308	-1.7825538985892	1.73627745927267	Lab_up	0.247840129371699	0.280573794916352	0.257676052275837	0.310236475744011	0.286890692486945	0.296383694856447	0.247701906427553	0.302345147529671	0.301184522470437	0.284514640245948	0.302946933630372	0.304995978957886	0.314532070743826	0.318033520574902	0.301867506726767	0.325064256579032	0.290334240107682	0.320717797342494	0.317191987026055	0.307866623643854	0.31063142662211	0.291966218542246	0.293583115595151	0.291844465323083	0.326987134339223	0.310928171495071	0.303553797565257	0.311304830343289	0.283232498261739	0.298018840992934	0.309819730918165	0.289456049859351	0.295182817809861	0.256961970289488	0.287919999197589	0.286015810132793	0.309754056821728	0.302968966542411	0.293532496432042	0.287882153698682	0.263485032593313	0.292640543634007	0.250728540591554	0.256904933706199	0.268874115410211	0.258027240654958	0.304309195627834	0.292292344518399	0.278241630769527	0.281892461819428
ko00510	0.0373231749667034	0.142417409061668	3.48983599426896	0.00101129753778427	0.0169147081330297	-1.48700153972259	1.77173549165716	Lab_up	0.0927983693314818	0.0813540794817042	0.0618153774873554	0.140585854232224	0.102492048120404	0.0948113116937505	0.0742126551644926	0.124015161699497	0.115007306705734	0.0969572603810552	0.166860979411346	0.157882912566661	0.176876729149062	0.204030067571033	0.139428629524879	0.191431745284584	0.174392764039221	0.144916086233257	0.188133150716912	0.178806425853348	0.132381046139146	0.136526131860515	0.158302902942887	0.163844865628384	0.192637011921609	0.175269143191452	0.156778365935725	0.179491614162098	0.123511528822756	0.146902687422296	0.164638539655805	0.15655335619026	0.121840596394909	0.178936551876846	0.153251850695637	0.137360902154529	0.135460595748656	0.15424431880812	0.133083145012249	0.171691669039953	0.133996027396616	0.118433091439289	0.139590410128006	0.188776097192214	0.09418957235764	0.166330562804036	0.148333157221773	0.0935314869048788	0.135493825858954	0.122680483528141
ko00981	0.0723418198336258	0.229032685512865	3.753027281114	0.000451539353218819	0.00988938872984514	-0.723234052993251	2.00483055162421	Lab_up	0.0420478243366274	0.187686703918579	0.119281690333824	0.251932387298252	0.207984274878757	0.214943978743915	0.0962900859186435	0.238285609437844	0.237525961990671	0.196807068730242	0.302143009194182	0.273120824253608	0.293469838209077	0.303532794144682	0.307815788800786	0.271741362586907	0.247727536929401	0.297854148600182	0.281865786153369	0.289790324925459	0.296659145840525	0.248392510726579	0.242962608838854	0.248796999201261	0.267256925131387	0.281200856695334	0.246325929095769	0.277032009840616	0.262442673529207	0.254635636631515	0.252654750728156	0.239412864401642	0.24335987297731	0.180105238610559	0.239495061502098	0.262999221232911	0.257470438053155	0.244123211582672	0.21385048239137	0.243791495465546	0.201377064806421	0.217446857264877	0.172521867915976	0.149283265379418	0.190669212296534	0.152648331554596	0.272048611410978	0.0190553278606984	0.218688773251557	0.193080032040707
ko00830	0.0669790866990966	0.116689884799306	3.74511922036549	0.000462797732071953	0.00988938872984514	-0.746646967935773	2.00483055162421	Lab_up	-0.0617568998405283	0.103428841253017	-0.0149290869645129	0.120321806703414	-0.00171198957750755	0.133662583165322	-0.0262142526491599	0.0738861061472968	0.0976731883460481	-0.000878874147757988	0.211083258968665	0.154582754179785	0.172735526446645	0.182711435370223	0.158782096509303	0.156860880636244	0.118943604634299	0.173180980498228	0.189562074204928	0.184288930137514	0.155501670739925	0.138017839193217	0.132826233192135	0.128582595888356	0.159691173736041	0.154679119644301	0.104803949942642	0.161392508923198	0.138815199634005	0.129973359100191	0.14656523087931	0.156971419786439	0.151156471385572	0.0704183501582566	0.134743778762115	0.120958402053736	0.133798584731494	0.136533674722058	0.119609496467771	0.144236525799679	0.0672846029272382	0.142669651941028	0.0944858322818651	0.0731176876824083	0.107671494434219	0.0565208266332813	0.14001328031923	0.060323331396746	0.129306290900617	0.117612692686768
ko00440	0.138127892552052	-0.160203027127511	3.80273930522567	0.000386567056907372	0.00988938872984514	-0.57542578990211	2.00483055162421	Lab_up	-0.424527737811469	-0.224369921182838	-0.244364771573943	-0.131634288527374	-0.282698123894047	-0.0981438005518855	-0.326515187396227	-0.211621827867702	-0.218729757352492	-0.335500651987378	0.0107933628284578	-0.0628106758674781	0.0491155819086538	0.00703383505658809	-0.122259548434798	-0.080929228299997	-0.0976175619934474	-0.0987797128648462	-0.0199867390451003	-0.0815664441467311	-0.116997949498367	-0.113619386386534	-0.138478609210781	-0.0447740330045613	-0.00675283934510729	-0.0189084218146243	-0.0371259719445943	0.0192429998580775	-0.202798475947475	-0.116225541551319	-0.0437215938575935	-0.190433671118075	-0.223230750321806	-0.284080167121968	-0.110006863098725	-0.14465479875226	-0.0547732174803835	-0.10593275378595	-0.312300655568039	-0.120022025331694	-0.316324390256747	-0.222496227669822	-0.445758233912885	-0.260614633044043	-0.324365606245755	-0.143423182510633	-0.171147020880819	-0.316215599387136	-0.217650679816628	-0.231447858365272
ko00860	0.0572435271388273	0.12297666349621	3.87102558461691	0.000311813152873408	0.00988938872984514	-0.370654920558058	2.00483055162421	Lab_up	-0.0369784493118572	0.117924457261024	0.00676990153431005	0.1555719280099	0.0632971121659201	0.146305488048513	-0.00592018281416826	0.124422306426033	0.132556611081289	0.049354322894687	0.202720679203189	0.144949406385763	0.163022599924403	0.194068642598526	0.156365971062387	0.154060520408598	0.138602694948327	0.17581695494616	0.180839174673292	0.177268207922074	0.143832337465467	0.136402162233306	0.136195646843164	0.125997959209053	0.152510846955158	0.16065575650624	0.122440782349851	0.169876124865055	0.15358442580746	0.140433649476398	0.144528448180014	0.136355575173553	0.138516473567422	0.0818762574589465	0.126637112688596	0.118797081407393	0.128806830084018	0.132189281554235	0.116503927163027	0.139625922112236	0.0875201997310671	0.125887210212061	0.096079058905009	0.0987567209632878	0.0869168751105871	0.0729420557792341	0.142495526061539	0.0510430946743086	0.128703756926258	0.111703727978191
ko00785	0.0602169917721695	0.0936695149418908	7.40455412407991	1.32580325664739e-09	1.72354423364161e-08	11.6476870316203	7.76357756622763	Wild_up	0.125300866345183	0.137129589962571	0.150025796896689	0.148903898924214	0.141790491109831	0.141689728117753	0.137959753129845	0.150437237171251	0.140346745637912	0.144846976301015	0.0915865347275639	0.0728288149078547	0.0753398535058862	0.0801361604426787	0.0355877232219961	0.0796029771625218	0.0763069835574784	0.0888185595018788	0.0613602763902083	0.052030642826764	0.0945591329624434	0.0571317994625409	0.0519590626812547	0.0644191588485356	0.0981549751032024	0.084174963234785	0.10275185486276	0.0875286611367204	0.0954202208023879	0.0904735353612258	0.0667101540530526	0.0698518253552151	0.130955289777642	0.0651336958647941	0.0840668411870242	0.0368599022755563	0.0986946571550322	0.110237247724882	0.0801999396390263	0.0870501941660196	0.0499294872573325	0.100927538641357	0.0685266376301633	0.0653807785681751	0.137106069345571	0.028270945362424	0.100215016270825	0.13359884752024	0.10439205860509	0.106765646398166
