gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00601	0.543016066763743	-0.163234641808794	23.302446067425	4.93551329775404e-18	7.55133534556367e-16	31.3686028857601	15.1219762428171	up
ko00190	0.124241767635814	0.51866757474087	20.2918546924753	1.18249552677228e-16	9.04609077980792e-15	28.1884948140592	14.0435390583133	up
ko03010	0.125001186080149	0.497804430224884	17.5925043869509	2.9853080554884e-15	1.52250710829908e-13	24.9300710773908	12.8174406710512	up
ko03050	0.11484432898062	0.493077253926649	17.0313786813862	6.16317181961793e-15	2.35741322100386e-13	24.195643577299	12.6275642851581	up
ko00220	0.339703402014367	0.0804242343094964	13.5553671018635	9.1057395984988e-13	1.99025451224331e-11	19.1138236280476	10.7010913827887	up
ko00860	0.171586997477473	0.180012510297141	13.4264640137134	1.11693399998608e-12	2.13613627497337e-11	18.9054358753545	10.6703710449108	up
ko00360	0.264755400134423	0.15028273126862	11.7329289619221	1.89723383996459e-11	2.41897314595486e-10	16.0129489001755	9.61636895289829	up
ko00240	0.137781834553022	0.151843517803016	11.0108826271391	6.95083343793775e-11	7.59626797146054e-10	14.6856834908841	9.11939972317753	up
ko00400	0.375946520858695	0.0802871857765282	10.9330500170911	8.02303466130997e-11	8.12706863282437e-10	14.5390209081186	9.09006607262922	up
ko00603	0.256408100864918	0.0488992672063553	10.9018938194169	8.49889530229999e-11	8.12706863282437e-10	14.4801122099018	9.09006607262922	up
ko04980	0.280844316937855	0.124005031387743	10.3050162055568	2.61982934159574e-10	2.10965204875868e-09	13.329101133516	8.6757891682877	up
ko00350	0.126167990159823	0.176250511572003	9.94944885803163	5.22805044872101e-10	3.99945859327157e-09	12.6226773650183	8.39799879513921	up
ko00100	0.234889061553147	0.185480133236127	9.10676525166251	2.86349677898451e-09	2.08626193897443e-08	10.8843775489888	7.68063116498453	up
ko03060	0.0587623872396406	0.374996195193012	8.85464717246427	4.84806813940531e-09	3.09064343887089e-08	10.3463938403736	7.50995109570117	up
ko00052	0.105226370248331	0.245242667181509	8.53888724383858	9.48592003121112e-09	5.58209909528962e-08	9.66080713101936	7.2532024580381	up
ko00520	0.124100548860596	0.226011922961932	8.43652122522548	1.18253468129689e-08	6.70102986068239e-08	9.435722223343	7.17385844678567	up
ko00600	0.0922896285572757	0.147739206799582	7.77789411855523	5.04956674805452e-08	2.66408176707704e-07	7.95451868355373	6.57445244975497	up
ko01232	0.0706323539078134	0.116623289411246	7.72051847920275	5.74593661324702e-08	2.83589774782837e-07	7.82280087085355	6.54730943228815	up
ko04122	0.14326884123984	0.034600560569297	7.67824942232475	6.32144286249715e-08	3.02243986863145e-07	7.72549140688812	6.51964233065952	up
ko00040	0.087238566407194	0.215153980364493	7.44042867874533	1.08634360082825e-07	4.88854620372714e-07	7.17372724041226	6.31082027575811	up
ko00440	0.194463757857223	-0.0306191670334331	6.63484500188591	7.17811782913323e-07	2.81603084065996e-06	5.25299608196598	5.55036259318934	up
ko00604	0.273075499975412	0.219594030020636	6.36007663509852	1.39189099999732e-06	4.9525423953393e-06	4.58096166268751	5.3051717980745	up
ko03018	0.0520450611122502	0.196216652499205	6.29307227081151	1.63797091015247e-06	5.56910109451842e-06	4.41590243861963	5.25421489839808	up
ko00130	0.0807974435968314	0.160490543160207	5.87327240642621	4.59194460264997e-06	1.52732070479445e-05	3.37228744329596	4.81606976078341	up
ko00730	0.0988864707223244	0.0136479793141814	5.78187195061883	5.76074837832426e-06	1.83623854559086e-05	3.14311509280631	4.73607090031112	up
ko00790	0.0745620524196191	0.259858368912573	5.7179329327856	6.75412578009121e-06	2.10894131500807e-05	2.98243408989198	4.67593550509824	up
ko04341	0.0726301980542999	0.031717001909355	5.37949529617958	1.57663505527081e-05	4.63894545108528e-05	2.12764951799226	4.33358073427838	up
ko00330	0.0767257306170915	0.227390892798798	5.27169663898521	2.06902626617429e-05	5.97284940989938e-05	1.85416174470285	4.22381843473797	up
ko00290	0.204553102199627	-0.00800728304042103	5.18517346902411	2.57473817406613e-05	7.03455251128783e-05	1.63433942079923	4.15276352410836	up
ko00480	0.0582444014973751	0.236212369162432	5.06699548915792	3.47323268153922e-05	9.32288772413159e-05	1.33375630355055	4.03044954597155	up
ko00270	0.0623266120092353	0.216644807824515	4.75762088347615	7.62536613741597e-05	0.000191259183446663	0.546108594508341	3.71837770271313	up
ko01250	0.0724107240314734	0.253188590144808	4.72510545866443	8.2837106183594e-05	0.000198032456970154	0.463351650145347	3.70326362424435	up
ko03082	0.0435307449417376	0.11694444055199	4.64703678697188	0.000101065722228047	0.000237893161552172	0.264742516893048	3.62361804195955	up
ko04150	0.0305029160470318	0.0716849344907727	4.53957689658871	0.000132904660715115	0.000299047531542993	-0.00834661587673668	3.52425977807609	up
ko00910	0.212961580457157	0.295951550882826	4.53487272474362	0.000134507660566328	0.000299047531542993	-0.0202915367515875	3.52425977807609	up
ko00020	0.0400677281948867	0.331157811311522	4.53383295783429	0.000134864573048801	0.000299047531542993	-0.0229316061564244	3.52425977807609	up
ko03030	0.107828179665345	0.0555968214353549	4.39028563531737	0.000194423887265833	0.000407491160981813	-0.386904338440893	3.38988180723924	up
ko00532	0.182187026820022	0.0176785830437909	4.14517097217333	0.000362687703363864	0.000720665176813912	-1.00519485954526	3.14226646293146	up
ko02010	0.0474511188403651	0.0053991654510779	3.94245641066439	0.000606098967444779	0.00114485360517347	-1.51209229410497	2.94125004391809	up
ko03040	0.0306827235008567	0.279492165890823	3.85157719658934	0.000762262773128534	0.00142227078400812	-1.73763168104572	2.84701771105706	up
ko00565	0.0588033286123069	-0.00455739338157694	3.65247082853142	0.00125608881596352	0.00226095986873434	-2.22719346673762	2.64570714616499	up
ko04624	0.0401117957827423	0.086444786568453	3.4144971338869	0.0022669818755563	0.00389717108943948	-2.80225525270231	2.40925052785666	up
ko03013	0.0266182836152227	0.205035739619607	3.13084393298877	0.00452585464391853	0.00728900800546879	-3.46949731538508	2.13733157278842	up
ko03410	0.0475200929106398	0.0618349588181719	3.11098835917268	0.00474737415927546	0.00756612756634526	-3.51533466546827	2.12112634069424	up
ko00541	0.0494790355346299	0.232822517758899	3.1041457704063	0.00482610128904788	0.00761230409509615	-3.53110235840894	2.11848387091257	up
ko04141	0.0213300433160493	0.342784585317667	3.07243703835359	0.00520759193744561	0.00813022006560386	-3.60397528779317	2.08989769893435	up
ko00053	0.038362070595867	0.245598241892598	2.93613567130121	0.00720236898864779	0.0111309338915466	-3.91339800546167	1.95346839658797	up
ko01100	0.0204942304651539	0.198503638000419	2.75591662903257	0.0109756563035235	0.0167927541443909	-4.31211382600887	1.77487807029314	up
ko00564	0.031243489273905	0.0596236360706218	2.65454375196302	0.0138523018804829	0.0209841800763751	-4.53063856490477	1.6781079954905	up
ko04382	0.049215368611001	0.0820673143998141	2.54814446643498	0.0176229079750879	0.0261777176717325	-4.75513892882743	1.58206822049652	up
ko00514	0.0458357268482253	0.0869588326984251	2.46862683867525	0.0210432180104223	0.0306049976063652	-4.91946402866629	1.51420765013122	up
ko01230	0.0370395715375588	0.248849760515142	2.4517617183037	0.0218435718376076	0.031234266272467	-4.95392006309105	1.50536869165686	up
ko00450	0.042497855192557	0.103286940508569	2.31064566191805	0.0297262894063327	0.0413465661742628	-5.23652805761516	1.38356055270136	up
ko00250	0.0276677111825949	0.226867652525179	2.21142960208694	0.0367421822663078	0.0501924454173669	-5.42882166922619	1.29936164461688	none
ko04512	0.045445919331254	0.0604356717422493	2.18154517032713	0.039132030319193	0.0529840764498808	-5.48565260129037	1.27585463132412	none
ko00630	0.028993735019705	0.294017814763156	1.99546110532239	0.0574220135179983	0.0757376557608081	-5.82753359926464	1.12068814133166	none
ko01240	0.0223316936886008	0.178205167971539	1.92115810339922	0.0666233399919581	0.0871228292202529	-5.95798305951616	1.05986802977669	none
ko03420	0.0215022275487063	0.119257405227067	1.77123796691797	0.0891756668965528	0.113698975293105	-6.2099455122017	0.944243449354091	none
ko00230	0.0153748558398933	0.0770005401474052	1.75579875902305	0.0918336068799498	0.116120180600267	-6.23500809598044	0.935092297387053	none
ko00670	0.03800281743408	0.178529419709422	1.68321809476703	0.105251878169431	0.13199620786822	-6.35053646083371	0.879438545502963	none
ko05100	0.0126356926800026	0.227348989589255	1.65979519073424	0.109921132326325	0.136731164601038	-6.38699974398345	0.86413248710227	none
ko01210	0.0220816229221101	0.234436696090937	1.5962281453129	0.123476117435343	0.15113476774086	-6.48389750693502	0.82063561705675	none
ko04213	0.0129510834889375	0.0471764200229408	1.44224456509022	0.162111334881223	0.193773704975212	-6.70574777186508	0.712705156898063	none
ko03430	0.0255043394751414	0.0450432097926975	1.18640341152768	0.247034046639297	0.290740070275481	-7.03169538086224	0.536495108923526	none
ko04711	0.0194924007391805	0.0775212437933242	1.02951534868115	0.313465455056404	0.360603117470901	-7.20358511458902	0.442970523053003	none
ko03020	0.00949163679394582	0.201466948263251	0.994411199659048	0.329908284992482	0.376686325401864	-7.2390064981335	0.42402014542006	none
ko00982	0.0136231128337551	0.133191017556953	0.954488828315418	0.349318151667939	0.395893905223664	-7.27791189692268	0.402421184148543	none
ko00770	0.00906717900332679	0.224833274743462	0.651203654848878	0.521080019988315	0.573562899699368	-7.52421335089782	0.241418948304236	none
ko04320	0.00554929475301235	0.0962281107608018	0.482662395155419	0.633693208781961	0.678007419186294	-7.62220978461848	0.168765553781848	none
ko00590	0.00402963206233171	0.0451342001820968	0.212835305250597	0.833246467121266	0.873196640202422	-7.71919637030268	0.0588879439939973	none
ko00980	0.00203909207231986	0.170130692993204	0.139757536707725	0.890013643024488	0.913906626729843	-7.73257180556194	0.0390981735960115	none
ko00062	0.00183653083471894	0.23565199784312	0.0743973253207891	0.941308669666772	0.95377633416567	-7.73984372941901	0.0205534578182456	none
ko04215	0.000773112057978448	0.12085584031529	0.0501257722593057	0.960435525057735	0.966568182941916	-7.74141448666893	0.0147675048728892	none
ko00470	0.00195270575348941	0.245360695062739	0.04235078520995	0.966568182941916	0.966568182941916	-7.74178818977422	0.0147675048728892	none
ko00983	-0.000922598497829136	0.151959716744309	-0.0831105501476958	0.934450492687673	0.953139502541426	-7.73913054294217	-0.0208435308935943	none
ko03460	-0.00287941182207613	-0.0376347410343696	-0.167704784134144	0.868215670830792	0.898384425954504	-7.72810974981008	-0.0465377854427764	none
ko00760	-0.00210478893543192	0.134326169382436	-0.166664253633795	0.869025457786056	0.898384425954504	-7.72829038839834	-0.0465377854427764	none
ko00430	-0.00496180821690128	0.0251925251858607	-0.220831949991502	0.82708452955649	0.872716779463055	-7.71739729253297	-0.0591266739036131	none
ko01200	-0.00366631617382418	0.313255673359349	-0.325601114317033	0.747537871208288	0.794258988158806	-7.68773469540579	-0.100037861819436	none
ko03015	-0.00419729528505849	0.21414911236439	-0.533960576099383	0.598262820444213	0.64460712343637	-7.59539081890349	-0.19070489948764	none
ko00650	-0.0100301007953633	0.19795328982669	-0.622524089074769	0.539446719288297	0.585357078376663	-7.54288635321209	-0.232579125611775	none
ko00750	-0.015586286435063	0.135884432376968	-0.634462247245946	0.531759679500762	0.581137364025833	-7.5352123139272	-0.235721200850032	none
ko00030	-0.014777357940765	0.192088895129379	-0.757940424821856	0.455838849429918	0.505386550454909	-7.4476222386331	-0.296376319877399	none
ko04142	-0.00747728832854369	0.196164434191556	-0.867006822601126	0.394493689358349	0.440565945049835	-7.35797228538188	-0.355989076065276	none
ko03022	-0.00901786265484986	0.18495991781146	-0.924231695246569	0.364532875147968	0.410099484541464	-7.30641324680216	-0.387110776581666	none
ko00970	-0.0131647651470657	0.131448859241803	-1.10090612591583	0.281818186522428	0.326652898014633	-7.1280946769919	-0.485913484462749	none
ko03450	-0.0175242613147411	0.0976565821185418	-1.15146836980652	0.260841748163453	0.30464723258785	-7.07186541611979	-0.516202762647948	none
ko04140	-0.0118162832638428	0.128943446327846	-1.38940202692678	0.177421995321698	0.210430738637363	-6.7775374447884	-0.676890820385606	none
ko04080	-0.0214556780100475	-0.118776676831218	-1.50223822556958	0.146033547168906	0.175930178872777	-6.62152264835658	-0.754659655745984	none
ko04145	-0.0103751627554572	0.310564267884698	-1.56268502548155	0.131171107007822	0.15927920136664	-6.5337960511566	-0.797840930548017	none
ko00010	-0.0139495483982215	0.290805721312244	-1.62708086575642	0.116732718849859	0.144033112774422	-6.43724619225847	-0.841537653446094	none
ko00920	-0.0417722473051179	0.293596665543567	-1.77364438954009	0.088767377629157	0.113698975293105	-6.20602393490696	-0.944243449354091	none
ko04981	-0.0277536229669991	0.0625644560143403	-1.78327380976057	0.0871495743138274	0.112999024322166	-6.19029065184099	-0.946925306369047	none
ko04148	-0.0156401550393951	0.102464527379146	-2.00439398388884	0.056395061634795	0.0750299515662925	-5.81161087578495	-1.12476533389768	none
