gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00190	0.156801901125512	0.51866757474087	29.5715994032486	1.91718479196936e-20	2.93329273171311e-18	36.9037814746759	17.5326445938814	up
ko03010	0.12979006268411	0.497804430224884	21.0923196632355	4.88457035171827e-17	3.73669631906448e-15	28.9959659278096	14.4275121957853	up
ko03050	0.109696762192797	0.493077253926649	18.784663865716	6.82259894505029e-16	3.47952546197565e-14	26.3100059187486	13.4584799811391	up
ko03060	0.105943316018535	0.374996195193012	18.4337952951583	1.04435467234369e-15	3.99465662171461e-14	25.8754255427676	13.3985205464386	up
ko04320	0.157734692114809	0.0962281107608018	15.841717385836	3.07265069667136e-14	9.40231113181437e-13	22.4166494544021	12.0267653816742	up
ko03020	0.128047700388588	0.201466948263251	15.4905218058756	5.03339651361655e-14	1.12150960673586e-12	21.9110081114532	11.9501970019433	up
ko04980	0.327646008421208	0.124005031387743	13.8821677740623	5.46160699180299e-13	8.35625869745858e-12	19.4662418593409	11.0779881233663	up
ko00220	0.29205724125808	0.0804242343094964	13.4570149282637	1.06400224188589e-12	1.47993039098674e-11	18.7819365193078	10.8297587113086	up
ko03040	0.0839369543632705	0.279492165890823	12.1665452457092	8.93786568618551e-12	1.05191803845106e-10	16.5972179344988	9.97801809747803	up
ko03018	0.0797273070650096	0.196216652499205	11.1316530035617	5.57132782830055e-11	6.08866541235702e-10	14.7183818585585	9.21547789087561	up
ko04150	0.0590475253911775	0.0716849344907727	10.147173532129	3.55344980228015e-10	3.19810482205213e-09	12.816458701658	8.49510730578904	up
ko00780	0.158752622786882	0.108378857060354	10.0611496930632	4.20097747066493e-10	3.57083085006519e-09	12.6446812914861	8.44723072181035	up
ko03015	0.0603614102942057	0.21414911236439	8.86683069330916	4.72536277833326e-09	3.61490252542494e-08	10.1628239754271	7.44190340880951	up
ko00470	0.351238366115124	0.245360695062739	8.7962178662101	5.4837842166151e-09	3.9516243333175e-08	10.0103121716864	7.4032243489331	up
ko00052	0.0936670626887054	0.245242667181509	8.77673445244915	5.71435629601852e-09	3.9516243333175e-08	9.96811630457747	7.4032243489331	up
ko00910	0.353562758383933	0.295951550882826	8.69360138603211	6.81604744116169e-09	4.17142103399095e-08	9.78751301996826	7.37971597330192	up
ko00290	0.279024258945088	-0.00800728304042103	8.16711275715383	2.12647736083155e-08	1.08450345402409e-07	8.62266811880726	6.96476906046748	up
ko03410	0.106120453512763	0.0618349588181719	8.02212769168551	2.9278363445659e-08	1.44502890554382e-07	8.29551050086295	6.84012346543849	up
ko00860	0.0852884548422281	0.180012510297141	7.70613995389995	5.9354143879544e-08	2.75187394350613e-07	7.57301897215045	6.56037146392982	up
ko00250	0.0820136747294981	0.226867652525179	7.56929663050051	8.09365197724718e-08	3.64214338976123e-07	7.25614532020071	6.43864296020057	up
ko04122	0.121768205601883	0.034600560569297	7.53552893823462	8.74071013559986e-08	3.77876254475348e-07	7.17758629989645	6.42265039803889	up
ko03013	0.055428271900113	0.205035739619607	7.5280427770069	8.89120598765525e-08	3.77876254475348e-07	7.16015051702243	6.42265039803889	up
ko05100	0.0479907740015365	0.227348989589255	7.27918186259987	1.57483188583538e-07	6.34077048770562e-07	6.57653189050235	6.19785796637256	up
ko04137	0.0476902867555246	0.343109412793531	7.05306763918845	2.66583729167368e-07	1.01968276406518e-06	6.03963871280539	5.99153492161583	up
ko03008	0.0530834007508501	0.208086184031102	6.91559008442096	3.68300524012391e-07	1.37438976033892e-06	5.71021358676349	5.86189008913919	up
ko00920	0.138773459525638	0.293596665543567	6.80384626992777	4.79790146721032e-07	1.70716028949577e-06	5.44082957772988	5.76772569998934	up
ko00400	0.19378421850962	0.0802871857765282	6.50733311366743	9.74991185498403e-07	3.24290546480991e-06	4.71924118422578	5.48906571142873	up
ko03250	0.0458207904736326	0.26977760542253	6.33205180796198	1.48987452174652e-06	4.74897503806703e-06	4.28829035250527	5.32340011318451	up
ko00360	0.121227521786545	0.15028273126862	6.20343462238123	2.03809963661649e-06	6.36386213065966e-06	3.97013007664475	5.19627923765876	up
ko03030	0.130178988277535	0.0555968214353549	6.12027255923392	2.49818021232107e-06	7.50250668572524e-06	3.7635839110448	5.12479360888914	up
ko00450	0.0903296480616452	0.103286940508569	5.67108328724867	7.59088882120074e-06	2.15075183267354e-05	2.63795402710727	4.66740969836115	up
ko00730	0.0790385388402182	0.0136479793141814	5.33629540895865	1.75789645642033e-05	4.63720961779847e-05	1.79020505848965	4.33374327205857	up
ko01250	0.0671554336002385	0.253188590144808	5.06010049037764	3.53450029893314e-05	9.16573806333508e-05	1.08726465183677	4.03783255809643	up
ko01210	0.0574885334349864	0.234436696090937	4.79860025578524	6.86986774669743e-05	0.000169530607297533	0.420548137047962	3.77075188223717	up
ko00100	0.103208904168961	0.185480133236127	4.62048839928233	0.000108139706686351	0.000258521486297057	-0.0332520031964796	3.5875033558874	up
ko00770	0.054133395553004	0.224833274743462	4.4893067091888	0.000151070610716649	0.000355596975994574	-0.366867741430677	3.44904194093707	up
ko00130	0.0510570131047026	0.160490543160207	4.2855572081652	0.00025383338769774	0.00056284794663412	-0.883236719400609	3.24960891395284	up
ko00071	0.0428472808218416	0.389536658054145	4.1302437077825	0.000376695497028472	0.000811752268244454	-1.27472746895858	3.09057648916987	up
ko03082	0.0333500500946591	0.11694444055199	4.11098479098076	0.000395563722135064	0.000840572909537011	-1.32311164124615	3.07542461079522	up
ko04145	0.0235531532631165	0.310564267884698	4.09633021304631	0.000410546265014281	0.000860459980098423	-1.35990202530013	3.06526932385658	up
ko01232	0.0319266150466713	0.116623289411246	4.02962870019225	0.000486163313336309	0.00100517549919534	-1.52705397298124	2.99775810572803	up
ko00630	0.0491574309727183	0.294017814763156	3.90658832654737	0.000663550559127505	0.00135364314062011	-1.83395101329493	2.86849581311511	up
ko02010	0.0404659075769997	0.0053991654510779	3.88221065181056	0.000705632763403904	0.00142055016843154	-1.89451161105189	2.84754342404013	up
ko00900	0.0384903656073628	0.253856828388228	3.84013044245483	0.000784554100334391	0.00155891918637873	-1.99884387930038	2.80717639784481	up
ko04981	0.0508625210792059	0.0625644560143403	3.77368458973664	0.000927215687379659	0.00181876923293702	-2.16302596201368	2.74022240111235	up
ko01200	0.0344882030848048	0.313255673359349	3.53668111449438	0.00167582716948118	0.00320501946163277	-2.74222714681394	2.49416932899881	up
ko00350	0.0339214754400171	0.176250511572003	3.08882953576844	0.00500689406181431	0.00901240931126576	-3.80112551247899	2.04515909240455	up
ko00020	0.0232034339149925	0.331157811311522	3.0317432971871	0.0057397275536365	0.010094003628809	-3.93192790580617	1.99593654347281	up
ko00280	0.0385678209095867	0.29962646772589	2.97713277118059	0.00653617600759272	0.0113640332859282	-4.0560327977281	1.94446750287291	up
ko04141	0.0167688520046131	0.342784585317667	2.78909915849282	0.0101635367836812	0.0172780125322581	-4.47507769460532	1.76250621532441	up
ko00601	0.0533370730957657	-0.163234641808794	2.64294046279561	0.0142233941177632	0.0233997774195459	-4.79108207410022	1.6307882736122	up
ko03420	0.0271614681701473	0.119257405227067	2.58354522924251	0.0162732144736216	0.0264872533453629	-4.91684340515359	1.57696307449999	up
ko00760	0.0275435744058744	0.134326169382436	2.51839342708574	0.0188370815808932	0.0303376155987016	-5.05292310619436	1.51801855581757	up
ko00480	0.0232567116769127	0.236212369162432	2.33622145388482	0.0281278727994704	0.0439139238603976	-5.42235201241448	1.35739775545352	up
ko01100	0.0144894445286386	0.198503638000419	2.24986036251908	0.0338633263501195	0.0523342316320028	-5.59140208719928	1.2812141477345	none
ko01230	0.0289412339110046	0.248849760515142	2.21206924204823	0.0366925059348517	0.0561395340803232	-5.66407405592777	1.25073119603333	none
ko00270	0.0243215249000836	0.216644807824515	2.14376156805951	0.0423539661257799	0.0641599684875677	-5.79334450310508	1.19273585802936	none
ko00563	0.0327472530499341	0.0934511512135431	2.00151707334913	0.0567240127493944	0.0842599412685179	-6.05354181834571	1.07437884792419	none
ko03430	0.0345958794911227	0.0450432097926975	1.85828384072644	0.0753927957353765	0.109858073785834	-6.30252002537516	0.959168020019893	none
ko00430	0.0349374009316823	0.0251925251858607	1.79548547214255	0.0851343706830422	0.118754375968533	-6.4073266694077	0.92535037813281	none
