pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
ko00480	0.0427399270460999	0.236212369162432	4.04008463622014	0.000462870146175689	0.00141638264729761	-1.26078715166462	2.84881940260657	up	0.212701418954465	0.244943429142802	0.240749482783944	0.245257335166073	0.22024346984001	0.252308369567744	0.228324147014027	0.243807121116432	0.239760687661425	0.226970033522728	0.21190884847602	0.232381152272864	0.230397403079178	0.204920160331606	0.229628779062044	0.203509156890979	0.193009081664562	0.198672896669421	0.257537292968791	0.277279683811769	0.307442467412301	0.267770618119719	0.285947991455476	0.213625832913985
ko04341	0.085052267042769	0.031717001909355	7.24477112075597	1.56287173746328e-07	1.19559687915941e-06	6.78349493621725	5.92241522726074	up	0.00705312251793911	0.00533141938783608	-0.00887937354826014	0.0166388971515551	-0.0112816805101336	-0.0311499995961752	0.0115700364590607	-0.000957487262686599	0.00359261986866819	0.0304928884646664	0.0113694557736158	0.0171349091470532	0.0270181555614673	0.00145699943113786	0.00941968460288195	0.0874933414484252	0.00628943895482641	0.00557840482405216	0.118048205165738	0.0815426518746158	0.0726823354273615	0.108466682447769	0.129986986431639	0.062310351801467
ko00360	0.183937052276726	0.15028273126862	6.21996926024409	1.83593981512444e-06	1.12359516685616e-05	4.28191055339769	4.94939013758386	up	0.114267374911878	0.135479814336114	0.115121489579848	0.100377666997722	0.107967845705653	0.193062262179911	0.183847812778669	0.168277928589069	0.21476174068503	0.125233417756227	0.137856550554137	0.140237801465186	-0.0217848441815014	0.0206121987559104	0.035641282793772	0.0563876161813812	0.0367336197684436	0.0132908487324494	0.239152908016046	0.317947795166303	0.329128178442423	0.29042044606617	0.352959967917574	0.199803827248474
ko04624	0.0408115117582073	0.086444786568453	4.16226621498163	0.000338881748996726	0.00108018557492707	-0.952784593149668	2.96650162669508	up	0.0757956077952444	0.0626793342551612	0.044163737173553	0.0772883166083825	0.0694436749523021	0.0831797566396041	0.0725807204112996	0.127225067106029	0.0695652739816803	0.0752372955032881	0.088678339357549	0.064867483909931	0.0529625376687323	0.0982989098234115	0.0703544941368585	0.0797209360401401	0.0881643720565486	0.0721484979005059	0.125181316433489	0.0916227459255986	0.125373645315297	0.12896486792189	0.149477728443883	0.081700218282493
ko00532	0.194217791094871	0.0176785830437909	5.41478051471026	1.37634680321956e-05	5.84947391368312e-05	2.24744166707978	4.23288319146626	up	0.0705029411724088	0.0688365810649361	0.0476026662412777	0.0834610902227545	0.067672534860641	0.0597886293379916	-0.121870687054305	-0.159410855567704	-0.173696210643344	-0.130717031166577	-0.134367049028941	-0.12049757184736	-0.0183098521845433	-0.0352345648937663	-0.0346996536337611	-0.0454376090836987	0.0328248009870546	-0.0122137239217485	0.196220782568245	0.142921021007306	0.136537532445042	0.152749805559275	0.154826947195772	0.196795469414027
ko00350	0.103553673199812	0.176250511572003	8.37363956793345	1.2092306954452e-08	1.2334153093541e-07	9.39177491091868	6.90889066534157	up	0.166283481063631	0.165680105300469	0.160422568964104	0.136803075765388	0.159749134864401	0.183189687213016	0.170101309923023	0.157235526472841	0.189303622331868	0.145185992509184	0.155647338203249	0.150429178413495	0.0941804365799808	0.129755837775254	0.145135036257694	0.152792179241726	0.133526634953623	0.111096533063954	0.227386615757721	0.294290138950132	0.283695231565085	0.229141642442374	0.272395715348176	0.216585254767682
ko00520	0.133779071634472	0.226011922961932	10.7362454443412	9.77207459721864e-11	3.73781853343613e-09	14.314455635899	8.42738178691662	up	0.208244909445595	0.209747364810269	0.197997068189043	0.211133364134295	0.151935288069951	0.248718074222809	0.18175826447264	0.182766454876069	0.148293429187718	0.181985116402518	0.140935656754896	0.189219733430703	0.209919186827324	0.194048379307101	0.227951851305782	0.208146942212755	0.175223139986959	0.198184567323219	0.325780986042283	0.309039649408848	0.33654686295597	0.331759786377954	0.35882033073885	0.296129744602809
ko00600	0.115827848592058	0.147739206799582	9.67674201770736	7.76943971040655e-10	1.98120712615367e-08	12.1953559402226	7.70307011858396	up	0.113479938001552	0.0910043372459538	0.080671744786034	0.107218434896677	0.0664969413050996	0.0999106603729778	0.134384571737388	0.146500131935116	0.108314226051791	0.0857353102393593	0.0957426827753069	0.154698636262857	0.1307417804705	0.141018087480883	0.154224052417441	0.143346603866051	0.150891526241911	0.13370073764131	0.215241931253413	0.238567129819721	0.240230359296958	0.246398720226495	0.239520522305784	0.227701896559379
ko00040	0.0768620512492838	0.215153980364493	7.51659783258218	8.31069215592881e-08	6.69229420977425e-07	7.4264710241097	6.17442497463241	up	0.22880101414438	0.216271972824097	0.215265631851253	0.196561939789406	0.198240957198122	0.185663435076036	0.167721212318395	0.190550845573025	0.204397850519145	0.19043089330832	0.217930430439388	0.201684518531963	0.185897939761422	0.161520169076233	0.169816073616212	0.191945881134112	0.229478587629431	0.174713063148164	0.241092037569962	0.290878788404503	0.279262195425319	0.30293035083272	0.268730680923433	0.253909059652801
ko00601	0.507458018033233	-0.163234641808794	23.5153159022937	2.69015296278101e-18	4.11593403305494e-16	31.9610974631732	15.3855315943833	up	-0.284120990699502	-0.332360534229805	-0.274817420507091	-0.346995754638082	-0.249015112666038	-0.318197797082302	-0.233760202648688	-0.191602910401147	-0.187397958624197	-0.291804404285841	-0.27545207063637	-0.282316307003097	-0.317988898521546	-0.348726363431123	-0.365185866612135	-0.349425176219469	-0.260654510601124	-0.311962354900276	0.221559942669143	0.235231202378628	0.256543299771617	0.193942811841877	0.194795585190969	0.202080388444552
