Bger_vs_Esin_down	Bger_vs_Pame_down	Bger_vs_Pful_down
ko00785	ko04146	ko00592
ko03083	ko00910	ko03440
ko00380	ko01200	ko04148
ko00510	ko03018	ko00515
ko00830	ko00430	ko00562
ko00620	ko03420	ko04136
ko04330	ko04136	ko01040
ko00051	ko03010	ko04146
ko00310	ko04148	ko00770
ko03440	ko03013	ko00380
ko04146	ko00970	ko03410
ko01040	ko01212	ko00260
ko00981	ko00051	ko04142
ko00592	ko00770	ko00030
ko00500	ko00260	ko00910
ko00513	ko00380	ko00051
ko03250	ko00510	ko04620
ko04120	ko04215	ko03013
ko00280	ko03440	ko04144
ko04137	ko00250	ko00620
ko00900	ko00410	ko04150
ko00260	ko00785	ko00630
ko04977	ko05100	ko00250
ko04620	ko04981	ko04145
ko04068	ko04144	ko03018
ko01212	ko04150	ko00410
ko00410	ko04310	ko00190
ko04144	ko00450	ko05100
ko04070	ko04620	ko01200
ko00780	ko04745	ko04820
ko04391	ko00760	ko04120
ko00562	ko03410	ko03040
ko04136	ko04120	ko00640
ko04130	ko04820	ko04981
ko00071	ko04130	ko00563
ko00563	ko04082	ko00280
ko00511	ko04145	ko03060
ko00740	ko04081	ko00740
ko00340	ko04392	ko01212
ko03273	ko01210	ko00470
ko04745	ko00190	ko00900
ko03008	ko00740	ko04082
ko00531	ko00920	ko00920
ko00061	ko00280	ko04310
ko00640	ko00061	ko04350
ko00561	ko04350	ko04814
ko04350	ko03060	ko03015
ko00512	ko03040	ko00561
ko00534	ko03015	ko04214
ko04310	ko04980	ko03250
ko04814	ko00640	ko04137
ko04081	ko00900	ko04013
ko03272	ko00470	ko00061
ko04820	ko04814	ko00071
ko04082	ko03250	ko03020
ko04013	ko00071	ko03008
ko00515	ko04013	ko04320
ko04392	ko00561	ko00780
ko04214	ko04137	
	ko03008	
	ko00563	
	ko03020	
	ko04320	
	ko00780	
	ko04214	
