Bger_vs_Esin_up	Bger_vs_Pame_up	Bger_vs_Pful_up
ko00601	ko00514	ko00532
ko03010	ko00601	ko00601
ko04980	ko00603	ko00514
ko00190	ko00512	ko00534
ko00860	ko00600	ko00603
ko00220	ko00240	ko00520
ko03050	ko00440	ko00860
ko00532	ko00330	ko00565
ko00603	ko00604	ko00600
ko00360	ko00520	ko00240
ko00400	ko04977	ko00440
ko00240	ko04330	ko00604
ko00100	ko00590	ko00830
ko00350	ko00565	ko00100
ko00520	ko00532	ko00790
ko03060	ko04341	ko00350
ko00052	ko00360	ko04977
ko00600	ko00350	ko00330
ko04122	ko00790	ko00040
ko00130	ko00860	ko04391
ko01232	ko00400	ko04341
ko00040	ko00040	ko04330
ko03018	ko00500	ko00360
ko00440	ko00220	ko00512
ko00330	ko00830	ko00130
ko00604	ko00100	ko03022
ko00730	ko00511	ko00590
ko00790	ko04624	ko00400
ko04341	ko01232	ko00270
ko00270	ko00670	ko00541
ko00290	ko00062	ko01232
ko00514	ko03272	ko00513
ko00480	ko04711	ko01240
ko03082	ko04382	ko04080
ko01250	ko00515	ko00480
ko00020	ko00480	ko04068
ko03030	ko04080	ko04624
ko00910	ko00020	ko00564
ko04150	ko03022	ko03083
ko00565	ko04068	ko00750
ko03040	ko03083	ko04711
ko02010		ko04122
ko00541		ko04512
ko04624		ko00053
ko03410		ko00982
ko04141		
ko03013		
ko04382		
ko00053		
ko01230		
ko01100		
ko00630		
ko00564		
ko00450		
ko01240		
ko03420		
ko01210		
ko00250		
ko04512		
