gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00514	0.232120092919995	0.0869588326984251	25.858206116745	1.07517290206626e-18	1.27498491414545e-16	32.9138482647401	15.8944949538513	up
ko00601	0.518276806686601	-0.163234641808794	25.361241931793	1.66664694659536e-18	1.27498491414545e-16	32.4764986586912	15.8944949538513	up
ko00603	0.306460500678117	0.0488992672063553	16.1113450783016	3.78863761986321e-14	1.45985628933778e-12	22.3313307090908	11.8356898947769	up
ko00512	0.144781453978118	0.0747623952724843	14.3244278157772	4.63003726097523e-13	1.0119938584703e-11	19.7732737489874	10.9948221231094	up
ko00600	0.141479750475576	0.147739206799582	13.4952782221815	1.61360545193125e-12	2.24437849223164e-11	18.4952848273758	10.6489039017712	up
ko00240	0.130286550489875	0.151843517803016	10.8649196680813	1.30416577890562e-10	1.53490280132738e-09	13.993079101903	8.81391912128368	up
ko00440	0.305626755163647	-0.0306191670334331	10.7911862982083	1.49067820404665e-10	1.62909832299384e-09	13.8560010845726	8.78805270338637	up
ko00330	0.1214581814862	0.227390892798798	10.5221552221487	2.44064225393776e-10	2.33386415532799e-09	13.3503981976857	8.63192442605774	up
ko00604	0.43327810189161	0.219594030020636	10.3862903585082	3.14075370102441e-10	2.82667833092197e-09	13.0917734718282	8.54872361034812	up
ko00520	0.121716881875792	0.226011922961932	9.2825624516864	2.64794505089344e-09	1.92921710850808e-08	10.9062028201404	7.71461889536217	up
ko04977	0.135037419073256	-0.190127806357404	9.18140202952071	3.24403128207952e-09	2.15798602677464e-08	10.6981540867206	7.66595137175427	up
ko04330	0.0791603776887288	0.0522365444319335	9.14260673769468	3.50794167177759e-09	2.19029288912754e-08	10.6180152539713	7.65949780679147	up
ko00590	0.129827789186038	0.0451342001820968	9.05863609922396	4.15778504614606e-09	2.3560781928161e-08	10.443888943273	7.62781030041081	up
ko00565	0.100581609822901	-0.00455739338157694	7.66653603656983	7.96595738550534e-08	3.32482493268885e-07	7.42233053642062	6.47823121735903	up
ko00532	0.0970311858816096	0.0176785830437909	7.53506661555337	1.06691133984375e-07	4.29572197358141e-07	7.12386117252258	6.36696383467506	up
ko04341	0.0992208046243048	0.031717001909355	7.50360210107069	1.14457573411621e-07	4.49025864922513e-07	7.05209898098942	6.34772864191518	up
ko00360	0.160522778190977	0.15028273126862	7.37841416734928	1.51573045877815e-07	5.65626244373311e-07	6.76532667838366	6.24747044800521	up
ko00350	0.0918944242766935	0.176250511572003	7.18619810872972	2.34233300725188e-07	8.53278452641758e-07	6.32115712929096	6.06890922122185	up
ko00790	0.0942487789756221	0.259858368912573	7.16551669175486	2.4553399383553e-07	8.73644210624095e-07	6.2730920153148	6.05866539668116	up
ko00860	0.0650892209291876	0.180012510297141	6.89512125188552	4.56933640592258e-07	1.5888828866049e-06	5.63986103248121	5.7989081125948	up
ko00400	0.215883711241435	0.0802871857765282	6.75219511929566	6.36887418913787e-07	2.16541722430688e-06	5.30161584662917	5.66445841304882	up
ko00040	0.0659996936542406	0.215153980364493	5.70205226523545	7.86107301988271e-06	2.31296956161934e-05	2.75010712331969	4.63583008245106	up
ko00500	0.0633291265864849	0.121873767806164	4.98477326451366	4.64535703488468e-05	0.000122541314885751	0.95878213597805	3.91171746393746	up
ko00220	0.0888523682437935	0.0804242343094964	4.71874764092771	9.04585896264835e-05	0.000230669403547533	0.290493668377331	3.63701000735016	up
ko00830	0.0752394999113514	0.0941032880332003	4.55588856696964	0.00013616189380394	0.000320504150030813	-0.118363891281164	3.49416634266993	up
ko00100	0.0989901853310335	0.185480133236127	4.42378786849367	0.00018975727662529	0.000433326318263721	-0.449420874992016	3.36318493309902	up
ko00511	0.0876236011158597	0.0252198738176862	4.30568341237318	0.000255291227264959	0.000557993682450554	-0.744692852352362	3.25337071807388	up
ko04624	0.0482950158164006	0.086444786568453	4.21442260391192	0.00032100695567178	0.000682139780802532	-0.972240924909638	3.1661266226881	up
ko01232	0.0384296796594135	0.116623289411246	4.19241980503871	0.000339221675055308	0.000701363733560298	-1.02700814952752	3.15405669457349	up
