gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00532	0.303435160582983	0.0176785830437909	23.5636009981741	8.72386835795858e-18	1.33475185876766e-15	30.826858295559	14.8745994656737	up
ko00601	0.461081180649354	-0.163234641808794	22.5624438944189	2.30860613007668e-17	1.76608368950866e-15	29.855566499636	14.7529887203334	up
ko00514	0.15231742936955	0.0869588326984251	16.968179851488	1.23761880647247e-14	4.73389193475719e-13	23.5201980440615	12.3247816603643	up
ko00534	0.175749724751267	-0.0223086339316345	12.8343200258072	4.56088981740973e-12	9.96880202948127e-11	17.4978121440288	10.0013570285736	up
ko00603	0.237039490847273	0.0488992672063553	12.4617202731667	8.3430477899086e-12	1.59560788982002e-10	16.8803898286835	9.79707382489615	up
ko00520	0.155519784167028	0.226011922961932	11.8604920431366	2.27596861172701e-11	3.48223197594233e-10	15.8539000246329	9.45814230084766	up
ko00860	0.107507864341303	0.180012510297141	11.3886715739155	5.1359799885588e-11	6.88058520515221e-10	15.0211033323878	9.16237462272959	up
ko00565	0.147159901653802	-0.00455739338157694	11.2168287140506	6.94942520561173e-11	7.59472897470425e-10	14.7116234288448	9.11948771974597	up
ko00600	0.113714166743322	0.147739206799582	10.8468124438033	1.34760876010224e-10	1.28865087684777e-09	14.0337566419312	8.88986472639797	up
ko00240	0.111323965887098	0.151843517803016	9.28358254898717	2.64254691999188e-09	2.02154839379379e-08	10.9875319671948	7.69431585764169	up
ko00440	0.262024142004054	-0.0306191670334331	9.25164856551884	2.81704917891923e-09	2.05242154464115e-08	10.9220964207505	7.68773343512479	up
ko00604	0.372458719964713	0.219594030020636	8.92836355039135	5.42196140234748e-09	3.77072770254166e-08	10.2521899352984	7.42357482838817	up
ko00830	0.12924349420172	0.0941032880332003	7.82592864496148	5.60706629545484e-08	3.2995428584792e-07	7.86437284395246	6.48154622611982	up
ko00100	0.164370129437338	0.185480133236127	7.34556241223313	1.63222394194266e-07	7.80407072241336e-07	6.77407886193822	6.107678803576	up
ko00790	0.0954838741501647	0.259858368912573	7.25941812141031	1.98333558140448e-07	9.19546496832988e-07	6.57543447794925	6.03642630578703	up
ko00350	0.0925986051629183	0.176250511572003	7.24126546882934	2.06671542355568e-07	9.30021940600057e-07	6.53345637282921	6.0315068056728	up
ko04977	0.104815716681185	-0.190127806357404	7.12658195385265	2.6834933492898e-07	1.1730699498324e-06	6.26730049485353	5.93067609025407	up
ko00330	0.0774494508028057	0.227390892798798	6.70959447313877	7.03493230976615e-07	2.69086160848555e-06	5.28609359075339	5.57010863750811	up
ko00040	0.077347893686417	0.215153980364493	6.68248150841965	7.49554630041241e-07	2.79711849747097e-06	5.22158579874366	5.55328913473407	up
ko04391	0.0508897994994745	0.067469236641227	6.39266715826398	1.48468514064485e-06	5.16265514815141e-06	4.52693066380813	5.28712688371839	up
ko04341	0.0833057984497021	0.031717001909355	6.30002514740175	1.85109107104026e-06	6.02589220998214e-06	4.30297556449815	5.21997864117057	up
ko04330	0.0533161096585811	0.0522365444319335	6.15772988487922	2.60248294325886e-06	8.12612021058378e-06	3.95729453570707	5.09011675739638	up
ko00360	0.126532978504779	0.15028273126862	5.81607627128046	5.94978617093248e-06	1.82063456830534e-05	3.11959767422826	4.73977721559706	up
