gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00515	0.30676769572876	-0.242714704059143	16.1085703493272	1.69458579171745e-14	6.48179065331923e-13	23.208393987427	12.1883049997735	up
ko03272	0.119468190450046	0.229668856958714	12.704064815351	3.04160597207033e-12	6.648081624668e-11	17.9464977832412	10.1773036569548	up
ko04392	0.148415817847418	-0.0906807568273405	12.6017343184477	3.61261596148157e-12	6.90912802633351e-11	17.7715106018186	10.1605767597528	up
ko03273	0.0851681581857948	0.529802841317455	8.89975226564347	3.98050903290798e-09	6.09017882034921e-08	10.6345206795898	7.21536995538835	up
ko00340	0.165914182886894	0.183818620596077	8.57543810702323	7.96666714018238e-09	1.10809097495264e-07	9.92750220072455	6.95542458229894	up
ko00531	0.1618793039194	0.104055664827938	7.50156487567012	8.75660640445444e-08	8.93173853254353e-07	7.48741769359982	6.04906399893867	up
ko04070	0.0558507662269467	0.0164328606629886	7.45540927097648	9.74015726970669e-08	9.31402538915702e-07	7.37918841660301	6.03086258255577	up
ko04068	0.0609516282062534	0.0449866613480491	6.81217323989883	4.41782303078128e-07	3.75514957616409e-06	5.84358334225609	5.42537275937648	up
ko04082	0.0885686522456674	-0.213362520246795	6.55384914332948	8.22600013575949e-07	6.29289010385601e-06	5.2132896625176	5.20114985250576	up
ko00511	0.165172566953472	0.0252198738176862	6.48045506082885	9.82919451051594e-07	7.16127028623304e-06	5.03289446751102	5.14500993448412	up
ko04081	0.0552867501840098	-0.0624339543860269	6.41387922838992	1.15583375284703e-06	8.03829837207253e-06	4.86877333170676	5.0948358773503	up
ko04391	0.069721712136482	0.067469236641227	6.27828853482251	1.61026001384695e-06	1.07117296573297e-05	4.53313912111475	4.97014039658338	up
ko00512	0.15778997362227	0.0747623952724843	6.17414797203638	2.08011330733909e-06	1.27302934409153e-05	4.27414902791549	4.89516158548213	up
ko04820	0.0893093930614052	0.180270185585741	6.0151501118779	3.08176410965137e-06	1.813499649141e-05	3.87683240251062	4.74148252410679	up
ko04977	0.151786315754368	-0.190127806357404	5.76412464700593	5.76116178928554e-06	2.93819251253563e-05	3.24530882480163	4.53191975231947	up
ko00562	0.0484571678829062	0.0434319496662084	5.47301660293738	1.19840138143769e-05	5.72985660499896e-05	2.50749970543361	4.24185624652073	up
ko00500	0.0808781578363947	0.121873767806164	5.43330656626406	1.32499375698183e-05	5.96247190641822e-05	2.4064850380076	4.2245736542271	up
ko00534	0.188767116117816	-0.0223086339316345	5.15679068125138	2.67381782612568e-05	0.000113637257610341	1.70128812039039	3.94447925558151	up
ko00513	0.0561359591488265	0.107951677821471	4.78631846602709	6.88943352695095e-05	0.000257093495030121	0.753997644073471	3.58990891172067	up
ko04745	0.0504818302819782	-0.0623209669720617	4.72572893286564	8.04593063805626e-05	0.000293101758957764	0.599109608464258	3.53298157527239	up
