Esin_vs_Bger_down	Esin_vs_Pame_down	Esin_vs_Pful_down
ko00250	ko00480	ko04213
ko04512	ko00630	ko04142
ko01210	ko03430	ko00350
ko03420	ko00430	ko00900
ko01240	ko01100	ko04382
ko00450	ko04981	ko00130
ko00564	ko00230	ko00030
ko00630	ko00350	ko03082
ko01100	ko01240	ko02010
ko01230	ko00071	ko04145
ko00053	ko00280	ko00100
ko04382	ko04141	ko00020
ko03013	ko00270	ko01210
ko04141	ko01232	ko01232
ko03410	ko02010	ko00061
ko04624	ko04215	ko00770
ko00541	ko00770	ko01250
ko02010	ko04145	ko01230
ko03040	ko00900	ko00601
ko00565	ko00360	ko00730
ko03030	ko00760	ko00450
ko00910	ko03082	ko04981
ko04150	ko00400	ko00071
ko00020	ko03420	ko03030
ko01250	ko01250	ko01200
ko03082	ko00730	ko03250
ko00480	ko03250	ko04137
ko00514	ko00920	ko00920
ko00290	ko05100	ko03008
ko00270	ko00100	ko04122
ko04341	ko03008	ko00360
ko00790	ko03013	ko03410
ko00730	ko00250	ko00250
ko00604	ko03030	ko05100
ko00330	ko00563	ko00860
ko00440	ko00532	ko00470
ko03018	ko00290	ko00400
ko00040	ko00910	ko03013
ko01232	ko00052	ko00630
ko00130	ko00450	ko00290
ko04122	ko00130	ko03015
ko00600	ko03015	ko00910
ko00052	ko04137	ko04150
ko03060	ko03410	ko00052
ko00520	ko01210	ko03040
ko00350	ko04122	ko03018
ko00100	ko04150	ko00780
ko00240	ko00780	ko03020
ko00400	ko00470	ko04320
ko00360	ko03018	ko03060
ko00603	ko00860	ko03050
ko00532	ko03040	ko00220
ko03050	ko00220	ko04980
ko00220	ko03020	ko03010
ko00860	ko04320	ko00190
ko00190	ko03050	
ko04980	ko03060	
ko03010	ko03010	
ko00601	ko00190	
	ko04980	
