Esin_vs_Bger_up	Esin_vs_Pame_up	Esin_vs_Pful_up
ko04214	ko00512	ko00534
ko04392	ko00515	ko04392
ko00515	ko00514	ko00515
ko04013	ko03272	ko00512
ko04082	ko04977	ko03272
ko03272	ko04392	ko04391
ko04820	ko04330	ko04977
ko04081	ko00511	ko04214
ko04814	ko00500	ko00514
ko04310	ko00534	ko00830
ko00534	ko00590	ko00532
ko00512	ko04082	ko04081
ko04350	ko00340	ko04330
ko00561	ko04391	ko00513
ko00640	ko00830	ko03273
ko00061	ko04068	ko04068
ko04745	ko00531	ko04070
ko03008	ko03273	ko04082
ko00531	ko04013	ko04745
ko03273	ko04070	ko00565
ko00740	ko04820	ko00340
ko00340	ko04310	ko04820
ko00511	ko04214	ko00500
ko00563	ko04081	ko00511
ko00071	ko00562	ko03022
ko04130	ko00310	ko04013
ko04136	ko00600	ko04080
ko00562	ko03083	ko00531
ko04391	ko04080	ko03083
ko00780	ko00513	ko00590
ko04070	ko00440	ko04130
ko04144	ko00330	ko00562
ko00410	ko00062	ko04136
ko01212	ko00604	ko04140
ko04068	ko04136	ko00750
ko04620	ko03022	ko00310
ko04977	ko00592	ko04814
ko00260	ko00981	ko04310
ko00900	ko00565	ko00970
ko04137	ko01040	ko00520
ko00280	ko04711	ko00440
ko04120	ko04140	ko00604
ko03250	ko04745	
ko00513	ko00603	
ko00500	ko03450	
ko00592		
ko01040		
ko00981		
ko04146		
ko03440		
ko00310		
ko00051		
ko04330		
ko00620		
ko00830		
ko00510		
ko00380		
ko03083		
ko00785		
