gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko04214	0.126279769003509	0.140120709807847	21.4966460851148	6.80113471969646e-17	2.08114722422712e-15	28.7435996484831	14.6816971959019	up
ko04392	0.166700979092038	-0.0906807568273405	20.0230381934588	3.29117280557597e-16	8.39249065421871e-15	27.1470298985712	14.076109133705	up
ko00515	0.30483251873841	-0.242714704059143	19.5131294453109	5.81919546263107e-16	1.27190986540365e-14	26.5686947473548	13.8955436641159	up
ko04013	0.116106798730056	0.111174706106727	16.5537327714854	2.11321824572057e-14	2.9392944690477e-13	22.910864653865	12.5317569025711	up
ko04082	0.127336257764572	-0.213362520246795	14.5840455160481	3.16937379221427e-13	4.0409515850732e-12	20.1424932291851	11.3935163528391	up
ko03272	0.102336018825068	0.229668856958714	11.5445780655277	3.9145825104573e-11	3.46222467249778e-10	15.2054363703166	9.46064475308106	up
ko04820	0.129659333225577	0.180270185585741	11.5216791087583	4.07320549705621e-11	3.46222467249778e-10	15.1646839810007	9.46064475308106	up
ko04081	0.0723239347906333	-0.0624339543860269	11.3156448315662	5.83794321097095e-11	4.46602655639278e-10	14.7953865650976	9.35007869880588	up
ko04814	0.082956446504202	-0.00905995759816999	11.1218734256796	8.22474349248663e-11	5.99231311595455e-10	14.4437055283503	9.22240550155385	up
ko04310	0.0795214504476982	0.0536219342152678	10.567841200919	2.2432894804135e-10	1.56010586592393e-09	13.4142391362264	8.80684593021823	up
ko00534	0.134447172382905	-0.0223086339316345	9.81815498925631	9.23543457465694e-10	5.65208595969005e-09	11.9626025024387	8.24779124181018	up
ko00512	0.0905801467311669	0.0747623952724843	8.96184378414386	5.06330521623695e-09	2.67132999339397e-08	10.2181249196721	7.57327245961704	up
ko04350	0.0837169389774941	0.0320784293643664	8.89635122815784	5.78941827676649e-09	2.95260332115091e-08	10.0808030677167	7.52979489607835	up
ko00561	0.082548336239362	0.20788885796043	8.52702897414424	1.24568706883599e-08	5.77545822823957e-08	9.29589799684388	7.23841355289018	up
ko00640	0.11797488772686	0.259619276485779	8.41084516024202	1.59115224962303e-08	7.16018512330365e-08	9.04526724998651	7.14507574906227	up
ko00061	0.100594650554428	0.237008465456612	7.73745403293194	6.81089550899518e-08	2.89463059132295e-07	7.55765401921338	6.53840685245006	up
ko04745	0.0657258414225413	-0.0623209669720617	7.50612481893992	1.13814016713407e-07	4.37675522766593e-07	7.03296122785184	6.35884774085467	up
ko03008	0.0664788554587731	0.208086184031102	7.4996377305556	1.15476459016797e-07	4.37675522766593e-07	7.01814822459181	6.35884774085467	up
ko00531	0.181152249773731	0.104055664827938	7.49268624836097	1.1728559760412e-07	4.37675522766593e-07	7.00226882377866	6.35884774085467	up
ko03273	0.0829179737443951	0.529802841317455	7.32799428659972	1.69825149816912e-07	6.18648760047323e-07	6.62426139507958	6.20855585319003	up
ko00740	0.159688818654124	0.00664450195115134	7.27811504096357	1.90105657375259e-07	6.71439611719664e-07	6.50910025366596	6.17299304103884	up
ko00340	0.161544011507087	0.183818620596077	7.27123066898984	1.93093744546832e-07	6.71439611719664e-07	6.49318110970334	6.17299304103884	up
ko00511	0.144071982817045	0.0252198738176862	7.07946647596509	2.98889971821587e-07	1.01622590419339e-06	6.04738627393541	5.99300973886396	up
ko00563	0.0747365270134556	0.0934511512135431	6.93067144849834	4.20878935654838e-07	1.39987993815631e-06	5.69838078346524	5.85390921034472	up
ko00071	0.0783550514114061	0.389536658054145	6.83183231671657	5.29143079732183e-07	1.65222226936784e-06	5.46508420356469	5.78193152852492	up
ko04130	0.0848070840622162	0.143647708128273	6.61279462861288	8.82624686639222e-07	2.64787405991767e-06	4.94402677770938	5.57710267496629	up
ko04136	0.0645106134390427	0.182396933577843	6.52482282974157	1.08576758848624e-06	3.13438567996971e-06	4.73323110287687	5.5038475655008	up
ko00562	0.060956217760654	0.0434319496662084	6.50508035943758	1.13757806621026e-06	3.2231378542624e-06	4.6858079590835	5.491721119227	up
ko04391	0.0486634535381454	0.067469236641227	6.11299836707393	2.89802073101503e-06	8.06176676082363e-06	3.7355709683023	5.09356977080124	up
ko00780	0.0861910037966594	0.108378857060354	6.08748438754543	3.08168507706929e-06	8.4196038712786e-06	3.67320919504026	5.07470834087147	up
ko04070	0.0506746137512101	0.0164328606629886	6.0158168588957	3.66363209580629e-06	9.83395983611162e-06	3.49771696534014	5.00727156978907	up
