gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00512	0.235361600709285	0.0747623952724843	23.2862715999211	1.13790191191374e-17	4.35247481307005e-16	30.5023762325298	15.3612637333815	up
ko00515	0.350568973721016	-0.242714704059143	22.4408399472573	2.60526794265466e-17	7.97211990452326e-16	29.6612211357421	15.0984261779242	up
ko00514	0.18628436607177	0.0869588326984251	20.7521006631308	1.48965425558847e-16	3.7986183517506e-15	27.8865520869113	14.4203743379417	up
ko03272	0.136828572538872	0.229668856958714	15.4357005031623	9.48925738229455e-14	1.45185637949107e-12	21.2789040450233	11.8380763427816	up
ko04977	0.206872689576143	-0.190127806357404	14.065592670254	6.79369089628044e-13	8.66195589275756e-12	19.2572454064066	11.0623840320563	up
ko04392	0.115602636384441	-0.0906807568273405	13.8854373633415	8.90140697212768e-13	1.0476271282581e-11	18.9795693106312	10.9797932640648	up
ko04330	0.104134804688049	0.0522365444319335	12.027021532327	1.71729240306742e-11	1.64216086043322e-10	15.9367258302779	9.78458430313818	up
ko00511	0.231695583932905	0.0252198738176862	11.3851498883383	5.16773901003704e-11	4.65096510903334e-10	14.8038298198426	9.33245691849991	up
ko00500	0.1156005473851	0.121873767806164	9.099170461185	3.82986232261182e-09	2.54769102330264e-08	10.3792055749355	7.5938532431386	up
ko00534	0.121657278836371	-0.0223086339316345	8.8841587220955	5.936039540895e-09	3.78422520732056e-08	9.92943984842331	7.42202302570941	up
ko00590	0.125798157123707	0.0451342001820968	8.77747156045083	7.39436124973696e-09	4.52534908483902e-08	9.70403290342544	7.34434791374679	up
ko04082	0.0758828248136928	-0.213362520246795	8.69099336196374	8.8452201783842e-09	5.20507187420301e-08	9.5202305962429	7.28357326915935	up
ko00340	0.189836665985404	0.183818620596077	8.54470664021674	1.20033588423097e-08	6.80190334397552e-08	9.20707815660644	7.16736954374648	up
ko04391	0.0609484298336808	0.067469236641227	7.65621066653153	8.1501883970233e-08	3.77872371134717e-07	7.24478415946024	6.4226548611986	up
ko00830	0.12062848116171	0.0941032880332003	7.30427393620455	1.79177414956662e-07	7.48318491838797e-07	6.43920476932262	6.12591352271185	up
