gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00534	0.310196897134172	-0.0223086339316345	22.6524750150635	2.11176486333484e-17	1.61550012045115e-15	29.9246083667309	14.7916930052655	up
ko04392	0.162943838065776	-0.0906807568273405	19.5717548316166	5.44646338210273e-16	1.66661779492344e-14	26.6365562820889	13.7781639854074	up
ko00515	0.264901594726853	-0.242714704059143	16.9570462153027	1.25535118787381e-14	2.40085914680867e-13	23.4432029686065	12.6196333183095	up
ko00512	0.147428173426359	0.0747623952724843	14.5862896816669	3.15908208147347e-13	4.83339558465441e-12	20.1468392587235	11.3157476589886	up
ko03272	0.119239979986199	0.229668856958714	13.4515224774939	1.72637126412512e-12	2.20112336175953e-11	18.4073850267399	10.6573556167696	up
ko04391	0.0995532530376199	0.067469236641227	12.5056655253379	7.76400944533983e-12	7.91928963424662e-11	16.8660649967537	10.1013137731786	up
ko04977	0.176650987184073	-0.190127806357404	12.010772594586	1.7649195096933e-11	1.68770428114421e-10	16.0238178133771	9.77270364794629	up
ko04214	0.0701536660086728	0.140120709807847	11.9422813461108	1.98122225578616e-11	1.78310003020754e-10	15.9052290085263	9.74882429263587	up
ko00514	0.106481702521325	0.0869588326984251	11.8620743978737	2.26985485889957e-11	1.92937663006463e-10	15.7657174194947	9.71458298625305	up
ko00830	0.174632475452078	0.0941032880332003	10.5743140141964	2.21669388114476e-10	1.69577081907574e-09	13.4277088039401	8.77063284237191	up
ko00532	0.121248133762961	0.0176785830437909	9.41566112600297	2.03123433312055e-09	1.41263114985202e-08	11.1556402868224	7.84997122137546	up
ko04081	0.0598422622647176	-0.0624339543860269	9.3627896168155	2.25623260064011e-09	1.50088516477364e-08	11.0479368842446	7.82365253508051	up
ko04330	0.0782905366579013	0.0522365444319335	9.0421446795115	4.29936618071476e-09	2.74084594020566e-08	10.3870309135057	7.56211537496722	up
ko00513	0.0846705461507338	0.107951677821471	8.39155627967875	1.65743094070927e-08	9.39210866401921e-08	9.00480857032625	7.02723689140407	up
ko03273	0.0920902901073432	0.529802841317455	8.13861083772006	2.84344741093974e-08	1.50016363404752e-07	8.45237053189708	6.82386136661903	up
ko04068	0.0719075106401154	0.0449866613480491	7.94787992190685	4.29585301456646e-08	2.19088503742889e-07	8.03024290427662	6.65938041062741	up
ko04070	0.0635912848757922	0.0164328606629886	7.54921439584717	1.03377376341282e-07	4.94273080631756e-07	7.13257026416039	6.30603304167646	up
ko04082	0.0624868741587373	-0.213362520246795	7.15673157736023	2.50502032591729e-07	1.09505174247242e-06	6.22891680707065	5.96056535941807	up
ko04745	0.0620693270429498	-0.0623209669720617	7.08853787381411	2.9274462695803e-07	1.14845969037381e-06	6.06994395904278	5.93988424344278	up
ko00565	0.0883565730414951	-0.00455739338157694	6.73471872724199	6.63394712985972e-07	2.47559490455741e-06	5.236122720357	5.60632041987358	up
ko00340	0.14636187116819	0.183818620596077	6.5878698719958	9.35886432760192e-07	3.25433236846158e-06	4.88577179511609	5.48753809417191	up
ko04820	0.070629358583043	0.180270185585741	6.27620692631106	1.9594099626883e-06	6.37850477215554e-06	4.13440197075652	5.19528111521419	up
ko00500	0.0747625053254694	0.121873767806164	5.88471936724913	5.03422932029828e-06	1.53403078222659e-05	3.17692181673194	4.81416592564322	up
ko00511	0.119750134110467	0.0252198738176862	5.88432978675623	5.03899910412409e-06	1.53403078222659e-05	3.17596217494571	4.81416592564322	up
ko03022	0.0511271889137865	0.18495991781146	5.79148477986407	6.3175361769761e-06	1.85881352899489e-05	2.94690730682583	4.73076417525792	up
