gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00750	0.0743054288595982	-0.104918108006871	3.35490024239086	0.00152960023939038	0.029649295702715	-1.94105835153493	1.52798561852425	up
ko03420	0.02990196625711	0.0906173311635763	3.19747072721547	0.00241614152125301	0.029649295702715	-2.36982905419816	1.52798561852425	up
ko03010	0.0129376537436957	0.455016713765221	2.95963045661487	0.00471415525125547	0.0405628125147914	-2.9915199258344	1.39187193983579	up
ko03015	0.019458586572361	0.0860902583886662	2.90806445448351	0.00542901258173085	0.0423462981375006	-3.12193395823157	1.37318454917568	up
ko03060	0.0145390579609002	0.301987384680777	2.74747973784467	0.00835194126815909	0.0511847971184973	-3.51753874661684	1.29085901378956	none
ko03082	0.0238286106057618	0.0114832262402333	2.59990068178641	0.0122552164615823	0.0616714118711886	-3.86647860406157	1.20991610896225	none
ko03040	0.0188384356065386	0.139848919536539	2.4486962777542	0.0179206569366929	0.0779421675067385	-4.20873667312556	1.1082275210077	none
ko03450	0.0333541235953482	-0.0414541972960343	2.33317681175423	0.0237399317968875	0.0925857340078613	-4.459375235959	1.03345592604987	none
ko04341	0.0145178373184989	0.169128693314124	2.10767582751948	0.0401408280215693	0.1304576910701	-4.92028276974885	0.884530312187809	none
ko00920	0.0201113872533457	0.282671633276734	2.05320578876762	0.0453506694276338	0.141494088614217	-5.02579175709683	0.84926170385597	none
ko03410	0.0261570224034286	-0.0509473447258842	2.02025304059221	0.0487797648200558	0.149208692390759	-5.08849195257943	0.826205875607465	none
ko04070	0.0114079378094711	-0.0225834339501374	1.9946707681068	0.0515944224654472	0.151862828388864	-5.13657552583562	0.818548515809102	none
ko00062	0.0175369198664641	0.162762983437775	1.88453229153428	0.0653654728262112	0.169950229348149	-5.33759284205875	0.769678244999319	none
ko04814	0.00809725284934582	0.213408346506962	1.86502629983509	0.0681050089500163	0.171443159223112	-5.37216734695692	0.765879839046704	none
ko03430	0.0335974566883624	-0.0512870922918315	1.83113349538828	0.0730964742312088	0.175023680035395	-5.43149879334364	0.756903188953869	none
ko04392	0.0181523273049504	-0.201118086201334	1.82489232352523	0.0740484800149746	0.175023680035395	-5.44232095444122	0.756903188953869	none
ko03030	0.0365462553899211	-0.0403105816196364	1.80492336590777	0.0771648949253833	0.177025347181762	-5.47673002870204	0.751964545202945	none
ko04130	0.0194837597865251	0.0441835427262232	1.73002975294364	0.0898498028027783	0.194674572739353	-5.60281421291791	0.710690769795523	none
ko00785	0.0136883519506317	0.0936695149418908	1.6591880579302	0.103395079917118	0.214554894388218	-5.71771475273799	0.668461573969572	none
ko03020	0.0140327361063723	0.125699131629597	1.65362207215806	0.104526743419901	0.214554894388218	-5.7265608495295	0.668461573969572	none
ko00020	0.0066916298223233	0.341742468596542	1.47092001930531	0.147635052305428	0.29153250834996	-6.00199594186888	0.535313010682584	none
ko03050	0.00924412803169739	0.353933348286018	1.44523922906512	0.154685612312733	0.294279945375443	-6.03835642224494	0.531239333243735	none
ko04144	0.00722738579930997	0.0922997472184156	1.42066321311289	0.161677059036762	0.303874954334155	-6.07260151952928	0.517305093413687	none
ko04512	0.0237706025909667	-0.0256887694196318	1.27491272882826	0.208285911088842	0.386816692022135	-6.26449374500598	0.412494793387661	none
ko04382	0.0132456420997822	-0.0533384959747807	1.22114735366503	0.227808850826552	0.418096243869907	-6.33038101211192	0.378723734085319	none
ko03460	0.0131621519728381	-0.132348470990339	1.00378214260944	0.320360429861012	0.526065547982294	-6.56927488831177	0.278960139204762	none
ko00512	0.0142947450433308	-0.156374782875313	0.921100174320095	0.361461072675622	0.555898873746042	-6.64839498661425	0.255004205843387	none
ko03440	0.0132300264189426	-0.1581463803969	0.917215963527152	0.363472340526258	0.555898873746042	-6.65195060800101	0.255004205843387	none
ko00380	0.00576337234175783	0.371489349141819	0.835216389032477	0.407605016417369	0.599813789690308	-6.72361455788089	0.221983554052373	none
ko04082	0.00917650129999328	-0.0999136642330485	0.765920237432894	0.4473570513164	0.626934574217965	-6.7790890564558	0.20277777900769	none
ko04214	0.00328258082287622	0.100043430597522	0.762634828122466	0.449296576328146	0.626934574217965	-6.78160286304232	0.20277777900769	none
ko04215	0.00544893513107844	0.0508476673425947	0.725025877161341	0.471846239199652	0.640069681001267	-6.80962636979623	0.193772744098851	none
