pathway	cpd
ko00010	C00022
ko00010	C00024
ko00010	C00031
ko00010	C00033
ko00010	C00036
ko00010	C00068
ko00010	C00074
ko00010	C00084
ko00010	C00085
ko00010	C00103
ko00010	C00111
ko00010	C00118
ko00010	C00186
ko00010	C00197
ko00010	C00221
ko00010	C00236
ko00010	C00267
ko00010	C00354
ko00010	C00469
ko00010	C00631
ko00010	C00668
ko00010	C01159
ko00010	C01172
ko00010	C01451
ko00010	C05125
ko00010	C06186
ko00010	C06187
ko00010	C06188
ko00010	C15972
ko00010	C15973
ko00010	C16255
ko00020	C00022
ko00020	C00024
ko00020	C00026
ko00020	C00036
ko00020	C00042
ko00020	C00068
ko00020	C00074
ko00020	C00091
ko00020	C00122
ko00020	C00149
ko00020	C00158
ko00020	C00311
ko00020	C00417
ko00020	C05125
ko00020	C05379
ko00020	C05381
ko00020	C15972
ko00020	C15973
ko00020	C16254
ko00020	C16255
ko00030	C00022
ko00030	C00031
ko00030	C00085
ko00030	C00117
ko00030	C00118
ko00030	C00119
ko00030	C00121
ko00030	C00197
ko00030	C00198
ko00030	C00199
ko00030	C00204
ko00030	C00221
ko00030	C00231
ko00030	C00257
ko00030	C00258
ko00030	C00279
ko00030	C00345
ko00030	C00354
ko00030	C00577
ko00030	C00620
ko00030	C00631
ko00030	C00668
ko00030	C00672
ko00030	C00673
ko00030	C01151
ko00030	C01172
ko00030	C01182
ko00030	C01218
ko00030	C01236
ko00030	C01801
ko00030	C02076
ko00030	C03752
ko00030	C04442
ko00030	C05382
ko00030	C06019
ko00030	C06473
ko00030	C20589
ko00040	C00022
ko00040	C00026
ko00040	C00029
ko00040	C00103
ko00040	C00111
ko00040	C00116
ko00040	C00167
ko00040	C00181
ko00040	C00191
ko00040	C00199
ko00040	C00204
ko00040	C00216
ko00040	C00231
ko00040	C00259
ko00040	C00266
ko00040	C00309
ko00040	C00310
ko00040	C00312
ko00040	C00333
ko00040	C00379
ko00040	C00433
ko00040	C00470
ko00040	C00474
ko00040	C00476
ko00040	C00502
ko00040	C00508
ko00040	C00514
ko00040	C00532
ko00040	C00558
ko00040	C00618
ko00040	C00714
ko00040	C00789
ko00040	C00800
ko00040	C00817
ko00040	C00905
ko00040	C01068
ko00040	C01101
ko00040	C01508
ko00040	C01904
ko00040	C02266
ko00040	C02273
ko00040	C02426
ko00040	C02753
ko00040	C03033
ko00040	C03291
ko00040	C03826
ko00040	C04053
ko00040	C04349
ko00040	C04575
ko00040	C05385
