gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko01210	0.0633571303141354	0.234436696090937	6.24463533629436	1.74138323369814e-06	0.000128826088260784	5.1822467683143	3.88999618014065	up
ko00563	0.0976366844347533	0.0934511512135431	5.87941144455426	4.30285359856745e-06	0.000131667320116164	4.31127072919199	3.88052200373518	up
ko00760	0.0451234173700596	0.134326169382436	5.15527117453248	2.67667061894095e-05	0.000682551007829942	2.55010879036711	3.16586488774315	up
ko04215	0.0480019844315054	0.12085584031529	4.75173359996912	7.51017649150687e-05	0.00137288366539251	1.55722062304136	2.86236626219416	up
ko00450	0.0791180176417066	0.103286940508569	4.67407991127337	9.16400284263503e-05	0.00140209243492316	1.36592576581942	2.8532233539487	up
ko00470	0.292384697822781	0.245360695062739	4.30601971280167	0.000235353637207216	0.00276993126866955	0.460996083858597	2.55753100711168	up
ko03420	0.0369289906859595	0.119257405227067	4.16177350204794	0.000340316942126491	0.00371917801038237	0.108139722179603	2.42955303458089	up
ko04137	0.0544759127235144	0.343109412793531	4.10876811301674	0.000389611321782486	0.00397403548218136	-0.0211208853087053	2.40076825961	up
ko04320	0.118071906915029	0.0962281107608018	4.07613522696281	0.000423414133051117	0.00404889764730131	-0.100575754891254	2.39266320168901	up
ko03020	0.0931278589502415	0.201466948263251	3.9777462646183	0.000543909187656799	0.00485644645524745	-0.339492095619285	2.31368139521579	up
ko03040	0.0552558185593055	0.279492165890823	3.81488443365374	0.000821904622786806	0.00581036694279253	-0.732480297906152	2.23579643969267	up
ko04980	0.203954997300304	0.124005031387743	3.81028692923575	0.000831509660748801	0.00581036694279253	-0.74352292271257	2.23579643969267	up
ko03410	0.0736476614561618	0.0618349588181719	3.8084028898772	0.000835477599617227	0.00581036694279253	-0.748047269743924	2.23579643969267	up
ko00900	0.0554759275958291	0.253856828388228	3.36545814795568	0.00252702217975797	0.0161097663959571	-1.79459840943255	1.79291075714021	up
ko03060	0.0567484569345184	0.374996195193012	3.16249745907483	0.00415123734508998	0.0244284351461064	-2.2596690827669	1.61210435247715	up
ko00970	0.0277426395233484	0.131448859241803	3.14241349442217	0.00435821565992165	0.0246965554062227	-2.30508084099078	1.60736361647278	up
ko00785	0.0342621570330774	0.202339136710166	3.09057664385031	0.00493931589522952	0.026989833284647	-2.42173969491033	1.56879979805858	up
ko04145	0.0242847700741204	0.310564267884698	3.0544876600397	0.00538705599295235	0.0273722405374164	-2.5024760590973	1.56268965223507	up
ko03015	0.042107391969545	0.21414911236439	3.03902115620244	0.00559062713157302	0.0273722405374164	-2.53695229022448	1.56268965223507	up
ko00920	0.109706520783277	0.293596665543567	3.01624876889087	0.00590381658650157	0.0273722405374164	-2.58757512380612	1.56268965223507	up
ko00280	0.0581692484774275	0.29962646772589	2.81487113585308	0.00950415701728742	0.0393009736120264	-3.02756209402248	1.40559669061457	up
ko03030	0.0784145613679104	0.0555968214353549	2.78827671333696	0.0101124129806419	0.0394070529944804	-3.08456904263993	1.40442604207149	up
ko03008	0.0588506138321209	0.208086184031102	2.7802594270385	0.0103028838935813	0.0394070529944804	-3.10170136225933	1.40442604207149	up
ko04150	0.031568928703067	0.0716849344907727	2.7751139377623	0.0104269084701903	0.0394070529944804	-3.1126837457833	1.40442604207149	up
ko00430	0.0482219293496518	0.0251925251858607	2.67712127109036	0.013075285956897	0.0467053540702228	-3.31982493753084	1.33063333121395	up
ko00770	0.0389825341359253	0.224833274743462	2.67542245604261	0.0131263413399973	0.0467053540702228	-3.32338142602341	1.33063333121395	up
ko03250	0.0407189044320351	0.26977760542253	2.62556169859387	0.0147108303574215	0.050595334654063	-3.42722293087624	1.29588952718011	none
ko00510	0.0267352236858572	0.131312952901612	2.5915691511615	0.0158918239095192	0.0528575882207922	-3.49740359108356	1.27689265668477	none
ko00561	0.0464767598541776	0.20788885796043	2.55877923136959	0.0171143994804492	0.0557128323512496	-3.56461790085485	1.25404476214277	none
