Pame_vs_Bger_down	Pame_vs_Esin_down	Pame_vs_Pful_down
ko03083	ko03450	ko01200
ko04068	ko00603	ko00600
ko03022	ko04745	ko00030
ko00020	ko04711	ko04142
ko04080	ko04140	ko00601
ko00480	ko01040	ko04310
ko00515	ko00565	ko04330
ko04382	ko00981	ko00500
ko04711	ko00592	ko01230
ko03272	ko03022	ko04382
ko00062	ko04136	ko00061
ko00670	ko00604	ko00670
ko01232	ko00062	ko00603
ko04624	ko00330	ko01212
ko00511	ko00440	ko00330
ko00100	ko00513	ko00780
ko00830	ko04080	ko00590
ko00220	ko03083	ko00220
ko00500	ko00600	ko00630
ko00040	ko00310	ko00511
ko00400	ko00562	ko00515
ko00860	ko04081	ko00062
ko00790	ko04214	ko00512
ko00350	ko04310	ko00514
ko00360	ko04820	
ko04341	ko04070	
ko00532	ko04013	
ko00565	ko03273	
ko00590	ko00531	
ko04330	ko00830	
ko04977	ko04068	
ko00520	ko04391	
ko00604	ko00340	
ko00330	ko04082	
ko00440	ko00590	
ko00240	ko00534	
ko00600	ko00500	
ko00512	ko00511	
ko00603	ko04330	
ko00514	ko04392	
ko00601	ko04977	
	ko03272	
	ko00514	
	ko00515	
	ko00512	
