Pame_vs_Bger_up	Pame_vs_Esin_up	Pame_vs_Pful_up
ko04214	ko04980	ko00532
ko04320	ko00190	ko00534
ko00780	ko03010	ko04980
ko03020	ko03060	ko00563
ko03008	ko03050	ko04214
ko00563	ko04320	ko04392
ko04137	ko03020	ko01210
ko00561	ko00220	ko04391
ko04013	ko03040	ko00130
ko00071	ko00860	ko00860
ko03250	ko03018	ko01240
ko04814	ko04150	ko04745
ko00470	ko00780	ko00970
ko00900	ko00470	ko00513
ko00640	ko04122	ko03420
ko04980	ko01210	ko04215
ko03015	ko03410	ko04081
ko03040	ko04137	ko00760
ko03060	ko03015	ko03010
ko04350	ko00450	ko00565
ko00061	ko00130	ko04130
ko00920	ko00052	ko00830
ko00280	ko00910	ko00450
ko00740	ko00290	ko00510
ko00190	ko00532	ko00100
ko01210	ko00563	ko00541
ko04392	ko03030	ko04137
ko04081	ko00250	ko00520
ko04145	ko03013	
ko04082	ko03008	
ko04130	ko05100	
ko04820	ko00100	
ko04120	ko00920	
ko03410	ko03250	
ko00760	ko00730	
ko04745	ko01250	
ko04620	ko03420	
ko00450	ko00400	
ko04310	ko03082	
ko04150	ko00360	
ko04144	ko00760	
ko04981	ko00900	
ko05100	ko04145	
ko00785	ko00770	
ko00410	ko04215	
ko00250	ko02010	
ko03440	ko01232	
ko04215	ko00270	
ko00510	ko04141	
ko00380	ko00280	
ko00260	ko00071	
ko00770	ko01240	
ko00051	ko00350	
ko01212	ko00230	
ko00970	ko04981	
ko03013	ko01100	
ko04148	ko00430	
ko03010	ko03430	
ko04136	ko00630	
ko03420	ko00480	
ko00430		
ko03018		
ko01200		
ko00910		
ko04146		
