gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00630	0.056754882257568	0.294017814763156	5.50525832333467	1.10969963621108e-05	0.000565946814467651	3.30991271842638	3.24722438024021	up
ko00780	0.172629550184924	0.108378857060354	4.54836523276684	0.000127114540747505	0.00243106559179604	0.928455020275565	2.61420332343935	up
ko01200	0.0416367452378433	0.313255673359349	4.25925037540119	0.000266376247461024	0.00452839620683741	0.209975947810666	2.34405558205932	up
ko04981	0.0618901637400437	0.0625644560143403	3.81179543423356	0.000830906968166311	0.0115571605572223	-0.888555697824253	1.93714885326865	up
ko00030	0.0524334195262116	0.192088895129379	3.60516115312429	0.00139667824107016	0.0177402058102645	-1.38670568791813	1.75104134607454	up
ko00061	0.0792929175385434	0.237008465456612	3.56229699976523	0.00155450340160849	0.0177402058102645	-1.4890785950773	1.75104134607454	up
ko01212	0.0491877671467862	0.246623290517948	3.54493248771106	0.001623286806168	0.0177402058102645	-1.53044656551334	1.75104134607454	up
ko03018	0.0466015035130847	0.196216652499205	3.30687993662125	0.00292472826648159	0.0298322283181122	-2.09086358200669	1.52531430580266	up
ko04142	0.0221951904086987	0.196164434191556	3.14237268257662	0.00436645960323964	0.037114906627537	-2.46977795851833	1.43045162769371	up
ko00071	0.0668053776043062	0.389536658054145	3.11976304199062	0.00461163782439818	0.0371358203754169	-2.52124933242756	1.43020697754935	up
ko00910	0.202825031473496	0.295951550882826	3.07104547832844	0.00518568228610034	0.0396704694886676	-2.6316241313235	1.40153265974437	up
ko05100	0.0307782071599841	0.227348989589255	2.9436323261754	0.00702884145931913	0.0485640764098845	-2.91666623556998	1.31368486624879	up
ko03015	0.0411726852794349	0.21414911236439	2.94227570314573	0.00705148223410149	0.0485640764098845	-2.91967162863611	1.31368486624879	up
ko03013	0.0332851244378867	0.205035739619607	2.92762365231778	0.00730048207468852	0.0485640764098845	-2.95208983729296	1.31368486624879	up
ko03250	0.0436630591242851	0.26977760542253	2.87240562938447	0.00831617579706169	0.0530156207062683	-3.07357191915342	1.27559614951225	none
ko00250	0.048243733831098	0.226867652525179	2.81476301428819	0.00951890750622289	0.0560151095558501	-3.19918750490081	1.2516948102861	none
ko00920	0.103172923454318	0.293596665543567	2.77397454015964	0.0104675693282857	0.0593162261936187	-3.28730513462721	1.22682648737094	none
ko01230	0.0340680845854953	0.248849760515142	2.71963547889065	0.011870643773526	0.0642513010822019	-3.40366998512205	1.19211807348928	none
ko03020	0.071274650371912	0.201466948263251	2.6993063566386	0.0124396980708732	0.0642513010822019	-3.44689421514241	1.19211807348928	none
ko00062	0.049017953487394	0.23565199784312	2.69049083228545	0.0126943532710477	0.0642513010822019	-3.46558454050381	1.19211807348928	none
ko04320	0.0885414860693747	0.0962281107608018	2.67951581583971	0.0130182374741716	0.0642513010822019	-3.48880774693455	1.19211807348928	none
ko00620	0.0309448739965145	0.274413837525961	2.64756322311154	0.0140059196683808	0.0647651272821721	-3.55612837018003	1.18865877662328	none
ko03008	0.0562464908081947	0.208086184031102	2.61793344510038	0.0149841662393814	0.0655022124178673	-3.61816127982159	1.18374403092968	none
ko00290	0.136589435000519	-0.00800728304042103	2.44216070831137	0.022226236880843	0.0894898484939204	-3.9779526690078	1.04822622717708	none
ko03060	0.0453343729304341	0.374996195193012	2.35424136408392	0.0269565147144061	0.0983041994394843	-4.15231243458163	1.00742792922341	none
ko00220	0.136411970150607	0.0804242343094964	2.26124369245557	0.0329502382851356	0.110624000302806	-4.33237790819679	0.956150640948913	none
ko04150	0.0268258277871485	0.0716849344907727	2.25687617546298	0.0332595033590136	0.110624000302806	-4.3407201447115	0.956150640948913	none
ko03040	0.0362049715911507	0.279492165890823	2.15572245488194	0.0412001155543748	0.13132536832957	-4.53095345877959	0.881651372453083	none
ko00470	0.174631319828392	0.245360695062739	2.1052221335442	0.0457713314397762	0.142918647148689	-4.62372941176524	0.844911103431255	none
ko00190	0.0571548172433679	0.51866757474087	2.00216175814263	0.0565302518859929	0.169590755657979	-4.80831972013935	0.770597824698106	none
ko00052	0.0414470581015943	0.245242667181509	1.98557987698114	0.0584562605267717	0.171711163814002	-4.83740716621893	0.765201468233344	none
ko04137	0.0301040076489643	0.343109412793531	1.86309029512152	0.074560962775159	0.207498120405971	-5.04680715895336	0.682985832932671	none
ko04120	0.0190859849302737	0.213030421445537	1.86288557191922	0.0745908275969176	0.207498120405971	-5.04714889919394	0.682985832932671	none
ko04382	0.0309152339033802	0.0820673143998141	1.82384960376255	0.0804782318979331	0.218331173911475	-5.11179566773953	0.660884250130788	none
ko03050	0.0396559957258612	0.493077253926649	1.79727043110644	0.084712705572532	0.219678711060973	-5.15522059687937	0.658212028271692	none
ko00770	0.0271505405991955	0.224833274743462	1.73408421026738	0.0955536479196712	0.243661802195162	-5.25649048161608	0.613212547943279	none
ko00280	0.0380649992659197	0.29962646772589	1.68932603501184	0.103928604772711	0.252398040162299	-5.32652015478026	0.597914021654541	none
ko00900	0.0303246090781416	0.253856828388228	1.59556695953926	0.123489582200583	0.284405451230343	-5.46850337080525	0.546062083692732	none
ko04213	0.012804286654661	0.0471764200229408	1.59281364770352	0.124107390565101	0.284405451230343	-5.47257450810095	0.546062083692732	none
ko04145	0.0140362094470064	0.310564267884698	1.57235510969812	0.128778671979449	0.289752011953761	-5.50264675143623	0.537973539739232	none
ko03410	0.0361662146204289	0.0618349588181719	1.55041335174472	0.133948942201818	0.292774116526831	-5.53454760546165	0.533467320873388	none
ko00670	0.028689001245	0.178529419709422	1.46538688211594	0.155615307833664	0.334714186160481	-5.65467339736396	0.475325880589177	none
ko00410	0.0268759520507768	0.296282495506983	1.39197145768897	0.176521157320831	0.350749832079053	-5.7538276581412	0.455002528217373	none
ko00051	0.0161821277933816	0.391341009295608	1.35648494712388	0.18739508432316	0.358393098768043	-5.80020292366619	0.445640361721447	none
ko01040	0.0280976322052145	0.195113851148522	1.26485511911014	0.217900318381383	0.392220573086489	-5.91516274695302	0.406469630087902	none
ko04310	0.0186185380868595	0.0536219342152678	1.24866877779713	0.22366366941411	0.395144555101624	-5.93474207713452	0.403243998048712	none
ko00561	0.0240635823572663	0.20788885796043	1.20948544025865	0.238093804975775	0.409307327654983	-5.98121973212952	0.387950480295756	none
