Pful_vs_Bger_down	Pful_vs_Esin_down	Pful_vs_Pame_down
ko00982	ko00440	ko00520
ko00053	ko00604	ko04137
ko04512	ko00520	ko00541
ko04122	ko00970	ko00100
ko04711	ko04310	ko00510
ko00750	ko04814	ko00450
ko03083	ko00310	ko00830
ko00564	ko00750	ko04130
ko04624	ko04140	ko00565
ko04068	ko04136	ko03010
ko00480	ko00562	ko00760
ko04080	ko04130	ko04215
ko01240	ko00590	ko04081
ko00513	ko03083	ko03420
ko01232	ko00531	ko00513
ko00541	ko04080	ko01240
ko00270	ko04013	ko04745
ko00400	ko03022	ko00970
ko03022	ko00500	ko00860
ko00590	ko00511	ko00130
ko00130	ko04820	ko04391
ko00512	ko00340	ko01210
ko00360	ko00565	ko04392
ko04330	ko04745	ko04214
ko04341	ko04082	ko00563
ko04391	ko04070	ko04980
ko00040	ko04068	ko00534
ko00330	ko03273	ko00532
ko04977	ko00513	
ko00350	ko04330	
ko00790	ko04081	
ko00100	ko00532	
ko00830	ko00830	
ko00604	ko00514	
ko00440	ko04214	
ko00240	ko04977	
ko00600	ko04391	
ko00565	ko03272	
ko00860	ko00512	
ko00520	ko00515	
ko00603	ko04392	
ko00534	ko00534	
ko00514		
ko00601		
ko00532		
