Pful_vs_Bger_up	Pful_vs_Esin_up	Pful_vs_Pame_up
ko00780	ko00190	ko00514
ko03008	ko03010	ko00512
ko04320	ko04980	ko00062
ko03020	ko00220	ko00511
ko00071	ko03050	ko00515
ko00061	ko03060	ko00630
ko04013	ko04320	ko00220
ko04137	ko03020	ko00590
ko03250	ko00780	ko00780
ko04214	ko03018	ko00330
ko00561	ko03040	ko01212
ko03015	ko00052	ko00670
ko04814	ko04150	ko00603
ko04350	ko00910	ko00061
ko04310	ko03015	ko04382
ko00920	ko00290	ko00500
ko04082	ko00630	ko01230
ko00900	ko00470	ko04330
ko00470	ko00400	ko04310
ko01212	ko03013	ko00601
ko03060	ko00860	ko04142
ko00740	ko00250	ko00030
ko00280	ko05100	ko00600
ko00563	ko03410	ko01200
ko04981	ko00360	
ko00640	ko04122	
ko03040	ko03008	
ko04120	ko00920	
ko04820	ko04137	
ko01200	ko03250	
ko05100	ko01200	
ko00190	ko03030	
ko00410	ko00071	
ko03018	ko04981	
ko04145	ko00450	
ko00250	ko00730	
ko00630	ko00601	
ko04150	ko01230	
ko00620	ko01250	
ko04144	ko00770	
ko03013	ko00061	
ko04620	ko01232	
ko00051	ko01210	
ko00910	ko00020	
ko00030	ko00100	
ko04142	ko04145	
ko00260	ko02010	
ko03410	ko03082	
ko00380	ko00030	
ko00770	ko00130	
ko04146	ko04382	
ko04136	ko00900	
ko01040	ko00350	
ko00562	ko04142	
ko00515	ko04213	
ko04148		
ko03440		
ko00592		
