gene_set	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko00010	0.256683609272045	0.344588363781207	0.278989522489187	0.348367021399182	0.322768313359118	0.354405468420349	0.27244162032447	0.339664584102168	0.3408100465831	0.317149328435381	0.350293218939269	0.324849682365696	0.327712167218115	0.335892021162319	0.307649610221577	0.314450407359193	0.303587597369747	0.321090641109835	0.321870299013322	0.312792062511959	0.329731711029424	0.308471628826875	0.30083632577473	0.312491584285572	0.316217963890966	0.347118922155384	0.297615750938619	0.32156815066745	0.325145100998577	0.299895208325682	0.316522427247828	0.32256916448637	0.294671309403103	0.315298714181797	0.31488862290064	0.308291576970025	0.324340747013162	0.353319980522526	0.291984114629305	0.311578927911993	0.274832518639372	0.297838195029265	0.264403015946289	0.303844857543803	0.260404043220878	0.266789505824762	0.341090033960861	0.200425999106287	0.309303071331438	0.296857748798509
ko00020	0.331168242186763	0.368948863722942	0.342254447368438	0.348852630644997	0.3343417649777	0.375620452365894	0.341115809464731	0.347849144857555	0.34534692234066	0.334603985591741	0.340855988482894	0.331011723193811	0.331260045130265	0.341314973170587	0.31814728689933	0.332837485340972	0.34371150827933	0.341498231647246	0.344084113784807	0.329346711979757	0.340604701205911	0.332647074944861	0.329341939913427	0.331611090523417	0.344555661895508	0.337823006211008	0.338745722538675	0.3423376697116	0.347962755874554	0.343743132202996	0.332884583688955	0.351862797284008	0.345564357048243	0.328074643871793	0.341272969693159	0.325373409267365	0.346833444155987	0.342030274867637	0.360742989876197	0.349106609073667	0.334756691504334	0.348688779721347	0.3337975740743	0.333751971578659	0.352702421604661	0.319508044495416	0.33771327874654	0.369116150695307	0.356905083510206	0.36289426861696
ko00030	0.068835304823312	0.12824388159307	0.0936567308599553	0.133801677413683	0.129427871532882	0.133006364750157	0.0905033850075945	0.128934661628418	0.144635644052538	0.122529916161029	0.102210115944555	0.105727323962947	0.11752167555441	0.153858904134774	0.0891362288204448	0.131223199249634	0.096404332213339	0.0981023747881973	0.10874923880153	0.11841785673598	0.0935251591795901	0.117298907835412	0.102131355631723	0.102506817396823	0.143074452425591	0.134199137718089	0.121082998201562	0.130467800342735	0.117244504670843	0.111930903992711	0.108194726157904	0.0901292379285574	0.114383415533956	0.121653621421744	0.105993172213241	0.10205073123479	0.113523418725428	0.132682372537501	0.0883272336786968	0.102078625060621	0.07747523130376	0.1015469781892	0.0628656875044905	0.160328391552849	0.0602637211870701	0.139528074708037	0.108706876548039	-0.0255096374240722	0.101253408334963	0.0878963968584538
ko00040	0.0292781095467862	0.196687481865238	0.073144898960417	0.235374993660742	0.151357078785347	0.224253023460251	0.0605743393732689	0.208532812772853	0.216604482796465	0.138450158023559	0.310013897361657	0.257993289480961	0.281478118113211	0.30459242291015	0.268342117786152	0.267061790832682	0.24554292346692	0.283244394912953	0.283898603886921	0.281512283654611	0.273342273679395	0.247786467973036	0.242373608794638	0.249428985396995	0.264298110211484	0.28461741591643	0.234202359838213	0.279281146889566	0.269747979129512	0.242983514704376	0.256710420628843	0.246385326559595	0.241630675976725	0.207855599635843	0.241541751692859	0.240554984956717	0.24383409015962	0.2651221892941	0.22235275017826	0.240089118597522	0.191852031963048	0.231898362523145	0.187093497866983	0.197196504434577	0.165229800668036	0.168580470876423	0.270337187492964	0.0641745069944165	0.244343678970558	0.224972573909072
ko00051	0.229222825551658	0.208897093906787	0.21867785474544	0.249352023092887	0.220679588195427	0.197664705016995	0.207167712193511	0.234405658643591	0.237639510786732	0.22029974064679	0.253989545811589	0.240030934395552	0.234558893407552	0.236422267997784	0.234728590871577	0.232454236067187	0.239377973062441	0.22537020991487	0.224708266435188	0.222912358844784	0.234977774167266	0.230464733078438	0.228603808688823	0.23364330540546	0.221224989252136	0.256836678862845	0.233586669559234	0.236278876625493	0.232236117848084	0.224112229097504	0.251423285536523	0.23664992761973	0.235477346443124	0.215542026026521	0.230724792845275	0.223952036786859	0.237367660767795	0.256131876144172	0.228952939342134	0.233662012560434	0.221372698323575	0.231387131188176	0.207654274388016	0.226297522560322	0.232666835439001	0.221932133281794	0.250686443411764	0.157929413288047	0.213098135022681	0.19903147038442
ko00052	0.126609986985652	0.295212868233573	0.264754858400592	0.343173187401593	0.282090642939129	0.299685348887913	0.248902838008956	0.319419118669455	0.340739838873287	0.286422281446651	0.326796490297046	0.324484676327087	0.342880515944354	0.334410759927304	0.325369495968885	0.331893456223315	0.322896994602501	0.31477081498906	0.328496657572426	0.316049614920391	0.325016602621659	0.327537809070973	0.326257928017848	0.33542544795368	0.331334283731977	0.348653912710541	0.318398227949182	0.341529859252667	0.300039247401946	0.30506657871128	0.333561287958446	0.331315245945149	0.335619621022084	0.302234916097141	0.331714080327537	0.318724295123468	0.347719625070582	0.344317974985844	0.309828966733147	0.323692177527716	0.303415342747998	0.304926285007985	0.287032467125248	0.275880158361246	0.227515844066945	0.28837883299052	0.345914736360816	-0.0295021099144188	0.329382089211514	0.309300986790168
ko00053	0.0313241737704333	0.224936219289375	0.0862187662753896	0.257979328169744	0.182227552324233	0.252988025003502	0.0709049118765716	0.232870872662578	0.237933770100037	0.167499009615941	0.317881283677891	0.273373857552213	0.294121748691368	0.317904753403523	0.281440074249342	0.277151209549652	0.252337576662699	0.294628097067438	0.296643543264473	0.295362425331426	0.286016607054618	0.263517962781768	0.259515048526355	0.258464214483035	0.275886232489448	0.293064020422108	0.248437146915251	0.289411794569848	0.280015782882412	0.260003835195196	0.269701265144908	0.256858142007286	0.247292293501427	0.216910146380484	0.255085635522004	0.254759497934679	0.255955788555719	0.270842265642818	0.230490859665017	0.255000493324187	0.202232115189776	0.235627866594051	0.194669217309439	0.215822179365544	0.168280313131165	0.18263840852081	0.277640126176204	0.07640281604722	0.25442381601375	0.235146018736936
ko00061	0.0676485316569717	0.13079478999958	0.0976614077000685	0.177067091674158	0.177843729461072	0.148812166064568	0.0900119435348786	0.186420255974753	0.166502169193336	0.16223207946688	0.148580535149966	0.164870916318516	0.162281538221426	0.140392647393894	0.116861262999673	0.154595114221499	0.123341745814877	0.109610789575291	0.13356478509584	0.136433157594461	0.149386395953242	0.121171350580612	0.142941302277329	0.122267429034541	0.171243861689677	0.144500675599402	0.123274503554431	0.13503047545848	0.122969595603687	0.136583594289675	0.149436841137799	0.123662800882988	0.163582579444399	0.104558485202112	0.151822278163992	0.151164234420358	0.158627856940969	0.163504269189699	0.135982070845523	0.136110103369507	0.126067699257042	0.139282919885185	0.109110096791706	0.13868758182438	0.130715982964201	0.135267199444852	0.154106293074153	0.128791520800089	0.148563545150644	0.144250258021313
ko00062	0.12551943470088	0.169041432235717	0.0599931743000845	0.0969192246830699	0.0690475454288333	0.180164054013629	0.0735662091133981	0.0894443031412957	0.0981509881135287	0.0638892610874005	0.133374619082474	0.191665077293871	0.162892351394471	0.165964341219137	0.151096193619028	0.155831660614041	0.173956267556643	0.148466054325424	0.167583801359913	0.195746120804246	0.185153308467905	0.145888102983488	0.209646815930196	0.163874276583984	0.160221830704545	0.174733019962596	0.180205390464585	0.167239457989499	0.15612270604713	0.156908748826021	0.172661973547046	0.170096016068232	0.18072023161274	0.17925481829596	0.21571380930035	0.185327988306093	0.207622183924729	0.187578473050568	0.194802395425237	0.234167074643916	0.190003358531662	0.172696441248878	0.175098275883737	0.160180277371488	0.205558392498363	0.176948821711144	0.184939663508474	0.182435534742013	0.18989543111765	0.200142239053439
ko00071	0.192953599759514	0.216602443113863	0.210613481763576	0.238452874236145	0.24269594394825	0.232085920053975	0.207732423434207	0.238472298428285	0.232672607465722	0.236346415826724	0.231220492355526	0.275652340826275	0.259805403991828	0.268170825653548	0.226867030454815	0.26931125747614	0.227131652566584	0.249960278957702	0.250097109696725	0.253789351335102	0.239552266607703	0.232086183164616	0.252799899690984	0.252464579445855	0.275670626223979	0.276232132986471	0.235083485913846	0.257132594871226	0.222179227631484	0.235849725395118	0.260351802414961	0.24888296592097	0.26475528946386	0.230214702135391	0.26445974845877	0.235357102048384	0.263204956957072	0.292397963027796	0.229244606182721	0.276385931449968	0.228179401065658	0.247083348981908	0.225839486484185	0.225916477997209	0.190196904844524	0.201230765423381	0.271198817632414	0.155793892232056	0.250958313830978	0.238496789765457
