gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00910	0.129579827493743	0.225048540026916	11.213137157659	2.59920452511897e-15	4.05475905918559e-13	24.655670351051	12.3920349472173	up
ko04215	0.0771014065809498	0.0508476673425947	10.635798929213	1.7198885761074e-14	1.3101789941275e-12	22.7869462700938	11.8826693678163	up
ko03266	0.125922216973042	0.0915615524984039	9.87208951729978	2.23115492303569e-13	7.22929694933146e-12	20.2503536209754	11.1409039358828	up
ko04214	0.0409809677670483	0.100043430597522	9.86098122209983	2.31708235555496e-13	7.22929694933146e-12	20.2129380523405	11.1409039358828	up
ko00534	0.0907791139215341	0.00686178040331889	9.32090685507089	1.47966564770316e-12	3.84713068402823e-11	18.3769047479366	10.4148630607978	up
ko03265	0.233119885012899	-0.0187703606915542	9.03930850062412	3.93939385736298e-12	8.77922059640894e-11	17.4071094771955	10.0565440382743	up
ko00350	0.0784660887322788	0.217163591993692	8.59333478576436	1.88738905492213e-11	3.68040865709815e-10	15.855487496501	9.43410395641638	up
ko00750	0.18906174415394	-0.104918108006871	8.03257539751155	1.3865675418658e-10	2.16304536531065e-09	13.8811378228244	8.66493437205537	up
ko04137	0.0329966654699848	0.139503342707626	7.71376937092959	4.35089991405546e-10	6.17036715084229e-09	12.7495839168675	8.20968899369109	up
ko00785	0.0602169917721695	0.0936695149418908	7.40455412407991	1.32580325664739e-09	1.72354423364161e-08	11.6476870316203	7.76357756622763	up
ko01210	0.053210751235776	0.196067622914851	6.92546712145096	7.49670547299949e-09	7.79657369191947e-08	9.93610586424564	7.10809621187508	up
ko04512	0.117350045956015	-0.0256887694196318	6.45578645554511	4.10224438764796e-08	3.99968827795676e-07	8.25967021431553	6.39797385478169	up
ko04350	0.0318676718687875	0.000513285821082661	6.04623138839851	1.79644940511311e-07	1.5089612555642e-06	6.80598643563535	5.82132191112613	up
ko03050	0.0377543811142699	0.353933348286018	6.02562291993166	1.93456571226179e-07	1.5089612555642e-06	6.73316726023863	5.82132191112613	up
ko03030	0.120124833361757	-0.0403105816196364	5.9904421314924	2.19517295231531e-07	1.63069990743423e-06	6.60894625003296	5.78762595345182	up
ko03430	0.102833534809626	-0.0512870922918315	5.65411282626415	7.31009638425162e-07	4.95815233018806e-06	5.42796980151438	5.3046801344573	up
ko00330	0.0416013234595737	0.271819282974594	5.27065929267998	2.83776537435408e-06	1.77076559359695e-05	4.1002524627137	4.75183892505786	up
ko04120	0.0240803423457353	0.0335743232443436	4.76115023216835	1.65938106811435e-05	8.62878155419461e-05	2.37941316826768	4.06405052544921	up
ko04310	0.0226658959861035	0.0425831362332076	4.35719877786717	6.46574954543698e-05	0.000288187694025191	1.0622765492173	3.5403245680434	up
ko03273	0.0499949357701397	0.448913134996774	4.31004599866309	7.55699594318877e-05	0.000318619288415526	0.911809736472231	3.49672793663638	up
ko00360	0.0562259776530579	0.313975545919302	4.22210573328889	0.000100905542260308	0.000391633770830459	0.633207449610317	3.40711986576331	up
ko05100	0.0273706722406943	0.235131123119619	4.21603972586474	0.000102929388487492	0.000391633770830459	0.61408916685958	3.40711986576331	up
ko04624	0.0410839518428131	0.029446408582667	3.98549449776404	0.000217056864347088	0.00075246379640324	-0.102476667795953	3.12351439061855	up
ko00564	0.035842170670511	-0.0218495228414884	3.92736127452702	0.000261258443822573	0.00088600689644177	-0.279918154689192	3.05256289766718	up
