pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko01232	-0.023612733160994	-0.0082645467452903	-4.3899790799566	5.79925768745668e-05	0.000266083588012718	1.16731237757628	-3.57498191182713	down	-0.0134813428663498	-0.0391063163143871	-0.0518297322148395	-0.016882397322449	-0.0159870499690187	-0.0336807674598148	-0.0316375112801417	-0.0180339859730839	-0.0227192026166007	-0.0281890267241697	0.0076398841833162	-0.00111598876935518	0.0174732262504232	0.0101698402522968	-0.0330987714249999	0.00357817276748704	-0.00989875815250931	-0.00704765213324279	0.0095356066738918	-0.0056151483292398	0.00324507142821365	-0.0220298735869508	0.0109732730440233	-0.0133243708837902	0.00455465697439277	0.0111418906204717	0.00352173491397154	0.00786608814372574	0.00598260975127766	-0.011525334206248	0.0095854148898669	-0.00204598831946729	0.00281567670204261	-0.0451473469003077	0.00344420266999985	-0.0274904841727569	-0.00335191660193252	0.0180175631053744	-0.00496328752072195	0.0116399370370167	-0.00161724569460274	-0.00863713380935813	0.00607364447569086	0.00290654060726015	-0.0247667141891711	-0.0108495069780341	0.00725851574790346	-0.0429197836864847	-0.00826465896923192	-0.0153935904339014
ko04136	-0.0526994445722323	0.0786677575088019	-10.5206642059629	2.51957498870673e-14	1.3101789941275e-12	22.4091601464002	-11.8826693678163	down	0.0529301724793356	0.00691163212025039	0.0552011196944437	0.0266699200185443	0.0537469893900229	0.0128991617135267	0.0522015280096382	0.031832521126035	0.0224028272137662	0.050286146744598	0.104177886145852	0.0957630072874373	0.0834312817310828	0.0951836239107763	0.0931014642676513	0.0959916190762942	0.0855511148258769	0.0889664606547801	0.0843917865289194	0.0808106457812036	0.0839486793455418	0.0985070180448548	0.093210904869837	0.10427024597854	0.080974343880676	0.0884782792436274	0.0820952847778577	0.0721745802076196	0.0725798484071299	0.0728582625956421	0.0863055235103682	0.091183977845568	0.0908020930116052	0.0884973182333538	0.0833039381849401	0.106793718246634	0.0891282644967185	0.0886202359833738	0.0964491905350203	0.0717148204654816	0.100911572565734	0.0910814510217345	0.0780982719563307	0.0878434914798974	0.0929349357899843	0.11095142846003	0.0761520101154963	0.131440965412767	0.0721667799353686	0.0774595321183296
ko00541	-0.0418725600131731	0.125883739839934	-4.13705198145125	0.000133165360589035	0.000483111540741616	0.36634862904348	-3.31595258780734	down	0.0402082286935897	0.0463165675720525	0.0619437672307493	0.186436365228985	0.0995725724899383	0.0708439200139998	0.0368002035135319	0.151137836789765	0.147451568404938	0.0831458883564095	0.162562070326625	0.144888192364746	0.144785755699108	0.165319466137628	0.121614387684148	0.142407436830136	0.151229967627785	0.128363689050621	0.148063989664768	0.146715908863933	0.142396353995409	0.131243351344315	0.138737033201227	0.122557410898116	0.141735342532015	0.158932735534296	0.145161878244836	0.150674534561428	0.146182894669262	0.119855138540979	0.150242262933469	0.153934046562896	0.139977946817339	0.143986256374218	0.133929056029194	0.117923254843795	0.122932184215627	0.157202433738925	0.125718176778995	0.138306885284496	0.0932089201590979	0.143400668734441	0.119428431809199	0.12404771577912	0.114710957247425	0.111429817535698	0.149089181921843	0.0757754135818034	0.105554361406159	0.0961045641776385
ko04122	-0.0528995251447506	0.0545453338754441	-5.17239725714452	4.00375202999869e-06	2.40225121799922e-05	3.7640658230575	-4.61938157774666	down	0.0639850221932463	-0.0442083440584908	-0.00848995967704366	0.0457220760372925	0.0183275032095435	-0.0682218542650554	0.0114049993274136	0.0426681801761198	0.037287812969103	0.0237817016843068	0.0368581104272649	0.0540818638214388	0.0974421837667312	0.110903277870363	0.0505728483376567	0.0590025623875407	0.105311705102938	0.0206127243610857	0.0818690698340481	0.07382104601488	0.0803601125882379	0.0400055577719328	0.0484137602345034	0.0673357695612094	0.0833860469459542	0.0714480951819444	0.0194532459490427	0.0658496978925298	0.0765413210219712	0.0474257471853083	0.0858109117036063	0.0886701096998155	0.0476994997026845	0.0486254743392234	0.0703920738603434	0.0356285665962071	0.0336102610381903	0.0485189682657283	0.0733985983768182	0.111448099523755	0.0604939295046034	0.103481052641947	0.0875954335554732	0.0451068952342032	0.0577035773404704	0.0720338019887977	0.0346169295092496	0.11709658112189	0.0371496292707914	0.0552344166453887
ko00562	-0.0235619691517724	0.0124269036497918	-2.61368571611873	0.0117743768015565	0.0237824905611198	-3.84605304858208	-1.62374266694553	down	-0.0465679963298021	0.00313989113069087	0.00650997408972793	0.00496281663802608	-0.0138206645846066	0.0112580807046883	-0.0100298243370989	-0.00448037295783682	-0.00149811153795633	-0.0137005095320936	0.0697233883216216	0.0415225037944156	0.0500354415010503	0.022074496403263	0.0175229748133855	0.00184625107841788	-0.0295677340729237	0.0361373320498883	0.0206994975659449	-0.00526523344761275	0.0450462464838612	0.0388322943736132	0.0293923612979617	0.00258250727342795	0.00605874124227896	0.0508062699148894	0.0173381278548352	0.00919765202847316	0.00580731894930869	0.0137242754341478	0.0208126879524229	0.00377121864516892	0.0279618944804284	-0.0152060702324022	0.0329533968621157	0.00127667502028775	0.0733112483396088	0.0756262758541216	-0.000983445905356771	0.0173059996072722	-0.0125137986980666	-0.000974750082348153	-0.0133178927669871	-0.0139226817517116	0.00904853928136368	-0.0378482757100619	0.0652231519615264	0.0143114052225588	0.00580616273328314	-0.0105845544676194
ko00983	-0.0570182844368566	0.208440161556078	-4.68238152838082	2.17014059649146e-05	0.00010920707517828	2.11889775080377	-3.96174922416473	down	0.0902616340192301	0.188887985585452	0.107303127974413	0.21566701932256	0.160448681901206	0.205670402401385	0.108123494132412	0.197117106311528	0.202724072419304	0.15205181599844	0.265432169374114	0.220847658888258	0.247749778390725	0.254359532587647	0.234331602408298	0.236711130050007	0.221608125310731	0.251964679591933	0.256485482643055	0.245633643814803	0.234544291968906	0.230016402790779	0.219980027210261	0.216267569853186	0.237023511945036	0.253111833608152	0.212744284819133	0.241416166439492	0.232193434428931	0.231143144980548	0.226775843709986	0.216479891247546	0.230718617591624	0.166391606167394	0.220075227768965	0.207402921422453	0.223706408004044	0.241113373462445	0.214890440618841	0.229663620451204	0.191082001031296	0.215125763675656	0.192791359130469	0.171919505526783	0.176608567527491	0.154970738184348	0.245801117682533	0.100723034719285	0.220534479412686	0.203413749298941
ko01040	-0.0652959954548405	0.0554366214183618	-5.85889083243311	3.51835247278832e-07	2.49483175343172e-06	6.14551644993743	-5.60295873702253	down	-0.0060772808891016	0.0455734728592056	-0.0360672720967877	0.00239751703160225	-0.00244691083613054	0.0607695715503581	-0.0290273483739891	0.00358002183388308	0.000835372062025084	-0.00753889259617095	0.0292199251448366	0.12713193826788	0.0856192397239545	0.0861980275469659	0.0206604919639001	0.057604430505424	0.0510488087052884	0.0635032780883883	0.0632547038702491	0.0990500109982035	0.0846579854981197	0.0545200279262627	0.10540354121624	0.0608851452211352	0.0632946522834805	0.0842997667979886	0.0616843886757144	0.0577533726545386	0.0147223230535406	0.0611736781351298	0.0915492437359745	0.058588486711711	0.0849538765788642	0.0608274219810802	0.12697521851294	0.077241614888815	0.123256867148059	0.0883689794128913	0.056858383274494	0.150599486366489	0.0834254230465176	0.0496367667479048	0.0307992247913295	0.0278093330268946	0.0729938842905308	0.0448089834897114	0.074658795986226	-0.016339248745236	0.0607065185020098	0.060427824348749
ko00510	-0.0550155832898722	0.142417409061668	-6.09731755255073	1.49492746481435e-07	1.3718157912414e-06	6.98665602231767	-5.86270420219955	down	0.0927983693314818	0.0813540794817042	0.0618153774873554	0.140585854232224	0.102492048120404	0.0948113116937505	0.0742126551644926	0.124015161699497	0.115007306705734	0.0969572603810552	0.166860979411346	0.157882912566661	0.176876729149062	0.204030067571033	0.139428629524879	0.191431745284584	0.174392764039221	0.144916086233257	0.188133150716912	0.178806425853348	0.132381046139146	0.136526131860515	0.158302902942887	0.163844865628384	0.192637011921609	0.175269143191452	0.156778365935725	0.179491614162098	0.123511528822756	0.146902687422296	0.164638539655805	0.15655335619026	0.121840596394909	0.178936551876846	0.153251850695637	0.137360902154529	0.135460595748656	0.15424431880812	0.133083145012249	0.171691669039953	0.133996027396616	0.118433091439289	0.139590410128006	0.188776097192214	0.09418957235764	0.166330562804036	0.148333157221773	0.0935314869048788	0.135493825858954	0.122680483528141
ko00592	-0.071770454020971	-0.0791644410720048	-3.70280254342063	0.000528504156476739	0.00158551246943022	-0.952033794241763	-2.79983033806865	down	-0.173078919273994	-0.120701736282603	-0.185794583716299	-0.126796521817542	-0.116219201668316	-0.0850745818551815	-0.187769537823681	-0.121307990971854	-0.131137711602109	-0.117927257876237	-0.103768200417938	0.0433452352792608	-0.0202937318891376	0.0112713076409017	-0.0876692664710995	-0.0044473034009301	-0.060679773540262	-0.051240230051709	-0.0365315369130489	-0.0215138382166125	-0.0808763981229533	-0.076193491398371	-0.0615021727164817	-0.0369596003783679	-0.00134650821931251	-1.74604106142211e-05	-0.0883543410264708	-0.0296726589268784	-0.153914010354509	-0.054529755576615	-0.0153575410857758	-0.0667290819584022	-0.0528533109008519	-0.0894692354552084	-0.0242594717116283	-0.0674096218056418	-0.0374796175286168	0.00982133572442454	-0.130163551857303	0.00295795708202547	-0.0831590424898611	-0.0918147496169214	-0.116972371726445	-0.15415966314531	-0.164415259069403	-0.129791753333114	-0.0231951996237907	-0.274443792024982	-0.0718236364278592	-0.0968026686466124
ko00310	-0.0168981989077305	0.193291255518057	-4.19087602863755	0.000111754217394922	0.000415087093181139	0.534920295742776	-3.38186077046961	down	0.179070391726346	0.174335132371575	0.192805804317859	0.177665045552881	0.181973674506541	0.177904206806088	0.18677748304414	0.174446016176718	0.174510421710606	0.178238787705973	0.198199941183167	0.191336208321545	0.182570437738269	0.197243339327828	0.190009597576147	0.190306253011159	0.193949427436904	0.207778783884613	0.20004308675861	0.197661702427289	0.200453365365645	0.190851466403015	0.18663296209196	0.191630895769575	0.195562199688751	0.202562124038286	0.214089556440713	0.195476171184828	0.215697692690695	0.19111748855801	0.199399066669025	0.200538579517298	0.209823258462889	0.204057664222538	0.192750480679757	0.182757029005739	0.206874084097404	0.2132118536665	0.212667141180722	0.194907970380192	0.195291997792414	0.2062021954791	0.198448632361968	0.194061744477638	0.200261132706043	0.15537354686026	0.198209511955162	0.172342313932425	0.199155662950709	0.197329245689337
