Wild_vs_Lab_down	Wild_vs_Human_down
ko00450	ko00440
ko00410	ko00562
ko00900	ko00630
ko00513	ko04081
ko00071	ko00981
ko00630	ko03018
ko00190	ko03060
ko00280	ko00514
ko00562	ko01240
ko00561	ko00780
ko00480	ko00730
ko04981	ko00190
ko00790	ko00590
ko00511	ko00512
ko00601	ko04981
ko00780	ko00592
ko00100	ko00790
ko00310	ko04140
ko04142	ko00860
ko00500	ko00541
ko00531	ko00053
ko00620	ko00982
ko01100	ko00980
ko00730	ko01232
ko04081	ko00983
ko00770	ko00310
ko01212	ko00650
ko01232	ko01212
ko04711	ko00040
ko00650	ko04711
ko00590	ko04150
ko00541	ko04148
ko04150	ko04122
ko01240	ko00830
ko04140	ko00510
ko04122	ko01040
ko00592	ko00760
ko04070	ko04070
ko00440	ko00062
ko01040	ko04136
ko00982	
ko00981	
ko00980	
ko00053	
ko00062	
ko00983	
ko00860	
ko00760	
ko00040	
ko04148	
ko00510	
ko00830	
ko04136	
