gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00910	0.128850095060533	0.225048540026916	10.7033355626934	1.74262080042255e-14	2.71848844865917e-12	22.7872065921805	11.5656725080528	up
ko03266	0.13248918641016	0.0915615524984039	10.3820766689883	4.99591379123463e-14	3.89681275716301e-12	21.7456794985138	11.4092904616655	up
ko03265	0.251602315641129	-0.0187703606915542	10.1669310974347	1.01866483663581e-13	5.28094567905811e-12	21.0408978616529	11.2772882997349	up
ko04215	0.0757391727981802	0.0508476673425947	10.0777232381195	1.37101727302976e-13	5.28094567905811e-12	20.7469881201279	11.2772882997349	up
ko00534	0.0945875987091343	0.00686178040331889	9.53692866634466	8.46958327575649e-13	2.20209165169669e-11	18.9448632609477	10.6571646095251	up
ko04214	0.0401603225613293	0.100043430597522	9.33035996568884	1.7129750802164e-12	3.81748732162511e-11	18.2476309654777	10.4182223966179	up
ko00350	0.0807637609593852	0.217163591993692	8.56703832205328	2.40344148720178e-11	4.32780923869023e-10	15.632798944907	9.36373189032524	up
ko04137	0.0341998741765787	0.139503342707626	7.76617432613778	4.05755779832911e-10	6.32979016539341e-09	12.8359413171151	8.19861068674761	up
ko00750	0.17048538693904	-0.104918108006871	7.69743846101232	5.18208535290802e-10	7.34913922776046e-09	12.5939925135685	8.13376352493287	up
ko01210	0.0577403852521356	0.196067622914851	7.61450211602792	6.96374955503081e-10	9.05287442154005e-09	12.3017555591712	8.04321350397618	up
ko00785	0.0567949037845116	0.0936695149418908	6.8842053777122	9.50604596094705e-09	1.05924512136267e-07	9.71935864490281	6.97500352758201	up
ko04350	0.0329881142117729	0.000513285821082661	6.04719535782876	1.90587020024924e-07	1.85822344524301e-06	6.76553938062327	5.73090206472269	up
ko04512	0.111407395308273	-0.0256887694196318	5.97522531541102	2.46323752274086e-07	2.26038266792691e-06	6.51339177373233	5.64581803142748	up
ko03050	0.0354433491063456	0.353933348286018	5.54126017751996	1.14672807417539e-06	8.51855140816005e-06	5.0043077087968	5.06963425135191	up
ko03030	0.110988269514277	-0.0403105816196364	5.48141851608779	1.41553965292493e-06	1.00374629934677e-05	4.79806627186276	4.99837604288511	up
ko03430	0.0944341706375351	-0.0512870922918315	5.1468649715828	4.55471854453967e-06	3.0892873606443e-05	3.65565354201971	4.51014169243094	up
ko00330	0.041687559237313	0.271819282974594	5.06757588483973	5.99332296867555e-06	3.83320695607623e-05	3.38789715623077	4.41643773241391	up
ko04310	0.0258533147254828	0.0425831362332076	5.06043710531912	6.14295986550678e-06	3.83320695607623e-05	3.36385225130274	4.41643773241391	up
ko04120	0.0252099022167865	0.0335743232443436	4.81952971075768	1.40414720701872e-05	7.82310586767575e-05	2.55896690759231	4.1066207925411	up
ko00232	0.0672504053659121	-0.0331775724012794	4.69605654060164	2.13533712329269e-05	0.00011103753041122	2.15179174701414	3.95453020593737	up
ko00564	0.0411523511261857	-0.0218495228414884	4.56184087085269	3.35485043767058e-05	0.000163548958836441	1.71376811949908	3.78635221627778	up
ko00360	0.0590710313648516	0.313975545919302	4.28460184961881	8.40904218327278e-05	0.000374803023025873	0.825780679377731	3.42619691490763	up
ko03273	0.051320526884316	0.448913134996774	4.25283309170834	9.33024973485704e-05	0.000404310821843805	0.725598565575169	3.39328463411983	up
ko04320	0.0306357264845451	-0.0170198270618787	4.23036189663461	0.000100403821566563	0.000423324220659023	0.654943329116517	3.37332688248835	up
ko05100	0.0280607632713947	0.235131123119619	4.15445968736783	0.000128491005208458	0.000501114920312986	0.417586089440998	3.30006266627941	up
ko00400	0.063548575373264	0.313712462926084	3.93137309088694	0.000262517496338816	0.000952389056485007	-0.267772402348593	3.02118560353961	up
ko04624	0.0409778855895596	0.029446408582667	3.81384275901726	0.00037992018290098	0.0013088819435669	-0.620957022978486	2.88309952347951	up
ko04745	0.0246696672406489	0.115854257012546	3.81125380296233	0.000383005063784191	0.0013088819435669	-0.628672264425457	2.88309952347951	up
ko04013	0.0188552386073826	-0.0283278171523147	3.76692252070626	0.000439722359582019	0.00145950400201692	-0.760338160033055	2.83579470982192	up
ko04980	0.0288911688930827	-0.0311924936790275	3.45421369582118	0.00113988639157255	0.00341965917471764	-1.66393520896312	2.46601717637527	up
ko03440	0.049103803170243	-0.1581463803969	3.40428588057512	0.00132220996877711	0.00381971768757832	-1.80387729823038	2.41796873427617	up
ko04145	0.0163205209359908	0.325541524761654	3.24144212950044	0.00212893794262306	0.00593061284016424	-2.25140487903819	2.22690042647559	up
ko03410	0.0416529113392645	-0.0509473447258842	3.21708715482985	0.00228376975806921	0.00625031723261048	-2.31712806374501	2.20409793963579	up
ko04820	0.023971823415092	0.188772078626019	3.17095694144968	0.00260658340972815	0.00689198325284052	-2.44072411388445	2.16165578653564	up
ko00240	0.0241498984406093	-0.0383917421353884	3.03422433882462	0.00383411098340072	0.00980526743295923	-2.80005430423303	2.00854055670557	up
ko03008	0.0249709029264027	0.0462274540820651	2.98291942577473	0.00442096738236332	0.0111237243814303	-2.93209634920469	1.95374978042518	up
ko00563	0.0208259056883139	-0.00397240620471613	2.89245233019434	0.00566457662396717	0.0131891634826698	-3.16109944369033	1.87978274853106	up
ko04382	0.030140459706918	-0.0533384959747807	2.77872090549357	0.00768889461621264	0.0171179419525947	-3.4418493975854	1.76654845066115	up
ko00515	0.0357176603488687	-0.302286330045298	2.74562094243562	0.00839300628809802	0.0181848469575457	-3.52202238105661	1.74029034958717	up
ko00290	0.0577179764735623	0.216705719186914	2.65018035773932	0.0107690557075532	0.0227023336537608	-3.7492134574562	1.64392949783512	up
ko03040	0.0193182877583809	0.139848919536539	2.51106940695824	0.015345366660049	0.0314983841969428	-4.06946850906686	1.50171172406278	up
ko03420	0.0218164875241528	0.0906173311635763	2.33287602659084	0.0237570698212087	0.0458576127825923	-4.46001525861367	1.33858855715802	up
ko04330	0.0156927041366891	-0.0668049684044441	2.31378133936894	0.0248679294508469	0.0473097194430746	-4.5005102561382	1.32504962740453	up
ko00380	0.0156183873513762	0.371489349141819	2.26338544737304	0.0280254421558411	0.051434929133073	-4.60609822810461	1.2887418541989	none
ko00970	0.0222901872927959	0.0262942196655911	2.21830794115215	0.0311463125349224	0.05649796227265	-4.69894269892063	1.24796721571512	none
ko00532	0.0386034047235888	0.0809690912727243	2.17209122687894	0.0346612860820577	0.061445007145466	-4.79254440953205	1.21151340093487	none
ko00740	0.0222445174291165	0.0461073535553446	2.11264338007088	0.0396928003793133	0.0688008539908098	-4.91054568014204	1.16240617104945	none
ko03082	0.0188215827552962	0.0114832262402333	2.05359207246274	0.0453117461544793	0.0760068000010621	-5.02505169125405	1.11914755152409	none
ko04391	0.0108961463092719	0.0347913987216748	1.98240206528768	0.0529932490491614	0.0861140297048872	-5.15945054588656	1.06492608748885	none
ko00260	0.0305594684156705	0.183517866304565	1.96766578424518	0.0547164716236998	0.0879700509736824	-5.18676732712431	1.05566515637999	none
ko04082	0.0232842054985026	-0.0999136642330485	1.94342523591888	0.057655849853283	0.090851642193052	-5.23132313088179	1.04166721817504	none
ko03022	0.014425232151548	-0.038870371247492	1.85428628507547	0.0696545071326913	0.107585179333662	-5.39107082714013	0.968247551875288	none
ko00640	0.0190838912558929	0.0629376901235816	1.77344850887556	0.0823001152948949	0.123450172942342	-5.5302911133812	0.908508297324982	none
ko03083	0.0108925128708964	-0.0298496242594989	1.65904577756496	0.103423882543016	0.151890642693394	-5.7179412118774	0.818468980263607	none
ko00470	0.0489616567324873	0.207729544994339	1.65531534936806	0.104181402360212	0.151890642693394	-5.72387251468733	0.818468980263607	none
ko03013	0.0128153999323058	0.0389894019290494	1.59448762019891	0.117186198538413	0.169268953444374	-5.81889583570197	0.771422690941524	none
ko00230	0.00955997047579035	0.00294663436259498	1.51518190592845	0.136079924306927	0.194756588916336	-5.93795331412864	0.710507840553467	none
ko00250	0.0163420444101035	0.245858218085661	1.49060225145735	0.142404657574175	0.201955696196103	-5.97373178954129	0.694743892968628	none
ko00600	0.0266643419447461	0.054079989829875	1.42423385986164	0.160646264623197	0.225773128659628	-6.06765961380528	0.646327748723269	none
ko00010	0.0133085570979043	0.310488050139975	1.28590178650148	0.20445409322828	0.279779285470278	-6.2506998178463	0.553184443307305	none
ko00030	0.0131297530939203	0.108435208173575	1.24181889979595	0.22014928426099	0.298637289954039	-6.30536422367195	0.524855964159125	none
ko01200	0.00732255171167284	0.244202266376498	1.20937354477186	0.232258036414284	0.309677381885713	-6.34445305660953	0.509090513341757	none
ko01230	0.00894939793565164	0.252468878109699	1.13362888634317	0.26240528573099	0.333577970549396	-6.43190113176751	0.476802637844672	none
ko04080	0.0562992678959691	0.336739659781121	1.13216691148142	0.263013399856254	0.333577970549396	-6.43353630152146	0.476802637844672	none
ko03010	0.00474466001928814	0.455016713765221	1.08539311513192	0.283000014266059	0.356032276012139	-6.4847918733596	0.448510629390654	none
ko00020	0.00491178973891887	0.341742468596542	1.07968462832359	0.285510074866244	0.356316573433072	-6.4909063271515	0.448163976742076	none
ko04392	0.010663164227611	-0.201118086201334	1.07199072694934	0.288917610943695	0.357707518311241	-6.49909872851826	0.446471931735931	none
ko04620	0.00699312625413684	0.0205962841428133	1.02900966210657	0.30847201351241	0.378910504786898	-6.54383423900668	0.421463354324525	none
ko00565	0.0144049866973569	-0.109500012810211	1.00141943302537	0.321489457881511	0.388777949066013	-6.57162653109883	0.410298375614415	none
ko04814	0.00425829529941332	0.213408346506962	0.980805820644664	0.331453207843551	0.394707636821327	-6.59191771588921	0.403724470773787	none
ko03250	0.00555343170034123	0.021208709274365	0.924807134207399	0.359548305221377	0.421725831688231	-6.6449880847911	0.374969796623105	none
ko00670	0.012299422098196	0.0635589857523289	0.797802245614796	0.428792088951043	0.491849749090902	-6.75414728088419	0.308167545823117	none
ko04144	0.00378527006414946	0.0922997472184156	0.744057959704879	0.460355395276693	0.520401751182348	-6.79561816736979	0.283661250681644	none
ko04213	0.00534133205737149	0.0777866238511932	0.671687766309842	0.504902149095254	0.562605251848998	-6.8469894034293	0.249796218067736	none
ko04977	0.00986412361992789	-0.109769780070335	0.643856567877295	0.522637565751161	0.578237306788519	-6.86537256967086	0.237893891894495	none
ko04141	0.00335477658426336	0.24529204715406	0.591698559438255	0.55674253350375	0.607355491095	-6.89776238291266	0.216557037706032	none
ko04068	0.00458613774738737	0.0189492166440761	0.569368056000298	0.571678550693599	0.615047268332423	-6.91080536432918	0.211091506034202	none
ko03015	0.00322024941642987	0.0860902583886662	0.481262748846959	0.632448273770551	0.672337073049915	-6.95742761688759	0.172412940839433	none
