sample	group
fam01	Other
fam02	Other
fam03	Other
fam04	Other
fam05	Other
fam06	Other
fam07	Other
fam08	Other
fam09	Other
fam10	Other
hos01	Other
hos02	Other
hos03	Other
hos04	Other
hos05	Other
hos06	Other
hos07	Other
hos08	Other
hos09	Other
hos10	Other
lab01	Lab
lab02	Lab
lab03	Lab
lab04	Lab
lab05	Lab
lab06	Lab
lab07	Lab
lab08	Lab
lab09	Lab
lab10	Lab
res01	Other
res02	Other
res03	Other
res04	Other
res05	Other
res06	Other
res07	Other
res08	Other
res09	Other
res10	Other
wild01	Other
wild02	Other
wild03	Other
wild04	Other
wild05	Other
wild06	Other
wild07	Other
wild08	Other
wild09	Other
wild10	Other
