pathway	通路名称	pathway_name	Subcategory	Category
ko00053	抗坏血酸和醛酸代谢	00053 Ascorbate and aldarate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00650	丁酸代谢	00650 Butanoate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00020	柠檬酸循环(TCA循环)	00020 Citrate cycle (TCA cycle) 	09101 Carbohydrate metabolism	09100 Metabolism
ko00051	果糖和甘露糖代谢	00051 Fructose and mannose metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00052	半乳糖代谢	00052 Galactose metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00010	糖酵解/糖异生	00010 Glycolysis / Gluconeogenesis 	09101 Carbohydrate metabolism	09100 Metabolism
ko00630	乙二酸和二羧酸代谢	00630 Glyoxylate and dicarboxylate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00562	肌醇磷酸代谢	00562 Inositol phosphate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00040	戊糖和葡萄糖酸相互转化	00040 Pentose and glucuronate interconversions 	09101 Carbohydrate metabolism	09100 Metabolism
ko00030	戊糖磷酸途径	00030 Pentose phosphate pathway 	09101 Carbohydrate metabolism	09100 Metabolism
ko00640	丙酸代谢	00640 Propanoate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00620	丙酮酸代谢	00620 Pyruvate metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00500	淀粉和蔗糖代谢	00500 Starch and sucrose metabolism 	09101 Carbohydrate metabolism	09100 Metabolism
ko00910	氮代谢	00910 Nitrogen metabolism 	09102 Energy metabolism	09100 Metabolism
ko00190	氧化磷酸化	00190 Oxidative phosphorylation 	09102 Energy metabolism	09100 Metabolism
ko00920	硫代谢	00920 Sulfur metabolism 	09102 Energy metabolism	09100 Metabolism
ko00592	α-亚麻酸代谢	00592 alpha-Linolenic acid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00590	花生四烯酸代谢	00590 Arachidonic acid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko01040	不饱和脂肪酸生物合成	01040 Biosynthesis of unsaturated fatty acids 	09103 Lipid metabolism	09100 Metabolism
ko00565	醚脂代谢	00565 Ether lipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00061	脂肪酸生物合成	00061 Fatty acid biosynthesis 	09103 Lipid metabolism	09100 Metabolism
ko00071	脂肪酸降解	00071 Fatty acid degradation 	09103 Lipid metabolism	09100 Metabolism
ko00062	脂肪酸延伸	00062 Fatty acid elongation 	09103 Lipid metabolism	09100 Metabolism
ko00561	甘油脂代谢	00561 Glycerolipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00564	甘油磷脂代谢	00564 Glycerophospholipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00600	鞘脂代谢	00600 Sphingolipid metabolism 	09103 Lipid metabolism	09100 Metabolism
ko00100	类固醇生物合成	00100 Steroid biosynthesis 	09103 Lipid metabolism	09100 Metabolism
ko00230	嘌呤代谢	00230 Purine metabolism 	09104 Nucleotide metabolism	09100 Metabolism
ko00240	嘧啶代谢	00240 Pyrimidine metabolism 	09104 Nucleotide metabolism	09100 Metabolism
ko00250	丙氨酸、天冬氨酸和谷氨酸代谢	"00250 Alanine, aspartate and glutamate metabolism "	09105 Amino acid metabolism	09100 Metabolism
ko00330	精氨酸和脯氨酸代谢	00330 Arginine and proline metabolism 	09105 Amino acid metabolism	09100 Metabolism
ko00220	精氨酸生物合成	00220 Arginine biosynthesis 	09105 Amino acid metabolism	09100 Metabolism
