contract	X	number	group
Wild_vs_Lab_up	Wild_vs_Lab	39	Wild
Wild_vs_Human_up	Wild_vs_Human	44	Wild
Wild_intersection_up	Wild_intersection	32	Wild
Wild_vs_Lab_down	Wild_vs_Lab	-52	Wild
Wild_vs_Human_down	Wild_vs_Human	-40	Wild
Wild_intersection_down	Wild_intersection	-35	Wild
Lab_vs_Wild_up	Lab_vs_Wild	52	Lab
Lab_vs_Human_up	Lab_vs_Human	21	Lab
Lab_intersection_up	Lab_intersection	10	Lab
Lab_vs_Wild_down	Lab_vs_Wild	-38	Lab
Lab_vs_Human_down	Lab_vs_Human	-5	Lab
Lab_intersection_down	Lab_intersection	-4	Lab
Human_vs_Lab_up	Human_vs_Lab	39	Human
Human_vs_Wild_up	Human_vs_Wild	5	Human
Human_intersection_up	Human_intersection	0	Human
Human_vs_Lab_down	Human_vs_Lab	-44	Human
Human_vs_Wild_down	Human_vs_Wild	-21	Human
Human_intersection_down	Human_intersection	-6	Human
