gene_set	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko00010	0.276880477	0.324394195	0.274580563	0.292677775	0.284093073	0.281552766	0.325165556	0.295178204	0.299923854	0.304918157	0.302973526	0.289716841	0.277773679	0.290618006	0.293178324	0.282959766	0.277555234	0.281499144	0.269608051	0.282675681	0.293977265	0.268478994	0.308310276	0.300647905
ko00020	0.328673606	0.392236676	0.330562735	0.36210396	0.350138181	0.333926185	0.305345609	0.310280336	0.31006214	0.298800827	0.307759014	0.324987049	0.328854722	0.323077018	0.343565464	0.326784483	0.315874164	0.325491502	0.346473483	0.332646185	0.341810482	0.329612751	0.342067494	0.336653408
ko00030	0.095420555	0.155303014	0.182639874	0.221493413	0.213300231	0.143090119	0.191080298	0.164843207	0.182766678	0.170330406	0.192045746	0.198845019	0.171030041	0.192105862	0.181134715	0.206219826	0.140975077	0.219025643	0.268106435	0.239872053	0.225964593	0.21892932	0.186846036	0.248765321
ko00040	0.241092038	0.290878788	0.279262195	0.302930351	0.268730681	0.25390906	0.18589794	0.161520169	0.169816074	0.191945881	0.229478588	0.174713063	0.228801014	0.216271973	0.215265632	0.19656194	0.198240957	0.185663435	0.167721212	0.190550846	0.204397851	0.190430893	0.21793043	0.201684519
ko00051	0.339094735	0.362710545	0.380905825	0.383344379	0.347691149	0.359868407	0.40586494	0.393688192	0.441507914	0.409467511	0.369083335	0.378667032	0.417199381	0.380233126	0.405963476	0.422113577	0.379017138	0.394897928	0.402591594	0.380551538	0.399618393	0.408484505	0.405101148	0.424518454
ko00052	0.250319182	0.288771498	0.291339533	0.300801407	0.285313127	0.247428734	0.19812665	0.179525221	0.187311092	0.181479963	0.144497436	0.141674897	0.278187296	0.24746385	0.265951971	0.259854225	0.228961362	0.250848804	0.285115669	0.261381984	0.288860531	0.272969499	0.2507587	0.298881381
ko00053	0.227296692	0.276980735	0.278814142	0.26378842	0.298920257	0.273866517	0.238341055	0.208251692	0.19259466	0.247528379	0.267160248	0.235618307	0.235773055	0.265529427	0.222751085	0.237884052	0.220662918	0.267462179	0.226470276	0.26072433	0.245851792	0.200712459	0.24492848	0.256446648
ko00061	0.12950494	0.17189555	0.152991373	0.160909475	0.109837223	0.172486385	0.255432428	0.241219392	0.249064313	0.226722592	0.268217319	0.260536805	0.255738075	0.259777802	0.275660832	0.26929719	0.219205097	0.230837458	0.316854461	0.270953388	0.299038533	0.304228488	0.255836855	0.331957195
ko00062	0.195832254	0.23198783	0.294254323	0.21745872	0.296219745	0.238089425	0.2608463	0.196986316	0.238977664	0.279860599	0.241833765	0.244318468	0.211190956	0.161411908	0.183047602	0.166925789	0.153074453	0.208839053	0.265926502	0.281425004	0.293873552	0.260762269	0.239228668	0.293276784
ko00071	0.280677741	0.311686152	0.320141425	0.344251652	0.326347449	0.272975955	0.385114631	0.378424563	0.42019609	0.381381463	0.380700716	0.380393221	0.424202684	0.432012008	0.423447758	0.434577476	0.399704971	0.414799691	0.440378965	0.434023092	0.448826836	0.451350898	0.401210369	0.462053987
ko00100	0.294797302	0.292256202	0.253605246	0.327128066	0.353787613	0.338680435	0.059271669	0.011023676	0.108393052	0.09852079	0.07064538	0.103065927	0.158309783	0.185625268	0.164319112	0.204604138	0.269395392	0.284060059	0.118583671	0.202900246	0.16637017	0.106902145	0.137878858	0.141398997
ko00130	0.185514559	0.210627738	0.221795987	0.175810505	0.195532173	0.184079754	0.120896368	0.091769523	0.120212129	0.116689479	0.124169121	0.114839434	0.210091345	0.175024219	0.211406904	0.175497342	0.180849451	0.181284988	0.149904815	0.11609114	0.146080058	0.161826446	0.117162719	0.164616839
ko00190	0.522017079	0.534519763	0.542333157	0.543425897	0.526076435	0.532315369	0.415083916	0.412129041	0.427848154	0.399708889	0.40605701	0.394410084	0.569722339	0.568791141	0.579031493	0.568638449	0.568190959	0.568520494	0.562815629	0.562512686	0.563788471	0.562812971	0.5562406	0.561031769
ko00220	0.197612849	0.20968559	0.191916352	0.193843989	0.148112912	0.193867299	-0.099044529	-0.165799461	-0.168149483	-0.165802672	-0.165908198	-0.138477078	0.119958051	0.07283504	0.187499942	0.071238387	0.074749051	0.075644311	0.175947101	0.129046835	0.238554119	0.16580896	0.205500879	0.181541376
ko00230	0.068975822	0.112558533	0.0784911	0.097867981	0.063415452	0.074819113	0.064289658	0.058744549	0.069316852	0.067885386	0.069907814	0.073734606	0.094521759	0.091090952	0.102058333	0.088986192	0.071644598	0.079676513	0.090859021	0.057321404	0.077682372	0.060532263	0.061599244	0.072033446
ko00240	0.267960264	0.26834527	0.23429205	0.23718964	0.21636402	0.255998388	0.109150588	0.09187456	0.160907275	0.084633238	0.10296316	0.103929804	0.130692884	0.117232366	0.135032451	0.10856424	0.101557543	0.105350846	0.149975046	0.146491669	0.156650187	0.134459102	0.099190212	0.125439621
ko00250	0.153962105	0.213658692	0.223157952	0.247780724	0.199024031	0.202086087	0.199090313	0.171804976	0.191423484	0.180452647	0.157520728	0.173371176	0.271303651	0.245443205	0.290136258	0.268622703	0.227155232	0.25052698	0.281039578	0.249007602	0.263822314	0.265654485	0.23724578	0.281532959
ko00260	0.208658993	0.31170382	0.310321821	0.291037739	0.278565466	0.28947934	0.363448053	0.345145228	0.328182136	0.342267067	0.36441707	0.350755264	0.318226837	0.323912435	0.358178244	0.33220473	0.319235144	0.335324057	0.354233568	0.306906711	0.343790123	0.29047025	0.342906139	0.343749586
ko00270	0.21291301	0.273940871	0.252792529	0.281043891	0.262327462	0.224356264	0.210043903	0.192431993	0.189079319	0.161454334	0.192454168	0.187950637	0.228920882	0.226551293	0.244827323	0.250508336	0.193027496	0.223055273	0.227143358	0.178777404	0.199397585	0.185615631	0.190201416	0.210661009
ko00280	0.183842321	0.233518067	0.232114234	0.260224466	0.282936037	0.186949435	0.305995704	0.258581297	0.309575998	0.29328607	0.313060972	0.302378898	0.341254104	0.343263208	0.35467744	0.35599256	0.297294835	0.367038277	0.330887931	0.357352176	0.325037828	0.329499229	0.303354031	0.322920108
ko00290	-0.217075218	0.017166045	0.020211216	0.158182695	0.066521161	-0.009633414	-0.109124579	-0.167774778	-0.178471063	-0.20864839	-0.222947291	-0.304980027	0.070856307	0.131285141	0.060062539	0.009314119	0.068191575	0.05808041	0.117614909	0.10112729	0.11410632	0.09869506	0.078730277	0.056334903
ko00310	0.270239557	0.296332028	0.279800351	0.288904888	0.301006587	0.282331243	0.315639741	0.288201446	0.309513439	0.320279806	0.31620025	0.334442315	0.267020373	0.28720332	0.289563242	0.274984679	0.256869404	0.269689385	0.296817145	0.271835791	0.300558547	0.272466686	0.298923641	0.290039723
ko00330	0.260086685	0.327051459	0.303652516	0.312891477	0.30838728	0.265725985	0.260545934	0.195281433	0.207235164	0.213481511	0.214305884	0.226591091	0.166627924	0.182024953	0.194862831	0.164245442	0.16618946	0.175095702	0.228730379	0.211740952	0.214653959	0.197305202	0.244937926	0.215730278
ko00340	0.096863926	0.211372304	0.14835712	0.113743136	0.11996647	0.189958522	0.290290577	0.300837442	0.287486397	0.318745412	0.326543979	0.32562174	0.063779594	0.131383747	0.170277468	0.111349689	0.144835164	0.088879889	0.118981037	0.169396683	0.200880434	0.08357862	0.229088215	0.169429331
ko00350	0.227386616	0.294290139	0.283695232	0.229141642	0.272395715	0.216585255	0.094180437	0.129755838	0.145135036	0.152792179	0.133526635	0.111096533	0.166283481	0.165680105	0.160422569	0.136803076	0.159749135	0.183189687	0.17010131	0.157235526	0.189303622	0.145185993	0.155647338	0.150429178
ko00360	0.239152908	0.317947795	0.329128178	0.290420446	0.352959968	0.199803827	-0.021784844	0.020612199	0.035641283	0.056387616	0.03673362	0.013290849	0.114267375	0.135479814	0.11512149	0.100377667	0.107967846	0.193062262	0.183847813	0.168277929	0.214761741	0.125233418	0.137856551	0.140237801
ko00380	0.273047061	0.301135212	0.303750304	0.297316101	0.320817197	0.287945337	0.325820589	0.298804581	0.324082277	0.329150514	0.298814335	0.360947826	0.326526929	0.334889983	0.348264516	0.346029934	0.30219378	0.339762408	0.327440271	0.314105426	0.329288493	0.322809083	0.3409979	0.334157975
ko00400	0.189890519	0.296241665	0.23400512	0.345544953	0.316378766	0.21006878	-0.195523585	-0.106548298	-0.105775235	-0.053079944	-0.085659748	-0.116962514	0.016649336	0.038363635	0.021255737	0.0100932	0.033320095	0.177145533	0.157841992	0.135468968	0.212811734	0.0579737	0.076906504	0.060481545
ko00410	0.197175193	0.268487291	0.240511091	0.284774684	0.247905801	0.204158397	0.331332339	0.289649515	0.35863946	0.334674513	0.317090584	0.302072503	0.306152664	0.316626995	0.302082163	0.325327573	0.262306877	0.323175493	0.349628057	0.310513972	0.309645672	0.315811714	0.269006085	0.344031258
ko00430	0.033722523	-0.016917565	0.047911734	-0.03850782	0.068699247	-0.070893308	0.047316928	0.018158719	0.027533463	0.001288063	-0.004504983	-0.03600653	0.052514792	0.078317511	0.050425123	0.073752504	0.055536473	0.057607429	0.047438887	0.07482387	-0.042672843	-0.026248651	0.061187061	0.044137974
ko00440	0.12830823	0.201222544	0.149722715	0.201480877	0.145546115	0.1331765	-0.039690368	-0.003222231	0.029959078	-0.049545381	-0.083578375	-0.06124829	-0.137034084	-0.160762842	-0.097099336	-0.115253896	-0.242036667	-0.122116726	-0.032112712	-0.104916973	-0.155369181	-0.046891588	-0.221908749	-0.051488669
ko00450	0.038249489	0.107238722	0.111272941	0.110124266	0.095952063	0.077135567	0.011782896	0.087881651	0.088847719	0.009093918	0.057569033	0.029810698	0.162335573	0.171398877	0.164933749	0.197900804	0.11808117	0.161102549	0.138135489	0.091557234	0.116156163	0.115684818	0.088410463	0.128230719
ko00470	-0.0502127	0.075956292	0.105206399	0.220538377	0.030063566	0.045684314	0.152767578	0.062907186	0.083679048	0.066916289	0.017543875	0.031706037	0.551385625	0.418883671	0.556265418	0.432684786	0.461107086	0.367568725	0.353138805	0.218194308	0.516661655	0.425648838	0.350938078	0.393423426
ko00480	0.257537293	0.277279684	0.307442467	0.267770618	0.285947991	0.213625833	0.230397403	0.20492016	0.229628779	0.203509157	0.193009082	0.198672897	0.212701419	0.244943429	0.240749483	0.245257335	0.22024347	0.25230837	0.228324147	0.243807121	0.239760688	0.226970034	0.211908848	0.232381152
ko00500	0.091797561	0.150623657	0.128470297	0.175815952	0.128307328	0.106550997	0.195189808	0.190298261	0.188107923	0.172072634	0.180995541	0.168530151	0.08514979	0.051100091	0.091984677	0.089754034	0.039409777	0.044192664	0.111981878	0.069028483	0.123569818	0.107159508	0.108949326	0.125930272
ko00510	0.097902766	0.12878059	0.120431487	0.126056031	0.113577924	0.089033977	0.132362086	0.129292078	0.178139054	0.143373796	0.123361782	0.139751748	0.156839458	0.143453578	0.147794639	0.167763078	0.120676681	0.171658789	0.137889477	0.118060224	0.106891443	0.1332626	0.090274798	0.134882784
ko00511	0.013790146	-0.043529507	0.024537185	0.028688711	0.005670837	0.001006526	0.130263001	0.13190553	0.135149929	0.159072894	0.168315389	0.169889051	-0.072780588	-0.018593761	-0.15813584	-0.037781905	-0.1326696	-0.075616015	0.060324802	0.060116007	0.027380394	-0.046819444	0.022241852	0.052851379
ko00512	0.138656035	0.099596647	0.096710708	0.104889029	0.088883377	0.086412576	0.185293894	0.208354072	0.214567336	0.198270259	0.185833809	0.166309883	-0.035358976	-0.020938561	-0.056079056	-0.044067489	-0.033459842	-0.063636426	0.031397496	0.032001679	0.053565446	0.075549919	0.046941312	0.03460436
ko00513	0.10580993	0.119618602	0.111139225	0.118301527	0.099183792	0.093122671	0.144641145	0.142192395	0.182931885	0.165970794	0.120517478	0.144068185	0.123806664	0.12341285	0.082321544	0.125728896	0.078062041	0.117712036	0.081842561	0.064061246	0.054759403	0.063690496	0.051806963	0.076137938
ko00514	0.236892977	0.188803827	0.183530487	0.182749464	0.175974569	0.199211546	0.142447372	0.160250764	0.142412241	0.149729372	0.158052619	0.139256141	-0.046638938	-0.018416112	-0.037484981	-0.052797666	-0.024123525	-0.046096466	0.03635615	0.029641458	0.041367179	0.058421209	0.056008549	0.031463749
ko00515	-0.255843157	-0.345808862	-0.322772035	-0.358485475	-0.319240765	-0.302678412	-0.049345496	-0.00585563	-0.024190241	0.024552429	-0.025679404	0.004684748	-0.383740242	-0.388783904	-0.317753727	-0.348410332	-0.392984955	-0.347574276	-0.251562421	-0.273033022	-0.296454165	-0.263787368	-0.29384926	-0.286556926
ko00520	0.325780986	0.309039649	0.336546863	0.331759786	0.358820331	0.296129745	0.209919187	0.194048379	0.227951851	0.208146942	0.17522314	0.198184567	0.208244909	0.209747365	0.197997068	0.211133364	0.151935288	0.248718074	0.181758264	0.182766455	0.148293429	0.181985116	0.140935657	0.189219733
ko00531	0.05137426	0.009350919	0.062908919	0.054080051	-0.010503008	0.098666218	0.191017729	0.211169881	0.280159916	0.256943046	0.238242236	0.175258048	0.073396373	0.079009884	0.010894424	0.066032032	-0.04024717	0.114490512	0.127902125	0.10324706	0.088853754	0.089806903	0.022921497	0.142360346
ko00532	0.196220783	0.142921021	0.136537532	0.152749806	0.154826947	0.196795469	-0.018309852	-0.035234565	-0.034699654	-0.045437609	0.032824801	-0.012213724	0.070502941	0.068836581	0.047602666	0.08346109	0.067672535	0.059788629	-0.121870687	-0.159410856	-0.173696211	-0.130717031	-0.134367049	-0.120497572
ko00534	0.005574788	-0.022645029	-0.040848962	-0.023583759	-0.021466123	0.011886271	0.107074442	0.080065147	0.133496629	0.080286534	0.17576035	0.138917116	0.00568628	0.001258054	-0.011248794	0.016343367	-0.006966506	-0.019415856	-0.173778695	-0.211231642	-0.222199733	-0.171124097	-0.189021768	-0.178225229
ko00541	0.227477387	0.267300659	0.290540793	0.277852478	0.25318314	0.278458624	0.221835598	0.208344749	0.268450693	0.225278406	0.172132633	0.201896789	0.257626109	0.239987766	0.244611932	0.265611313	0.204105334	0.251306737	0.224781126	0.188779433	0.195847356	0.225494046	0.17132697	0.225510353
ko00561	0.123103352	0.168798548	0.127529042	0.145542922	0.129507835	0.146490669	0.219886404	0.233031252	0.199634006	0.231352069	0.232761224	0.219597431	0.255945496	0.26424866	0.25087771	0.250692635	0.222476186	0.212237879	0.206671388	0.214489999	0.23482048	0.227047072	0.224676425	0.247913905
ko00562	0.019686648	0.027280337	0.016519797	0.031264446	-0.008275005	0.026435424	0.086325901	0.073205412	0.102527508	0.094915507	0.058550716	0.06312391	0.03392942	0.035430195	0.047079561	0.045671474	0.008130871	0.019863202	0.056245612	0.018948441	0.034497003	0.052316788	0.036661456	0.062032168
ko00563	0.004741172	0.024298874	0.004235371	0.050206064	-0.010544267	0.053213563	0.092655525	0.110525026	0.11445213	0.091027538	0.07242974	0.09347998	0.167597803	0.16416377	0.164277619	0.184118388	0.161902527	0.15801188	0.089922671	0.075893585	0.096997956	0.112872138	0.058969716	0.107378862
ko00564	0.058441428	0.096827605	0.076176296	0.100135625	0.077809608	0.065576202	0.039928194	0.066155761	0.067988954	0.020022357	0.045034915	0.048375647	0.064957736	0.058263446	0.070908817	0.086476032	0.035331604	0.071893877	0.037280629	0.044984864	0.046858569	0.080174936	0.004856551	0.066507611
ko00565	0.049450931	0.062815243	0.076074493	0.082852126	0.087067451	0.074212656	0.013970859	0.011427581	0.037285298	-0.021802739	0.024410655	0.014361274	-0.048815945	-0.031583772	-0.024469933	-0.018690971	-0.054377571	0.006921434	-0.071174183	-0.077116901	-0.083325439	-0.034555475	-0.132700147	-0.051614365
