gene	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_00001.t1	2.63222633019676	2.75924746440104	3.24020898584988	2.40849448946944	2.53888575911176	2.68491521315595	3.12176971665302	2.46370876488721	2.59129164651863	2.81656079727243	2.8888503817673	2.72925908985897	2.72987031330537	2.73155907550872	3.04399360660064	2.79072825598979	2.90583993113046	3.0781930870216	2.77561317766852	2.72092851667757	2.91095902448241	3.29779155853045	2.60151111706758	2.62337761072814	2.79184740380297	2.75588955996913	2.81323119516354	2.63335215640669	3.01760483646927	2.56755518239525	2.86953783073295	2.92083254248121	3.00943675560809	3.0814793902865	3.00129964334175	2.92719104798457	2.87472222311519	2.82459476008038	2.92812393041301	2.9378057547757	3.16983683405134	3.04440286293827	3.04992868485136	2.9040389373363	2.97150308894868	2.97165390727909	2.95555459642976	2.78845603031361	3.01749437945927	2.87599232410745
Pame_00005.t1	6.61413117792482	6.56692015647427	6.0560393806048	4.66556900376067	5.78146463298515	6.56880433595967	6.31353791716874	5.35594303058738	5.14682219104979	6.00023667274112	7.71313902725923	6.19237764737725	6.61477608879515	6.4859516408353	7.34948028377554	6.58037013411519	4.92896717679879	7.24100116345327	6.12732374386753	6.19389787515414	7.77530080470765	6.93588400748807	6.61180681383524	6.29161276637945	6.298335725732	6.87695889606957	7.87582305827797	6.29691437197187	6.9610213081029	7.11055116904535	6.12504558155113	6.47550971484004	8.25224911939368	6.4939258814542	7.05220937016517	6.08749042192131	7.51949472813215	7.38680232613671	7.42732960737865	6.52952738130818	7.01063439845463	7.84368241387537	6.68903352362305	6.98563704268517	8.03623406707902	5.90864000449789	7.35452268559807	6.71225184761567	7.54942274574666	7.35749922212666
Pame_00006.t1	3.00433419171933	2.64758851498538	3.39964689959098	2.65531289822112	2.51865347037166	2.68104214972946	3.1769578016944	2.65624693779547	2.79509987954963	2.83131585877196	2.7443828659709	2.30109300712786	2.28922952756233	2.58882135359556	2.55232788188124	2.44079543259303	2.62033069062001	2.71617222072078	2.38984486168269	2.47986173156646	2.57257684852497	2.81998693075567	2.2475478068903	2.57136372695182	2.41384046761659	2.7474196262855	2.55763065014295	2.57380348992184	2.56784719440053	2.47536509146253	2.50980730133589	2.60199595752053	2.67112350042758	2.55006828988868	2.51263902622277	2.64368536456883	2.51093407752548	2.64478613975343	2.61343028352867	2.89229970091262	2.63112058391266	2.78738231202148	2.76384495530316	2.58479177170632	2.11071401817367	2.3652081985485	2.80330557643394	1.42118289646456	2.51262385752294	2.29159471796034
Pame_00007.t2	3.03436892310664	2.8987365666594	3.43917629828835	1.53656521474564	2.3495153146061	2.68192821003658	3.09256772852201	1.77112495312837	2.02237136427342	2.63129988877129	3.11442533131006	2.48816791833045	2.55102621796753	1.96567717500629	2.81735515735333	2.29223695539281	2.73884348174799	3.11428206004009	2.30041369909854	2.56990177383361	3.07596896759124	3.38022796388491	2.82401831227878	2.84204152962232	2.26100719794502	2.24377264910612	2.60659146472718	2.39868145166291	2.96543891984219	2.46671324851774	2.56185154595108	3.3911146756971	3.2699846521611	3.36550638001849	2.91922946840339	3.10485996123645	2.92857119661934	2.4623717186373	3.37379296073885	2.60471659554499	3.29453106009363	3.45825468647591	3.53909675837395	3.84292856279266	4.01410529940556	4.6561702686043	2.66367024227009	4.80831811464389	3.17698332465716	3.82892602064471
Pame_00010.t2	2.2700743844648	2.77329589962343	2.87457862742882	2.06379973420066	2.13730349989002	2.79925105095968	2.70307411406976	2.13460867356372	2.53918859547239	2.38643022336191	2.36596962895819	2.49063430584449	2.41806848113588	2.34484837651655	2.77949086930413	2.48954036673876	2.69148949874663	2.65795548880223	2.60326432775439	2.29766978951891	2.86549920436085	3.06782970989738	2.59399907429693	2.81090164963131	2.45384414049169	2.57675914127534	2.43343755472145	2.24240434086153	2.5625623769732	2.31471682474019	2.85620688228524	2.83212644928742	2.80707872256984	3.06491043631236	2.95530164279008	2.94148571990429	3.0103842068384	2.6942628769217	3.01766896891701	2.80522640796398	3.07716607593765	2.88760130266589	2.97962845881523	3.03304586920931	2.87721418297694	2.97799239309608	2.80123109950644	3.79237645635168	3.03937355860267	3.19384111722792
Pame_00012.t2	2.47970655134055	2.34168124099384	2.49911367305742	1.73628448135163	1.7290393341649	2.25712228693127	2.20271234294859	1.8800193615538	1.94202648692415	2.24738374274284	2.0689252803145	2.1635631368739	2.04491164801596	2.01824603269257	2.40743705319395	2.11286690866318	2.24770881467243	2.32477316773413	2.07207835298906	1.768904169108	2.45170962110102	2.77468586977024	1.99048295843318	2.22753161728972	2.23702520746293	2.05902987303765	2.11344380461486	2.10171394049115	2.72193037915953	1.80511907410486	2.31066876168494	2.58119455498792	2.53885100333198	2.96438014784338	2.14579808228025	2.41188447268846	2.55574745366203	2.29272875129372	2.48953522891761	2.36674744058395	2.40148848355343	2.65358287063019	2.55212126886786	2.77725557824741	2.45378094085202	2.59446016982924	2.46722469353209	2.88711384903797	2.4331570963848	2.61295162950662
Pame_00013.t1	2.82723573280781	3.43652566607526	3.59436939583103	2.01331932318634	2.34121439637371	3.48042024221384	3.27383065231575	2.27136889948739	2.4022146343308	2.7645032750876	3.44320348918154	3.02937690597027	2.82280355529456	2.60738476521177	3.38397241877871	2.75468444190499	3.25771066852029	3.72281572633704	3.11184426904217	3.04388340236328	3.87637942354714	3.52704530588817	3.04730106091588	3.09783999165062	2.54846128593895	2.96609448845176	3.21949536521149	2.86063907359634	3.65200456002422	3.21630895853737	3.24446392828025	3.30034340759472	3.65777718046497	3.73429774989748	3.42801237636966	3.3791107721484	3.54309989219543	3.24632599267443	3.73863815051839	3.42617349296655	3.65222259813211	3.68204511136588	3.67217638487733	3.63367532020879	3.96690107533619	3.71382776262397	3.34651727895554	4.38526535935068	3.53566730090121	3.73796791895209
Pame_00014.t1	6.10105120984473	5.89122474044901	5.9528996292295	5.74653850581187	5.39341276809441	5.72811098660921	5.90356134510233	5.5970990756913	5.831459265127	5.5370941253576	7.51172103270762	7.55018498674342	7.75195906710721	7.44595012106086	8.02314443974665	7.6801133388225	7.6023574022484	8.06001494861467	7.75566875040831	7.78491616001872	7.86552914521617	7.61039001945075	7.44083595410531	7.20149664180061	7.58457171789335	7.27761287075669	7.78902494416274	7.62211040486748	7.50968792545512	7.62469312047365	7.24937896951914	7.41380561072645	7.20955084173053	6.91684682497343	7.22903027025307	7.50541460934675	7.29342566579327	7.19259858409132	7.16337796592477	7.0783536516111	7.15932643995777	6.80385988522918	7.12053856949866	6.83506507152528	6.73718648993244	6.75951539724376	7.60269886501796	5.35297739815056	6.91395450191128	6.59536192617802
Pame_00015.t1	3.80085849462542	3.03736816400483	2.76051265014116	2.68596929350594	2.49116300247897	3.03396033289565	3.30148375711432	2.79292613220108	2.91981105073505	2.60543032854495	2.09001330708128	2.92764429182384	2.53850091628906	2.53927298116567	2.29226935429292	3.07364374079908	2.91970809913836	1.86466754058023	2.40912206061996	2.56656189923641	2.39185293761112	2.57261322641662	3.20429725071852	3.25147369998235	3.57579637532908	3.2094315300793	3.07255689379799	2.76882161696319	2.34029164931521	3.17090890447699	3.10001384770398	3.07087186302721	3.38675715473652	3.58205012809159	2.9828202127797	2.86472299975021	2.86588715011604	3.52275884140771	3.04972659573427	3.28714423826248	3.28056144819278	2.96571041678496	3.75977369492049	3.13502257939389	3.54798031564754	3.3266883400183	3.15548372127836	3.22322791199316	3.68937744418935	3.77438647495815
Pame_00016.t1	2.93856809205928	3.40058984381213	3.87949012998502	3.4936729497819	2.96357954783743	3.51021506803681	3.51026571423854	3.21670163103413	3.22550322539205	3.51107581175859	0.30090154490932	1.70119859805939	1.80659215307214	1.40599780379779	1.46028124694088	1.66929441051633	1.09474278238656	1.14010458636561	1.96677374948852	1.45440228376787	1.59262686163161	1.77452352959023	1.51128585653006	1.65837602630742	1.67705264177026	2.10947757511381	1.49044690567859	1.96680696601042	1.80835621706236	1.44999444825432	1.60474031327624	1.3895392791519	1.36891917476311	2.06277105490115	1.54587943310814	1.5848951733816	1.38818953715608	1.90245567401628	1.7285387754633	1.78980018474603	2.32640503750384	1.77795618784319	2.18139837629599	2.59826752946655	1.17849156782231	2.01029289175617	1.623693653154	1.17330016267935	1.83083131349076	1.78172899618896
