pathway	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko04214	0.158540931659795	0.123961374800773	0.137277122576269	0.118227020869203	0.142431141662632	0.1145709419168	0.140765735835347	0.127578407778126	0.130759368897719	0.134170002114945	0.0939271400535193	0.0811847825365704	0.0923184329063838	0.0831699628623198	0.0912816727179558	0.0921344035219968	0.100208190005459	0.0807515273966716	0.0985110152860296	0.080365886982648	0.0840000802785525	0.0914514393051189	0.0815280428967987	0.0978833550718627	0.103165650417053	0.0764385931682493	0.0852999475272813	0.0927194874263739	0.0956484183561987	0.0824171205460891	0.0944636527438065	0.0988263490617541	0.0896543735530573	0.0859518517306173	0.0779858551685397	0.0934105156626942	0.0841884936649058	0.0893619058741804	0.0906589983169878	0.103424735726845	0.0948424289471062	0.102534957684897	0.109062833339649	0.107971257331088	0.0848241580689446	0.106824202026506	0.0847330403587733	0.125857350189279	0.0847494379743509	0.0801579350773885
ko04215	0.139767763750394	0.0708896784113073	0.105793360872129	0.125832594354129	0.12570016861836	0.0702627288558689	0.128719264492282	0.128481347450446	0.0940608138983968	0.135780205370233	0.0526442277744608	0.0255928449488193	0.0313109373191638	0.0273756940385144	0.0293130422651152	0.0287728795492101	0.0263368187239177	0.0318159905231171	0.0298984387803242	0.0303459728583169	0.034800845052303	0.0295257964771243	0.037058650469991	0.057547173431	0.0521597215377609	0.0262715564448416	0.0295676332912823	0.0516587998163747	0.0579690971736722	0.021678822447159	0.0284114109318578	0.0316338199054281	0.0216432210653057	0.0417292573853958	0.0141538355305003	0.0293439608518634	0.00774610661443936	0.0294366266668562	0.0196314406721916	0.0463699569545436	0.0342044234641593	0.0275389298606857	0.039758134166757	0.0450539853901816	0.0531909341596516	0.0797794524726338	0.0378993467330624	0.106247637347525	0.00230939117115047	0.00936862678953402
ko01210	0.186035571358499	0.252728537351669	0.240105964279545	0.265507054670382	0.217255402209449	0.265871898321895	0.225375222857365	0.25388862132834	0.255844085447007	0.22374988121057	0.216938416602041	0.195408356561608	0.205546173055755	0.217581495133164	0.166796859059471	0.20365027149757	0.195704233451707	0.201177902179942	0.204508311369148	0.182831728257349	0.189461464821176	0.183867604051432	0.169153673654914	0.185503909269563	0.214035352419738	0.198717290223036	0.185520704261545	0.197319811589752	0.193869159134669	0.187760659583132	0.179577532405587	0.175809118077117	0.196178601920956	0.153044351188105	0.197563424291279	0.165154124019807	0.205023096991488	0.198508302513199	0.169946783279495	0.195465520976834	0.159611911971207	0.186690774674458	0.149358051790698	0.145927048937908	0.159842274472409	0.123986740000589	0.190163045295084	0.173564109380277	0.202745991195767	0.193504727148873
ko00350	0.250849382272047	0.292518844054234	0.264538762082161	0.307511402028893	0.265558292874726	0.310833033468296	0.252280893704147	0.295102829290209	0.294094343683333	0.266076846337109	0.20087761056283	0.215635400883438	0.227869678850298	0.243874706434972	0.196944978224065	0.183904885764381	0.198021080461876	0.211405249155437	0.207234916287602	0.197865402660658	0.196639612745716	0.218804198966656	0.211489176935597	0.215721243287035	0.200653830133944	0.221256921765741	0.193206029816878	0.216801166136034	0.215545870058458	0.190379963476347	0.226741836959311	0.222604999231668	0.223050222764409	0.198652024160096	0.222392446895495	0.20489293533676	0.231221094232849	0.220476266318924	0.17679794423066	0.211553419931598	0.191782643494935	0.223143980724946	0.204965258816725	0.180777356291615	0.154845699453131	0.138687543679015	0.20349031875385	0.0966588813464295	0.18397745168801	0.177970722971077
ko04137	0.175988926029232	0.133600707696614	0.168065493874524	0.180505951804337	0.181006568488203	0.125608920312261	0.164219116702094	0.18289832525511	0.174731496179394	0.172381244494374	0.134936068429099	0.134642152114782	0.131654384868825	0.140397884984683	0.133209999567327	0.145464791299356	0.142104085552337	0.123899255763137	0.140090885735059	0.138736849019512	0.133156067105862	0.137125687487926	0.12257477673551	0.139511381667109	0.150615372769723	0.130306801259519	0.130275633517145	0.131147168930102	0.127975900867468	0.131455556957438	0.119947287988643	0.138094878636298	0.124739985841529	0.131380702415085	0.126819011053357	0.126641386982505	0.120100192693342	0.137348528179678	0.128574661606349	0.133062876521309	0.129978755015968	0.121672592092067	0.130910784365133	0.157998353668372	0.129538827780193	0.127336686876341	0.135490139902204	0.136461207150196	0.133282721113441	0.127500100031253
ko00785	0.125300866345183	0.137129589962571	0.150025796896689	0.148903898924214	0.141790491109831	0.141689728117753	0.137959753129845	0.150437237171251	0.140346745637912	0.144846976301015	0.0915865347275639	0.0728288149078547	0.0753398535058862	0.0801361604426787	0.0355877232219961	0.0796029771625218	0.0763069835574784	0.0888185595018788	0.0613602763902083	0.052030642826764	0.0945591329624434	0.0571317994625409	0.0519590626812547	0.0644191588485356	0.0981549751032024	0.084174963234785	0.10275185486276	0.0875286611367204	0.0954202208023879	0.0904735353612258	0.0667101540530526	0.0698518253552151	0.130955289777642	0.0651336958647941	0.0840668411870242	0.0368599022755563	0.0986946571550322	0.110237247724882	0.0801999396390263	0.0870501941660196	0.0499294872573325	0.100927538641357	0.0685266376301633	0.0653807785681751	0.137106069345571	0.028270945362424	0.100215016270825	0.13359884752024	0.10439205860509	0.106765646398166
ko00534	0.107842384421403	0.0715900937941162	0.093875443520666	0.0641504972978942	0.0764826786389228	0.0648324859703514	0.0943940528907806	0.0666863877404392	0.075174521771255	0.0798221693596334	-0.0419688208479136	-0.0220934674170842	2.31706952552319e-05	-0.0252840392772592	0.0312174887874377	-0.00224474253824863	0.0335889681646122	0.0290733703078543	-0.0256613368076341	0.0246635287511076	0.00291180360138881	-0.00147506999644797	-0.0497760961069583	-0.0443821383537799	-0.0110904199155738	-0.00572279956982325	0.0201949464738869	-0.0131880373074953	-0.064778758247513	-0.00356776810972641	-0.0175944822391826	0.00346028207571577	0.0416122218768965	-0.0614217670891237	-0.02714445226689	-0.0143342202128387	0.030904267924182	-0.0043392450291866	0.0314995451765618	-0.0278497463834958	0.0244797126044701	-0.0160398616227594	-0.0435112998571747	-0.046907030464316	-0.0443594559760062	-0.0253810732337855	-0.00255492878059264	-0.0780011152148566	0.0121718975194359	-0.0168907263326558
ko00910	0.316567288308469	0.330006523447471	0.320743171268715	0.338583008108122	0.32092984705569	0.317683626031647	0.320578134274184	0.353201091518843	0.352595560895013	0.316235769310949	0.223380218253382	0.202340328094302	0.168519572182407	0.191422099893697	0.195391884782713	0.177763579076674	0.179884324878409	0.241917959544974	0.188305119537944	0.200508686040863	0.255967112511974	0.281610122245019	0.150162484742762	0.218561783620449	0.170645757171362	0.223503690618771	0.185685480723768	0.186956257097409	0.197050333237326	0.18934734031096	0.194507793081645	0.209822677663205	0.231809496450835	0.181616775982016	0.181580139294092	0.194423541850426	0.226674901335285	0.238943731455469	0.241957679281099	0.218370526505981	0.203855488176734	0.21601606271219	0.215796666623646	0.142599859889742	0.208793781874841	0.119363186410788	0.213642615443616	0.0794668238896208	0.221246535413319	0.195890563226965
ko03050	0.410604882663697	0.366090307739939	0.390784147200463	0.372204970983099	0.393095118799034	0.356849436250098	0.39898335027297	0.379477323284063	0.379376935646658	0.393902058934313	0.346848587033101	0.352008086411664	0.337275247541564	0.342971708016661	0.330071078358024	0.322845315899095	0.350316978646127	0.32174620312706	0.337142299420013	0.353268255940595	0.338579812643047	0.344566830591223	0.335236972624313	0.338263775377662	0.320125709328104	0.339188019539612	0.33364613204523	0.337502920219519	0.356270089955821	0.335139294272164	0.342387067812737	0.350301898952313	0.340529038948302	0.380310136944472	0.335030513313263	0.354381198929904	0.327525732403182	0.338000426264442	0.340704532082335	0.364776632688047	0.364880868757218	0.345119973703467	0.368250543399164	0.394493564637054	0.361251595695557	0.387150801088795	0.333390620278674	0.381613254642878	0.329597253587853	0.342589911406287
ko03266	0.174702807308878	0.129482616529423	0.22570762649785	0.203285512614783	0.216477868138342	0.120245953388625	0.227589245937375	0.215001232450112	0.197934816334491	0.212565581568492	0.137805084099565	0.0815141457532073	0.0891639064943296	0.0741832182789084	0.139947138587271	0.0503147261970438	0.059402114846397	0.0815670900383201	0.0675631339163332	0.079319615940134	0.0721750481004013	0.114757105539979	0.0648879833616679	0.0893503030823381	0.017722158168562	0.0432876301930617	0.0543852425379396	0.0493420671148181	-0.0290693317452187	0.045529874575932	0.063351680048532	0.0868633282775958	0.0778188855907425	0.0939929916098119	0.0500473088257475	0.120319416052437	0.0958633621655909	0.0137022470421867	0.067559192227041	0.0424741466028243	0.0925603684357605	0.0479135390434035	0.10330582872144	0.0952572313315395	0.0128520510024149	0.0861905388349962	0.0663093280528576	0.0381871276857123	0.0229802131723716	-0.00561267565217375
