KO	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K00052	5.35554736790037	5.07173648630877	3.69671515943963	3.31681411409159	3.14967729623229	3.7646226290066	3.94602773763171	4.93034272371246	3.19470784048232	4.11559336441364	7.14897857487815	8.33698135105547	8.0696188715663	7.11787391414665	7.12568427847786	8.70119199074969	7.72256786030944	7.17965401077711	9.32281019175677	9.15414935479669	3.89783812766848	4.70265163232971	4.02029512089263	3.84495747490836	4.19220077462645	4.30980777156584	3.75644295539663	1.77987254672613	3.89582220019932	3.87963756929319	4.33916393412107	3.10232544963282	3.98104291866125	4.11897600749539	3.70927997659122	3.87048791936882	3.897226699176	3.78279019381588	4.35770049353229	2.39922381843061	0.899332826816714	0.426519169857563	0.685516579451765	2.32687192685187	0.753937472169565	0.208767836529886	1.5604117483762	0.775487423274605	0.276571800674923	0.570462220655275
K00053	5.61259246435148	5.3003984216509	3.99524845183127	3.47047243048625	3.08070060736833	4.00790124530066	4.04153251080407	4.99162667629489	3.10473640498684	4.34093964150808	7.31296497016695	8.80501069201361	8.11147027912806	7.37003482856738	7.19862174762686	9.22841830355916	7.71152585202475	7.15632542702908	9.58489367355203	9.3009677587863	3.76359033178669	4.79109608569115	4.0342578471526	3.81529620775365	4.26234822445697	4.40930562992127	3.92000165286726	1.90228359644328	3.87288286588645	4.01647105302818	4.62110224458339	3.36926957744491	3.83367145012207	4.43259132234558	3.77032503693712	4.20917262624065	4.04782097239825	3.90153477406115	4.48320591431702	2.43163846999142	1.06715416742781	0.606871599600273	0.865370715956447	2.61607733939732	0.885081414171689	0.171442545989724	1.69872348687113	1.03781157505881	0.261303855338528	0.682309424032931
K00826	5.82991500962482	5.38016948324073	4.5555057612408	4.10371390353011	3.48330196694069	4.48707437062484	4.80383868993291	5.41176326682226	3.56821253166537	4.61643235983419	7.25921564822356	8.5475566320271	7.84304112044338	7.29636848579027	7.41666141698015	8.84411315822072	7.63650808704637	7.50703346489496	9.43772300539232	9.30608853902725	4.45913393377697	4.91187699090959	4.96437996520223	4.3345826465178	4.94329439966072	4.91855008281841	4.57612249871689	2.83764300388568	4.5644369153582	4.60208676478494	4.54014867274796	4.02649336454122	4.33929712426832	4.37709172821284	4.22135063389441	4.36697710167067	4.34456530925465	4.46114361318947	4.93769607937447	3.23869504582794	1.19079136788302	0.83577628794294	0.959469136545384	2.46580068451824	1.12906085437787	0.237948006961828	1.67262271189184	1.40894836172357	0.26020707990847	0.654301802747113
K01649	6.02900273942038	5.73871800638155	4.45856180187997	4.16506581007188	4.21418206755339	4.62979579934052	4.84511180648316	5.61742366872994	3.88396838791668	4.67664496375242	7.9073995441796	9.29136449358479	8.80081656629635	8.05794853929753	7.93773111232965	9.80457795605313	8.36729402003602	8.21316433670514	10.0515860527424	9.97029227488	4.54830849478823	5.59156199102537	5.01658241574497	4.64606481447785	5.24445333507455	5.16355280975721	4.9416342874103	2.31425335934764	4.76068121300117	4.8805122114862	4.9065416361814	4.16415248582668	4.69199125490886	4.76876370052155	4.31381533520397	4.72450894230933	4.56284800403905	4.6344478668324	5.17334850557007	2.90163381048564	1.46138695633137	0.78381316872275	0.992255641892157	2.61185355313285	1.36682142021386	0.337353442189747	1.91368317536675	1.26338079302178	0.359823431420554	0.678977077207173
K01652	6.29136982717806	6.56249383552936	4.68301603355722	4.25789798747493	5.49786265988509	4.72963579480889	5.17366558010304	5.79021102295157	8.60641750383453	4.98087587359707	8.62786493547225	9.86300133100346	9.32983428647482	8.66679051652943	8.86953778611415	11.1327681382905	9.47472571780498	9.42871070943509	10.7277716587339	10.5974649024939	4.77548121589732	5.77191609975907	5.43141104826506	5.74447404893164	5.31123518418252	5.98660437519527	5.79744615231793	4.75400173414433	5.9779328175362	5.77092667216076	4.99633812034121	4.4514387365266	4.50225530758937	4.86204722321381	7.71542433580388	4.73210810349573	4.66300838155824	4.72585975006373	5.31823191223341	7.34410436283353	1.37620656312753	0.872869635898206	1.14375552384073	2.85813039615216	1.27221138390358	0.364895163569614	2.1034149193805	1.44386618584997	0.345415883338083	0.879066201283006
K01653	4.27876280235873	4.25332415085959	3.04247944571756	2.61227020892903	2.67304877957411	2.99277836166791	3.3106157844366	3.97026640090239	2.3488971902094	3.16298788862485	6.30894692737522	7.67558886970417	6.97059400000728	6.39950687906845	6.27119921191265	8.20644220731142	6.78167335629987	5.93425877088746	8.44255127245623	8.32665347584049	2.9499223633384	3.98279165164942	3.44174272426203	3.04297480871934	3.48794804943344	3.925830958915	3.10751757938427	1.27987845376394	3.14488224005918	3.40021226581035	3.13285379230228	2.62716100206029	2.87731199602924	3.18967313934097	2.93708321391829	3.01539479955253	2.82408658693602	3.00989719574605	3.57552903349846	1.80528102958143	0.495645166513169	0.25823017972654	0.340319987592986	1.15227170538896	0.541672691950652	0.0716478347925122	0.761729441041313	0.486497460603201	0.1173059275149	0.234471351571176
K01687	6.28288334517546	6.24678036592394	4.77479903540813	4.21554147856256	3.99782150694339	4.75680056966483	4.97238726161526	5.88927470638552	4.05092786341249	5.08349480464979	8.39340557656451	9.52265926347834	9.32083891935445	8.58681461551096	8.15126106240855	9.75597193463974	8.56329099405665	7.89039057915371	10.5233791536135	10.4200637148983	5.04586004968299	5.74439186768064	5.22107851864841	4.69337321597676	5.14561988835261	5.24360033075583	4.81072349805913	2.65109130166593	4.67287254082647	4.90736356413254	5.1992998674318	4.12429695948357	4.77332050041192	4.9906876322653	4.96961517778994	4.88564540221905	4.92631774952566	4.78961184814855	5.51578975494218	3.59783031583151	1.61441107181804	0.8225649704612	1.23074499390436	3.06834951497759	1.33104966769296	0.384600335806915	2.16293480869359	1.4373576629657	0.428803013125443	0.960005003114856
K01703	5.85568359888197	5.37673431025906	4.04745137807307	3.91607172281291	3.61316924678745	4.16068686333702	4.5714040836724	5.23746665090532	3.86008589794839	4.50460639651945	7.66078079792826	9.00716592337107	7.80393215422299	7.68804960485488	7.69276407646144	9.1941727886314	8.02268570945155	7.81187245764162	9.7488771119932	9.69562565538808	4.0641157349105	5.17860504103391	4.89211502328993	4.27406175124284	4.8344456057567	4.87912484128242	4.33641188164254	2.23906664134927	4.41448228599158	4.45304669059227	4.61221847592622	3.70845667144359	4.0338657960117	4.51551662144199	4.30235684149818	4.26065289252053	4.19146824063907	4.05992558210387	4.71194162428463	2.78242007113631	1.18026492429623	0.576462761143227	0.812822454187821	2.6600831792022	1.00482786716753	0.207846377589823	1.88136507308935	1.04852760413781	0.304504875854946	0.704330510658348
K01704	4.65490203406187	4.34592019270534	3.09956967127674	2.85599755710048	2.39476856691967	3.2619475611616	3.27353814310837	4.07560501447375	2.53488310554104	3.51719839546767	6.36623298577715	7.89199107162667	8.02109450005007	6.278691224537	6.33316034903862	8.03612175121273	6.91620179472306	6.44062036264572	8.42927138672523	8.55280574805454	2.90310315766202	4.05497201979279	3.55158854802362	3.15667182280559	3.51878186066619	3.5513074740969	3.13288982530996	1.21612475174963	3.11834478226361	3.16353110594729	3.68281664735722	2.50832504525092	2.97105438541503	3.55058722078424	2.87393443903634	3.25907245443471	3.169538350038	3.14296512324015	3.59928259323651	2.00198571461033	0.631331226370183	0.299683260904789	0.4315724984543	1.82758285391433	0.501516044546259	0.0997369381333767	1.06138420525881	0.55573777291749	0.122143550185342	0.371519353033651
K01754	5.59586144721204	5.58064696217512	3.76217617643271	3.30214456371564	4.09136483359406	3.9110685607405	3.55546372793229	4.34154879635957	5.39835130881575	4.33714453971103	7.61375255492871	8.62287788641073	8.42877300772161	7.70832203025166	7.24979754570044	9.63270686671738	8.02596153238374	7.29648953326288	9.75497287267087	9.48709419683372	4.11093199054156	4.08707876914818	3.83821773114673	4.4340219513128	4.05095503043027	4.41724157425308	4.15160373382654	3.62537241684749	4.29161814076806	4.11109975949824	4.69845330918856	2.77657131427677	3.54270302116724	4.48001048851101	5.19302452893741	4.10876619163196	4.07088950710139	3.25944906108892	3.67929764934316	6.00544986517132	1.06065418328095	0.507375059028746	0.78107311952051	2.81071027691873	0.754488729729826	0.30841625623831	1.79970666969913	0.865505196793274	0.312991984520153	0.678977077207173
K09011	2.4863082156287	4.46094714061263	2.56987416813658	1.48536912390364	1.311007354293	1.82713786122574	2.97823803235056	4.17902626642189	2.07829210726843	2.17896999557598	4.74646935393302	5.92295929409638	1.55382241263156	3.63148934173592	5.69967723761896	5.01730487341273	4.16222909375349	5.09618680028816	6.86628529981683	6.76994641357569	3.12497286816273	4.21229446584862	2.76598137972932	2.68877595927565	3.25329787392221	3.58855984520327	2.85624438099821	1.59780014540498	2.4889906867372	3.16408579264442	1.67568196761421	1.64309090455479	2.31636524666365	1.5619305419708	2.08405544533786	2.11842789095009	1.8662872865276	3.13763868361051	3.68648048243256	2.38641878126924	0.446158356648951	0	0.138429768485966	0.294783798142605	0.131438729716714	0.00743295445031923	0.138042442156548	0.448163991965293	0.0388926130560518	0
K17989	0.0276383283207608	0.225800201089099	0.129421189478882	0	0	0	0	0	0.117910984726566	0	0.233995202457837	0	2.48520461793492	1.2013934818489	1.02874990608021	2.66383666736282	2.69337951011846	0.304871698005069	0	2.26485813875855	0	0	0.0371763177848546	0.0309161209519616	0.0528160831436595	0	0	0.869485688749116	0	0	0	0	0	0	0	0	0	0	0	0.395283443011759	0	0	0	0	0	0.00212761185573908	0	0	0	0
