CPD_ID	MS2_name	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
CPD0020	Valine	25.8307274	25.67601345	26.34764572	25.83871148	26.84158572	26.58028627	25.92689954	25.3670352	25.43027701	25.76970272	24.79947799	25.63515021	25.84306724	26.37189697	26.22048113	25.90048937	26.26491181	26.11296408	26.47219292	25.81833532	25.86476197	25.93988367	26.08253463	26.00480715
CPD0128	Isoleucine	28.91218634	27.87346407	28.15744463	28.11570727	29.52562866	28.99573555	27.35919712	27.46064446	27.35525845	27.12279216	27.6713753	27.35899438	28.7937554	28.61550675	28.44910202	28.89336261	28.80005065	28.5422396	28.89597009	28.60501929	28.86313957	28.03271685	28.21155344	28.6600696
CPD0158	Leucine	28.91218634	27.87346407	28.15744463	28.11570727	29.52562866	28.99573555	27.35919712	27.46064446	27.35525845	27.12279216	27.6713753	27.35899438	28.7937554	28.61550675	28.44910202	28.89336261	28.80005065	28.5422396	28.89597009	28.60501929	28.86313957	28.03271685	28.21155344	28.6600696
CPD0132	N-Acetylvaline	19.34841809	18.82450112	19.6281259	21.02998023	19.46507647	19.31746776	19.46388969	19.58581605	19.85407489	19.90736176	19.30793871	19.31504608	20.53781628	20.85073502	20.3173721	21.73563703	22.5625407	22.10451807	23.62449232	22.97691525	22.0051282	21.45521705	22.19612744	21.34668334
CPD0449	gamma-Glutamylvaline	23.16990173	21.15587623	21.52769209	21.49082048	24.16042915	24.34262223	22.40108702	21.603939	21.85297904	21.17417598	20.81900278	20.65875939	23.12037356	22.01050142	21.96118666	21.76361895	22.03188437	21.65973833	23.57671874	21.17294319	22.85135532	22.67427807	21.80659544	21.97734409
CPD1105	N-Methylvaline	22.52662299	22.57897436	22.66882344	23.00781404	22.87202965	23.32070309	23.18954036	15.38745178	22.85445079	23.02659915	15.27200321	22.85737867	14.96608527	22.74427216	22.73746488	25.53994037	22.73343447	23.03723734	24.03329579	24.95615088	23.79478383	24.03880475	23.92077933	24.26385235
CPD1120	DL-Norvaline	16.22179668	22.28862142	22.41515926	22.473429	21.81430937	21.60816218	22.83976249	22.47759165	22.64049024	22.69913825	22.63359581	22.92885374	21.71472121	21.94704274	21.74426888	21.4286872	21.70247945	21.4212728	21.26750099	21.4945556	21.36025151	21.8987151	22.05527483	22.17183229
CPD3142	"N-(2,4-Dinitrophenyl)-L-valine"	21.62123958	20.85091101	21.559912	19.98222362	20.11041045	20.47472148	22.70992946	22.50906281	23.06172562	23.25581152	21.8278399	24.78166383	19.20344267	20.22010988	17.40628491	19.54088591	21.69615744	21.28342186	20.74806416	19.91360124	21.16005467	23.12186981	20.79603869	22.1304191
CPD3209	"L-Valine, N-[(1-pentyl-1H-indazol-3-yl)carbonyl]-, methyl ester"	20.97280655	21.66526482	22.06887091	21.77603875	21.92970189	21.72244541	20.26210793	20.15914392	20.25452324	19.55778519	20.07940299	20.41183958	23.69742094	21.99886395	22.9908836	23.14671354	22.79533702	20.91715987	22.60097346	21.7439298	21.98819193	21.97178573	21.80805279	22.15463057
CPD3350	"D-Valine, N-[[1-(5-fluoropentyl)-1H-indazol-3-yl]carbonyl]-3-methyl-, methyl ester"	23.57949774	21.43751317	22.42281911	21.92136847	21.84053226	22.32345302	17.19400583	17.53694436	18.06142071	18.9056533	18.02461268	18.29282226	22.93269802	21.04213186	21.53692458	20.48747094	20.19257218	19.59859738	20.61187791	19.40505669	21.32352697	18.55600721	17.68269729	18.55718614
CPD3351	(1-(5-Fluoropentyl)-1H-indazole-3-carbonyl)-L-valine	22.85016228	23.20532809	23.37629502	22.30680385	21.33862541	21.70031518	17.43352434	18.79831012	17.78470056	17.86495349	16.7174245	13.60887254	21.1889021	19.49237581	20.85075073	20.45036378	20.13415627	19.18344092	20.0646557	20.69541784	21.42289093	19.86813351	22.04662996	22.93787876
CPD3416	glycyl-valine	21.86502914	20.81619122	20.93190189	22.64093341	22.61448797	22.72874053	24.24135479	23.2895395	23.98108711	23.07858836	24.76596359	24.27354614	20.967886	20.31574535	21.41182431	21.09082757	20.90923713	21.30873503	21.06205684	22.28193261	23.25303728	24.4791472	21.86926574	24.49869086
CPD3484	"N-(2,3-Dihydroxypropyl)valine"	21.84794674	22.74109504	22.69204096	22.54002898	23.24366535	22.56381797	21.52045295	22.10337443	22.41923274	21.94671348	22.59955112	21.95272326	22.22961949	24.51325541	21.83985261	22.96406489	24.0579571	24.29966931	22.71903441	22.29439983	22.26013142	22.3586723	22.34594127	22.30566101
CPD0631	4-Hydroxyisoleucine	21.5695473	22.65068336	22.32484834	22.25805535	21.36401558	22.44574684	21.88888942	23.03951216	22.47294533	22.82610209	23.39434004	21.97492846	21.99487915	22.96277602	21.75306402	22.90563585	23.90278725	23.85808385	21.82541582	21.53632866	21.70200147	21.60528854	21.99673691	20.59326876
CPD2420	N-((2-Hydroxy-3-oxo-2-(pent-2-en-1-yl)cyclopentyl)acetyl)isoleucine	20.70837601	19.71448429	19.86750381	19.16534522	20.41997364	19.35779279	24.87729795	22.93568793	24.57094849	23.59777939	24.40078651	21.66584036	19.6890998	19.46276911	20.64564256	19.96660386	19.45458599	18.70550966	18.29038627	17.98757321	18.26799944	19.33897264	19.54754134	18.39428967
