group	Tissue	Volume_ul_Weight_mg	BCAA_concentrate
Esin	Hemolymph	1	374.31
Esin	Hemolymph	1	231.56
Esin	Hemolymph	1	240.04
Bger	Hemolymph	1	782.5
Bger	Hemolymph	1	720.04
Bger	Hemolymph	1	665.19
Pame	Hemolymph	1	450.45
Pame	Hemolymph	1	669.24
Pame	Hemolymph	1	704.45
Pful	Hemolymph	1	663.92
Pful	Hemolymph	1	690.74
Pful	Hemolymph	1	589.21
Esin	Fat_Body	108.9	587.875
Esin	Fat_Body	115.7	728.365
Esin	Fat_Body	121.05	668.955
Bger	Fat_Body	85.1	1181.32
Bger	Fat_Body	96.5	1209.98
Bger	Fat_Body	91	1414.14
Pame	Fat_Body	108.7	1489.01
Pame	Fat_Body	129.4	1590.19
Pame	Fat_Body	111.2	1801.45
Pful	Fat_Body	109.2	1600.71
Pful	Fat_Body	121.2	1781.19
Pful	Fat_Body	104.6	1491.39
