module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
MetaB_M124	0.12054399154471	9.33714910944516e-18	3.29934531172347	0.00132924051959382	0.00236309425705568	-1.53783747263189	2.62651895526025	Human_up	-0.0321025187286091	-0.118513092670927	-0.0765762640375222	-0.110024425944949	-0.0478051950406545	-0.0601123635263606	-0.0950410211032223	-0.0233258902935163	-0.134165375176383	-0.0505398757478752	-0.0725863168580693	-0.0984725109043129	0.0781302780995062	-0.0753493236521652	0.0169839648671442	-0.163483987399446	-0.307600376717516	-0.250495760997386	0.057669268706387	0.11688288858936	0.149930840031088	0.165549477233998	-0.0354730778877008	-0.0651175603503218	-0.106773445603215	-0.120816390713887	-0.172415218201963	-0.0241789307595306	-0.25394015795754	0.0942720732869359	0.00027937455939857	0.105907337521707	-0.0803468904202463	-0.0891292773828983	-0.108396857773333	0.21063041784731	-0.185618095378711	0.179691031532286	0.101042359013899	0.139037033647081	0.218211926872787	0.14998485479363	0.0292607771308425	0.117741927087793	0.209038041894825	0.023225171743231	0.0406671798565935	0.251813408573766	0.349630708681317	0.152819859657376
MetaB_M002	0.137680294513877	2.05391259555654e-17	3.83015404587965	0.00021968760077434	0.000428561590764747	0.133417168292731	3.36798675458771	Human_up	-0.0701925408529721	-0.0671042676246347	0.0732519208852243	-0.131261899136988	-0.125547256929046	-0.122890582209135	-0.0549078370249495	-0.0349254331792365	-0.0865890940269018	-0.0952189259487525	-0.0304430949708682	-0.0170639502529976	-0.207094816234414	0.0994121283954065	-0.101416374445023	-0.20907641720299	-0.174535179484586	-0.221467718637692	0.0818807491877859	-0.156972944473748	0.156976255237183	-0.111126889842988	0.0968998472311523	0.103378163122051	0.25895287790822	-0.168005315695678	-0.0839418486868141	0.0585789860863369	-0.0620115931978757	0.0413325253516508	0.0466340331711392	0.225261315755833	0.335440418445124	0.21396677276651	0.116718475927952	-0.185198691620265	0.0692804214332811	-0.102429553898486	0.117054230997632	-0.148793004571145	0.0324825282269502	0.0947573950538795	0.198885144564047	0.273986014440422	0.0480906557064515	0.120821853948047	-0.139514069397739	0.209572450794606	-0.0758251649711533	-0.0900607001198052
MetaB_M104	0.13848758117379	-2.68882138776405e-17	3.85582447274647	0.000200478060397265	0.000400956120794529	0.219050480578833	3.39690315241599	Human_up	-0.102353438998445	-0.135833419681301	0.0396842627368471	-0.149999672278032	-0.143240407309894	-0.127626863793949	-0.0748851922299309	-0.0452582260746305	-0.146764436132002	-0.124875985963311	-0.220772564545141	-0.106508758069765	-0.153936686883686	0.0149354009726084	-0.122883024257661	0.258777807324543	-0.0837497962346554	0.123585015001538	-0.0752910581774186	-0.284853929491193	-0.174897783744149	-0.141151649001557	0.113258209203122	0.124947535869001	0.136732219614621	-0.211414354270192	0.264166905170984	-0.115810944557805	0.0471753588221469	-0.0218763550804184	0.0888094402585523	0.174737446621508	0.20240500544782	0.119632240328561	0.0440482779424513	-0.117434550458015	0.0321759787499388	-0.0239033325814705	0.0500062891463322	-0.0962869888301299	0.0835294616113887	0.108066167750557	0.117704274806873	0.292108621936946	0.165404884454943	0.0430011933185263	0.16734441837474	0.249535480008091	-0.0249436404281955	-0.0352188363996937
MetaB_M023	0.141972468345565	5.03416752728469e-17	3.96738689045848	0.000134086194705697	0.00027583445768029	0.596120396529011	3.55935148201202	Human_up	-0.104272775828284	-0.104738014078059	-0.00852932446157496	-0.136466677255331	-0.107568018700527	-0.105579048839512	-0.13279277257084	-0.0884401163680308	-0.13868535006556	-0.111109530207898	0.023216960558568	-0.212540870959574	0.0435775111146191	-0.287515913201346	-0.0360461878082982	-0.260682361131182	-0.0850112852218313	-0.201586776787765	0.277431564404865	0.0736693672607869	0.104715026433293	0.152675229230853	0.0369082328768553	0.229405938445403	0.0901077286037737	-0.0321278612441717	-0.142046599895773	0.0715362923268855	-0.170346431810638	0.0373603582990932	-0.13658494828263	0.118005770005774	0.135333076911977	0.159829883322254	-0.150128841773199	0.190555068663974	-0.0309677403465665	0.0916807393884107	0.0874232106885611	0.119844723148888	0.0156853664215211	0.0846110691484363	0.074816759046845	0.0064637930717671	0.0904027683165736	0.175643712065931	-0.21323694943044	0.106003130298413	0.343781588759171	0.0563195274555413
MetaB_M043	0.158824839129128	-3.92914867308747e-17	4.52563193752099	1.61160233380943e-05	3.6836624772787e-05	2.59664472496225	4.43372016972674	Human_up	-0.102107054462687	-0.137371617449755	-0.0517710605124898	-0.0896090064455872	-0.0425247517881341	-0.104850830402057	-0.056652630603946	-0.0825108091805287	-0.106114463072213	-0.0488076071421051	-0.176694023236995	0.0153789222666321	0.00681717394505449	-0.271946550536131	-0.0974720339383463	-0.0502598628315692	-0.291160100609021	-0.144081462334504	-0.167781391019726	0.0936210898045727	0.202722046986542	0.0135815143648971	-0.0772340019614502	-0.190157188308876	-0.196212691010153	0.22236880180567	0.0941864767219932	0.0175544453169332	-0.110959499497574	0.0727192005291172	0.127484620443534	0.0105829285250787	-0.06901144292436	-0.064293577641654	0.0880617196418386	0.176086200581575	0.189685460582016	0.130553244693802	-0.000466763117748202	0.088018327584111	0.220349904832872	0.139881762601509	-0.144269315775432	0.287793420950316	0.218002753200373	0.253956414126925	-0.117582348115162	0.0519479683277297	0.0918613424034908	0.17868634368162
MetaB_M090	0.162172027013239	-5.30478438953708e-17	4.64058911005678	1.02048189269559e-05	2.37015149271234e-05	3.03067877310804	4.62522389435009	Human_up	-0.0377620227971123	-0.0772555477060513	0.140357048567624	-0.0853279776475937	-0.0908864447324198	-0.0669029803342637	-0.0163739965721543	0.0332359071397493	-0.0767831325451975	-0.0821578454972187	-0.290032091356311	-0.0952621269860072	-0.132143064894626	-0.00692442341298472	-0.224603903199862	-0.203701290075905	-0.063145098369802	-0.197207221037455	-0.155480564883135	-0.217707547818145	-0.112404285389488	-0.0600574567020624	-0.0529794985105651	-0.115020513733062	-0.106613248090361	-0.0701964438902572	-0.102076452649172	-0.161729807286148	0.0713484262940275	-0.125642077687865	0.0655622355377997	0.0471229525720966	0.0528135285066356	0.182454708514457	0.109797589364146	0.0946698395111334	0.187352086225645	0.141397145858471	0.0616585069423649	0.0457628592856148	0.165563826771502	0.1336521252157	0.177035638975385	-0.00421860468585452	0.260596709158005	0.327312088001918	0.170949641169685	0.179550986277627	0.240652113906434	0.141749704695056
MetaB_M038	0.162758656561919	3.37056771382294e-17	4.6608881643394	9.40723087350709e-06	2.2577354096417e-05	3.1080576238936	4.64632695561992	Human_up	-0.15306811314965	-0.169077920627759	-0.107156777487398	-0.178822951759938	-0.21328641691769	-0.171771653612039	-0.139381982444656	-0.148733923585949	-0.201993561413246	-0.196684472098146	0.0971679288829133	-0.0488714996703216	0.141681004922445	-0.242173122921062	-0.0750343801904317	-0.0444332250828029	0.0033670989121309	-0.0443466916603429	-0.145843517328453	0.0853602984893742	0.0357378777962232	0.252806126343924	0.11857495393485	-0.0702528104758802	-0.0606078009524193	0.111141081253138	-0.106627452960713	-0.0150404312019038	0.087485210737987	-0.0853070789481051	-0.0416527453868174	-0.113343776855274	-0.0160580221059134	0.121430185480214	-0.134162280626491	0.114793610874624	-0.0328446381357299	0.0512183867551365	0.235783074814629	0.303699929351755	0.0970354970107631	0.119894469895571	-0.0272415209660423	0.0229534016614809	0.175889637294528	0.140804529005504	0.0571241677119217	0.0780708538684264	0.350121974241242	0.181677469326395
MetaB_M063	0.166689781458507	-3.34021005299334e-17	4.79812224808778	5.39763158692276e-06	1.36361219038049e-05	3.63685228326677	4.86530912493265	Human_up	-0.217477893241174	-0.145991043059506	-0.0259285995084704	-0.191724985765455	-0.167463447508729	-0.179475425300783	-0.108301560988546	-0.0989903864480684	-0.174550904642281	-0.196480209978629	-0.134775734160177	-0.080904088775342	-0.0410711300275655	0.0821988408610779	-0.178603363734901	-0.143835534294755	0.159350283150283	0.00273701589928459	0.0360357128969861	-0.195024922875333	-0.0610133256663783	0.0644595895911037	0.0788358047645383	0.0255815951441891	0.0505923426888455	-0.322423759762272	-0.0289754592492347	-0.147220241912614	0.174777323136403	-0.0717840697768088	0.0201419753169066	-0.0452371770211946	-0.000195866462029353	0.26256024869016	0.0558143183340974	0.255499561130895	0.0988035155955698	0.291713091401564	0.0975145563718152	0.124602034044193	0.0306791228665584	0.0864383182195281	0.148877209486298	-0.00990578518331001	0.157776181611264	0.174424208503283	0.154567747522694	0.168253450010406	0.111257827049847	0.0538630410557647
MetaB_M071	0.170202626699611	3.10688974547446e-17	4.92259129456721	3.23580857788919e-06	9.13640069051064e-06	4.1247793648507	5.03922486204681	Human_up	-0.201424521027085	-0.222571527790883	-0.11879633431606	-0.196878474781912	-0.229839093450868	-0.199329703919588	-0.167646939920833	-0.155163300834599	-0.206434701314558	-0.204148967092537	-0.0825592454533109	-0.202951626610565	-0.165371572462537	0.0312750269005153	0.110530591800353	-0.10023939496582	0.0501091863958526	0.00105406839210888	0.244770123288155	-0.0268151132311551	0.133840178833729	0.0232216954509381	0.0345576393991552	0.0371051295299209	0.0562471136476439	-0.209744340697487	-0.051016180375333	0.0350861856171489	0.0341603982478474	0.0415308041738657	0.0365658144238846	0.0772566636684752	0.0808161641489231	0.264293091658384	-0.044445691531613	0.250545582027474	-0.0399298921533416	0.233964822622576	0.122304595412716	0.103338258496806	0.183939843793365	-0.00778853011558151	0.143449832747393	-0.0466027060164167	0.100632429808487	-0.00603802305752046	0.0454414353198105	0.274884062890109	0.128280750192528	0.00653439223144048
MetaB_M081	0.171467309958624	-4.26741975090295e-18	4.96784256494663	2.68171770817661e-06	7.88096632607003e-06	4.30407306160634	5.10342052815132	Human_up	-0.105792533066123	-0.160940648311917	-0.0497745233288028	-0.180992381045062	-0.168874883160108	-0.162883641998477	-0.195311731547116	-0.0638249011273405	-0.206128596477123	-0.22003176712441	0.0441861120257457	-0.123891466793811	-0.0977790540825291	0.0538264438282466	-0.0190704722290485	-0.232488314755203	-0.027797830045402	-0.211370211703408	0.0915660941466099	-0.0202334127082041	-0.0604053814423714	0.208961506381563	-0.0447103144402364	0.00833243318640948	-0.0339033675585944	-0.0543717890504441	-0.128522504083364	0.124368140122467	0.211302010176394	-0.0773481996612872	-0.0439245643654093	0.0290242209177465	-0.0334639874130204	0.201058300194306	-0.0167816701745841	-0.0572445497158872	-0.0257419294311416	-0.0478091390626953	0.275108587289462	0.10223206377576	0.177079163521956	0.0345557759123355	0.0616890608099968	0.117321631809512	0.129772077178995	0.0156443158007237	0.149804181752021	0.248208748503858	0.339820521226719	0.247552377342293
