module	Module category
MetaB_M124	Organoheterocyclic compounds
MetaB_M002	Lipids and lipid-like molecules
MetaB_M104	Lipids and lipid-like molecules
MetaB_M023	Phenylpropanoids and polyketides
MetaB_M043	Organic acids and derivatives
MetaB_M090	Lipids and lipid-like molecules
MetaB_M038	Organic oxygen compounds
MetaB_M063	Lipids and lipid-like molecules
MetaB_M071	Lipids and lipid-like molecules
MetaB_M081	Lipids and lipid-like molecules
MetaB_M004	Lipids and lipid-like molecules
MetaB_M046	Organoheterocyclic compounds
MetaB_M013	Organoheterocyclic compounds
MetaB_M092	Organoheterocyclic compounds
MetaB_M028	Organic acids and derivatives
MetaB_M126	Lipids and lipid-like molecules
MetaB_M051	Lipids and lipid-like molecules
MetaB_M134	Organic acids and derivatives
MetaB_M121	Lipids and lipid-like molecules
MetaB_M008	Organic oxygen compounds
MetaB_M094	Lipids and lipid-like molecules
MetaB_M120	Organic acids and derivatives
MetaB_M058	Organic acids and derivatives
MetaB_M137	Organic acids and derivatives
MetaB_M009	Lipids and lipid-like molecules
MetaB_M025	Organoheterocyclic compounds
MetaB_M050	Organoheterocyclic compounds
MetaB_M049	Phenylpropanoids and polyketides
MetaB_M115	Miscellaneous
MetaB_M093	Organoheterocyclic compounds
MetaB_M019	Miscellaneous
MetaB_M047	Miscellaneous
MetaB_M069	Lipids and lipid-like molecules
MetaB_M001	Phenylpropanoids and polyketides
MetaB_M068	Organic acids and derivatives
MetaB_M016	Lipids and lipid-like molecules
MetaB_M113	Lipids and lipid-like molecules
MetaB_M138	Organic acids and derivatives
MetaB_M027	Lipids and lipid-like molecules
MetaB_M044	Phenylpropanoids and polyketides
MetaB_M042	Organic acids and derivatives
MetaB_M062	Lipids and lipid-like molecules
MetaB_M118	Lipids and lipid-like molecules
MetaB_M066	Miscellaneous
MetaB_M084	Benzenoids
MetaB_M133	Organoheterocyclic compounds
MetaB_M056	Lipids and lipid-like molecules
MetaB_M030	Miscellaneous
MetaB_M034	Lipids and lipid-like molecules
MetaB_M127	Lipids and lipid-like molecules
MetaB_M037	Lipids and lipid-like molecules
MetaB_M003	Lipids and lipid-like molecules
MetaB_M077	Phenylpropanoids and polyketides
MetaB_M007	Miscellaneous
MetaB_M088	Benzenoids
MetaB_M076	Benzenoids
MetaB_M070	Lipids and lipid-like molecules
MetaB_M029	Lipids and lipid-like molecules
MetaB_M017	Lipids and lipid-like molecules
MetaB_M055	Organoheterocyclic compounds
MetaB_M106	Miscellaneous
MetaB_M041	Organic oxygen compounds
MetaB_M033	Organic acids and derivatives
MetaB_M098	Organic acids and derivatives
MetaB_M048	Miscellaneous
MetaB_M109	Organic oxygen compounds
MetaB_M054	Miscellaneous
MetaB_M125	Benzenoids
MetaB_M142	Organoheterocyclic compounds
MetaB_M021	Miscellaneous
MetaB_M079	Miscellaneous
MetaB_M135	Phenylpropanoids and polyketides
MetaB_M067	Miscellaneous
MetaB_M075	Lipids and lipid-like molecules
MetaB_M122	Organoheterocyclic compounds
MetaB_M064	Organoheterocyclic compounds
MetaB_M011	Organoheterocyclic compounds
MetaB_M078	Organoheterocyclic compounds
MetaB_M095	Lipids and lipid-like molecules
MetaB_M087	Organic acids and derivatives
MetaB_M032	Lipids and lipid-like molecules
MetaB_M026	Lipids and lipid-like molecules
MetaB_M105	Lipids and lipid-like molecules
MetaB_M117	Lipids and lipid-like molecules
MetaB_M100	Miscellaneous
MetaB_M031	Miscellaneous
MetaB_M128	Lipids and lipid-like molecules
MetaB_M085	Organic acids and derivatives
MetaB_M096	Phenylpropanoids and polyketides
MetaB_M014	Organoheterocyclic compounds
MetaB_M129	Miscellaneous
MetaB_M010	Organoheterocyclic compounds
