module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
MetaB_M061	-0.128730701352586	3.64291929955129e-17	-2.64364698416263	0.00822033131772261	0.0288714075549282	-2.92738588539916	-1.53953204263688	Lab_down	0.0405309664995684	0.0126112931693629	0.0938013474708659	0.0108717498723185	-0.00644017519940231	0.0369933055382026	0.0603526723705111	0.0648369483286884	0.017583366923185	0.0274423729760218	0.0965919999865545	-0.0641363654297333	0.0652276425281919	-0.33132425957156	-0.0500659144184699	-0.166438773978888	-0.170830708434639	-0.277300521751503	-0.222641410015251	0.091072700264611	-0.0300483907259409	0.166973675137273	0.0455426592472116	-0.226655466224784	-0.0365191138967759	0.213629709266178	-0.195875116233087	0.0248413682749847	0.0149870908144967	-0.0224831476815288	-0.188405369651407	-0.118738192066586	-0.0543848134563601	0.0724852415694865	-0.172695351321782	-0.0687567662466685	0.0500015842233655	-0.0776419231514462	0.210474555133552	0.225347279806666	-0.038077582810603	0.0399954288848234	-0.0186457952796509	-0.0295140066239004	0.0807692186272776	0.187722449564747	-0.152905131977025	0.142817856486991	0.368598832180511	0.258420981001348
MetaB_M033	-0.134979874628952	-2.33753988387875e-17	-2.771981623157	0.00558652963920554	0.0211700070538315	-2.59117715458759	-1.67427899727395	Lab_down	0.177249085142564	0.154687974189094	0.259990512643788	0.133388683391019	0.0711612740728993	0.167466471564701	0.186090488853406	0.197781090362367	0.132508117958509	0.102149796837985	0.0432795027046249	-0.160975089038723	-0.104097674889687	-0.103816421272994	-0.185439892726586	-0.218857544415407	-0.031224952737792	-0.133133145652028	0.00326822708934847	-0.188842006092375	-0.185847968603569	0.0655703155327904	-0.0660871714809373	0.0475027922501324	-0.028536014568377	-0.146866506370874	-0.180184386234897	-0.234485150733778	0.0766839437620141	-0.189374366214377	-0.186294540080207	-0.0175059237973522	-0.128455443302405	0.0713920139026065	-0.0923562223379876	-0.141204828554787	-0.122188725110277	-0.070796692913602	0.278096970148199	0.14526359297024	-0.00336274696131821	0.0354096739440174	-0.0459137301282702	0.0265083639920653	0.0229112358376342	-0.0976293901976842	0.0781851760504486	0.152638946531714	0.219495792469959	0.214796492214164
MetaB_M021	-0.140173365801332	-3.00280633691585e-17	-2.87863650137081	0.00400623714034654	0.0160249485613862	-2.29964067679406	-1.79520335585233	Lab_down	0.198257769077307	0.153228304660397	0.242229407003323	0.166911403861219	0.155800007937524	0.178831524912342	0.201570116034139	0.215010425473341	0.15518386703599	0.177823882345318	-0.174945854330288	-0.10374224823295	-0.00858131748239102	-0.453972968030946	-0.130737296514655	0.0713869381293	-0.10737308105386	-0.0198196870382859	-0.172250404587033	-0.0213510072695513	-0.00715480124894918	-0.00354821014122102	-0.0841210430469877	-0.12021284500495	-0.100402868047838	0.0651039477155518	0.0240479492581507	-0.0634677937310892	-0.159952338919456	0.0054890069682876	-0.0194157995546816	-0.00355342961146568	-0.0478047516443171	-0.0791286870575635	-0.333384607673183	0.0666418844304193	-0.128367007360252	0.0235486829818377	-0.0272657739868114	-0.0640235024125755	0.109286472644854	0.0611213144983344	-0.203405511167263	0.212364966020673	0.0929354101494621	0.0573109306670684	-0.00249844533616218	-0.0874065077564324	0.0737723995344174	0.0200311769019008
MetaB_M087	-0.141262642869496	-1.31318567131444e-17	-2.90100617702634	0.00373140239694009	0.0153520555759821	-2.23709793780207	-1.81383346608012	Lab_down	0.205630573284649	0.18848796278263	0.340324206992682	0.170692881630567	0.164223969580376	0.199523921079006	0.238322429203722	0.260229286766116	0.175543368639605	0.180335607736872	-0.25877236188056	-0.172882387047505	-0.102365182125983	-0.208718692727565	-0.148157650714441	0.130776656597045	-0.00216910548897189	0.0540528285298584	-0.175475964245186	-0.246389283852657	-0.132882631738565	-0.0663745505093115	-0.00629506893070366	0.0314830787427644	-0.0234376064019214	-0.27456345015525	0.114425678563749	-0.174219613070178	-0.0577444083626327	-0.13301957001759	-0.0652568273518962	0.0169475409532106	0.00731962257206336	0.0651145928410716	-0.08658306395219	0.0946359850930543	-0.0996404503759176	0.0625574457796353	-0.00449299103829911	-0.0822133704554039	-0.0276385344671797	-0.02840430679822	0.0391199437817582	0.0543951940125881	-0.0286900321672831	-0.093524626074317	0.0125825904752921	0.031963635223064	-0.0349542935729873	-0.103822977338665
MetaB_M135	-0.142182817499584	6.08887940067859e-18	-2.91990312126867	0.00351271429139204	0.0148773781753075	-2.1838872792382	-1.82747359730638	Lab_down	0.185582922140305	0.183064406370743	0.252346939760853	0.167987085221428	0.156325773355192	0.18887792213462	0.206544482172879	0.203722299590271	0.176947921585451	0.179446526806884	-0.171366723960907	-0.172871428348525	-0.0976479603447564	-0.272835770855797	-0.151160407588878	-0.0731110801023777	-0.0749937152690694	-0.126563564772922	0.0144013525674147	-0.0113132413208532	-0.0775645842764405	0.0560108271711141	-0.105377420558753	0.0386833527564371	-0.0792077459088785	-0.0958322157701658	-0.142653122438524	-0.109437655032255	-0.179096561107715	-0.0611042435329267	-0.24859454769637	0.0524632266650192	-0.0376552682346065	-0.00740296582526809	-0.255827011240579	0.132971897488489	-0.184918619814482	0.108666370742647	0.0569999085947102	0.110949403839104	0.00693857754937419	-0.0713127701683522	-0.0802165497201526	-0.0567124135417631	0.12499433627396	-0.0655815071928522	0.016240390180913	0.0145319798101123	0.280443102994072	0.0952180888521774
MetaB_M010	-0.145181224339988	-5.05932101768636e-17	-2.98147917979737	0.00287859550500271	0.01256114402183	-2.00810226177878	-1.90097080488688	Lab_down	0.251304080061928	0.229519266540636	0.326379797579691	0.224969933551581	0.226242687173738	0.234507584961712	0.268869560923777	0.281569147521472	0.224958761108224	0.235803702460566	-0.230416284834221	-0.200106588691154	-0.0973965973775004	-0.0816351870159808	-0.210241929381188	-0.0849425995736078	-0.0204940302951884	-0.075130082361022	-0.0263858543910869	-0.134700640798958	0.0213616986645975	-0.0711645899700258	-0.0461753924734502	-0.0629358527279957	-0.115413626115736	-0.0805328416503951	-0.0602489926067596	-0.0201172656367513	-0.0678265561055409	-0.148944125833748	-0.105075610064859	-0.0248810402410302	-0.13533199454536	0.0116591846869382	0.00062126943724526	0.0684150771097684	-0.0234314999666343	0.0515588501583736	-0.000897925346716479	-0.131250918388255	0.00461120341830108	-0.058499431603479	-0.085616956504265	0.12664807540075	-0.0249862566622633	-0.0393239057833336	-0.0653320835047923	-0.0446346792392153	-0.0786860704011662	-0.136242470667622
MetaB_M110	-0.155088281189907	-2.66410157823138e-17	-3.1849330621116	0.00145430575360161	0.00675548479092362	-1.40120558849741	-2.17034347943717	Lab_down	-0.00332773395798262	0.000216662618817382	0.0727970121332067	-0.00760660316475425	0.0207183688924526	0.0088198471414214	0.0309104412647502	0.031132677276242	-0.00175801151550999	0.0185037739379854	-0.155152365294022	-0.0870101813839921	-0.0659592475575206	-0.382975527601222	-0.133122802473158	0.0472523698695874	-0.256810141464584	-0.0826112390255417	-0.18066657888565	0.0563494642968439	0.0920303776297292	0.0782259235820232	-0.107892978335373	-0.20573789875645	-0.180911399150203	0.104727574419541	0.0373619984290415	-0.0202856670561694	-0.243620709228629	0.00819542048239041	0.12458762231737	-0.0215248899697898	-0.0198311349539623	-0.102172167606308	-0.136962715699721	0.157860805075834	0.165080218033512	0.131551395079273	0.0130531597811172	0.148645951263579	0.198915041518182	0.081253183579874	-0.108589875542363	0.235585456840838	0.209938509831259	0.370949307218533	-0.199272191999277	-0.00465404216970614	0.141393941267823	0.122399599010661
MetaB_M076	-0.155348148656121	1.60982338570648e-17	-3.19026976762254	0.0014277527796204	0.00675548479092362	-1.38474734569037	-2.17034347943717	Lab_down	0.119729314707176	0.0840956881496735	0.190456704888477	0.0783529963850561	0.063854873940664	0.105972391530086	0.122060426468405	0.144802635780717	0.0790240369375701	0.0771425459010503	-0.0742749547357858	-0.17669849881223	-0.0121582052571732	-0.256273089052191	-0.159229387434873	-0.240863093340245	-0.188028723540578	-0.245186365944308	0.0943334939258135	0.0155936349426058	0.0204302519436122	0.161648369441562	-0.107925792401586	0.0101161456947106	-0.0895427994964986	-0.164344992635466	-0.250449849045025	-0.115492160066462	-0.0748184644586276	0.0154851911807722	-0.182785764239108	0.100793734074572	-0.121068293267906	0.0613636377169051	-0.260033027291348	0.102011229216218	-0.177973202456313	0.100548836508207	0.129774632783036	0.198607544724943	0.0363604689248926	0.0788038454285211	-0.0428859595268097	-0.0503934533972782	0.147166496469786	0.00927991177599546	0.112980559556783	0.079229099670906	0.35715264572795	0.0932547320031463
MetaB_M067	-0.15790682188292	3.93868965220534e-17	-3.24281534290812	0.00118916729632008	0.0059048307127618	-1.22122704816665	-2.22879254878159	Lab_down	0.172523698781184	0.142339309349318	0.267195565234452	0.187288086006716	0.182945956113026	0.169499530123462	0.21837856506646	0.200838596939858	0.167484375112573	0.19264393576573	-0.0077620895370817	-0.156953820103338	-0.146737177037584	-0.116018372992772	-0.0494530895928931	-0.0786943735728052	-0.313874899025657	-0.245656367181458	-0.00734488244895579	-0.140759503570818	0.0182573844790892	-0.0555421197600392	0.0657137209729163	0.189944768918582	0.106261192259397	-0.182541476468052	-0.107408388720551	0.0952272211188954	-0.13639137978162	0.0687166924513661	-0.123256909923235	0.113648634348514	0.107032691880715	0.00415590964310346	-0.168818199556257	-0.19630897122285	-0.147628143641736	-0.104348834364172	-0.0218026082152298	-0.155086146686654	0.00897845354473699	0.0448042500004766	0.00138209006001973	0.21254086787736	-0.0520634182552386	-0.0733625949293673	-0.0438327667154273	0.0562103801330016	-0.00616204727639043	-0.156203295600768
MetaB_M064	-0.160968838924159	-1.24726617922732e-17	-3.3056977169764	0.000952231282272551	0.00489718945168741	-1.02202772981087	-2.3100530946277	Lab_down	0.226446816825868	0.16168903835889	0.266156656801291	0.163683247708713	0.158558678669146	0.201771258521326	0.211560588358971	0.249602679265679	0.160827142452083	0.186236867575147	-0.20855416466157	-0.125535460868107	-0.0834240124253031	-0.342939266638209	-0.169168375221692	0.0803678302995211	-0.173325684021948	-0.0265506158507157	-0.188847810459105	-0.0497731515461436	-0.134963774928395	0.00599070828353654	-0.178551050710693	-0.116378451346911	-0.161033830213222	-0.0102656660311631	0.0356822903732754	-0.17714599420457	-0.142322346175741	-0.0618635604119476	-0.0992818108300223	-0.0268624745389309	-0.0475275850311146	-0.0468944555430595	-0.196636792489412	0.0852798373771578	-0.0566216457836112	0.0709358996220712	0.0218512195891761	0.0693736294388451	0.0592653756962848	-0.0184324232869397	-0.121661856822323	0.0470942867237831	0.114356457532181	0.093726546237732	-0.00389070982064749	0.016080547541982	0.141922397607166	0.13999296900167
