module	Module category
MetaB_M066	Miscellaneous
MetaB_M084	Benzenoids
MetaB_M133	Organoheterocyclic compounds
MetaB_M056	Lipids and lipid-like molecules
MetaB_M030	Miscellaneous
MetaB_M034	Lipids and lipid-like molecules
MetaB_M127	Lipids and lipid-like molecules
MetaB_M037	Lipids and lipid-like molecules
MetaB_M003	Lipids and lipid-like molecules
MetaB_M077	Phenylpropanoids and polyketides
MetaB_M105	Lipids and lipid-like molecules
MetaB_M117	Lipids and lipid-like molecules
MetaB_M100	Miscellaneous
MetaB_M031	Miscellaneous
MetaB_M128	Lipids and lipid-like molecules
MetaB_M085	Organic acids and derivatives
MetaB_M096	Phenylpropanoids and polyketides
MetaB_M014	Organoheterocyclic compounds
MetaB_M129	Miscellaneous
MetaB_M010	Organoheterocyclic compounds
