gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M077	0.23350327796434	-7.0082828429463e-18	7.58062162646945	1.52357320534534e-11	2.19394541569729e-09	15.9522072016997	8.65877418166393	up
MetaB_M003	0.229249548738075	3.2534738791945e-17	7.36910177549471	4.33011710532898e-11	3.11768431583686e-09	14.9397876797847	8.50616786183189	up
MetaB_M037	0.218472432526751	4.00113969734051e-17	6.85955151052514	5.17228438182703e-10	2.43893936110119e-08	12.5379455631501	7.61279899733552	up
MetaB_M034	0.216831351085557	-9.50194783966296e-18	6.78500166656258	7.39913982478035e-10	2.43893936110119e-08	12.1915421738589	7.61279899733552	up
MetaB_M127	0.216206656814694	1.25333771139324e-17	6.7568211814255	8.46853944826803e-10	2.43893936110119e-08	12.0609632015974	7.61279899733552	up
MetaB_M030	0.2151044201813	-1.97238059218563e-17	6.70735978908753	1.07275894119961e-09	2.57462145887906e-08	11.8322700532155	7.58928661532375	up
MetaB_M138	0.213651201072252	-5.17468012883882e-17	6.64265065813461	1.46031853914492e-09	2.95691781230315e-08	11.5340474749186	7.52916074654567	up
MetaB_M044	0.212005437258099	3.43692088677905e-17	6.57004345065428	2.06148086508917e-09	2.95691781230315e-08	11.2007713123045	7.52916074654567	up
MetaB_M062	0.211630893957184	-3.07956785072783e-17	6.55361803470133	2.22826993365386e-09	2.95691781230315e-08	11.1255783469568	7.52916074654567	up
MetaB_M056	0.211192110609536	7.14706072102445e-18	6.53442132850554	2.44015321027978e-09	2.95691781230315e-08	11.0377946234069	7.52916074654567	up
MetaB_M042	0.211118390336538	1.56949106489002e-17	6.53120091884521	2.47759779055815e-09	2.95691781230315e-08	11.0230783273369	7.52916074654567	up
MetaB_M027	0.210735787045804	5.01682029252493e-17	6.51450948319157	2.68095876711859e-09	2.95691781230315e-08	10.9468505773965	7.52916074654567	up
MetaB_M066	0.210137428099037	-1.30681056254023e-16	6.48848000892706	3.0314455707888e-09	2.95691781230315e-08	10.8281355698971	7.52916074654567	up
MetaB_M084	0.21002308193741	7.56339435525888e-18	6.48351607696189	3.10324798957914e-09	2.95691781230315e-08	10.8055181730595	7.52916074654567	up
MetaB_M133	0.209821111063196	2.0122792321331e-17	6.47475626130242	3.23407710820126e-09	2.95691781230315e-08	10.7656227460116	7.52916074654567	up
MetaB_M118	0.209743917585555	3.54230533794464e-17	6.47141095468732	3.28546423589239e-09	2.95691781230315e-08	10.7503928398313	7.52916074654567	up
MetaB_M016	0.207532906041245	-1.81972492629967e-17	6.3762204375455	5.13850191528876e-09	4.19995765976841e-08	10.3184021110167	7.37675508775011	up
MetaB_M113	0.207425806410302	-6.52646339749374e-17	6.37163991831844	5.24994707471051e-09	4.19995765976841e-08	10.297682886364	7.37675508775011	up
MetaB_M068	0.204953009053178	-1.49923476411296e-17	6.26664583099582	8.57073877602692e-09	6.39215413920832e-08	9.82451711555714	7.19435276107196	up
MetaB_M001	0.204565459673307	-6.4774574592974e-17	6.25032159758667	9.24667771079394e-09	6.39215413920832e-08	9.75125801886101	7.19435276107196	up
MetaB_M069	0.204524026528015	-9.0205620750794e-18	6.24857843504513	9.32189145301213e-09	6.39215413920832e-08	9.74344010955749	7.19435276107196	up
MetaB_M019	0.203579817819776	-5.79050696281058e-17	6.20896173850811	1.12035651079241e-08	7.31480110340732e-08	9.56602371278025	7.13579747826964	up
MetaB_M047	0.203363439610559	5.03763697423665e-17	6.19991195090499	1.16833628734978e-08	7.31480110340732e-08	9.5255663111875	7.13579747826964	up
MetaB_M093	0.20311109852205	-5.61356516826095e-17	6.18937158284947	1.22677597730761e-08	7.36065586384568e-08	9.47847850950746	7.13308348656487	up
MetaB_M115	0.201874916305834	1.54390389361936e-18	6.13794465733664	1.55586818451741e-08	8.83186396703081e-08	9.24925351373832	7.05394762879319	up
MetaB_M049	0.201746147025198	4.66683983124661e-17	6.13260746810024	1.59464210515834e-08	8.83186396703081e-08	9.22551379720846	7.05394762879319	up
MetaB_M050	0.201337506838184	-8.67361737988404e-17	6.11569480497719	1.72390574928432e-08	9.19416399618302e-08	9.15034891315751	7.03648775401162	up
MetaB_M025	0.20003291199506	4.07313072159354e-17	6.06194819164596	2.20710184831431e-08	1.13508095056164e-07	8.91211799375984	6.94497316478929	up
MetaB_M009	0.199709507627323	-2.01574867908505e-17	6.04868235869945	2.34555800698417e-08	1.14962384596073e-07	8.85346760908209	6.93944423646938	up
MetaB_M137	0.199598320438634	-3.76483783384729e-17	6.04412679233197	2.39504967908485e-08	1.14962384596073e-07	8.8333405537574	6.93944423646938	up
MetaB_M058	0.199276669521024	-9.77516678712931e-18	6.03096319476431	2.54390875873048e-08	1.18168664921674e-07	8.77522205922271	6.92749767113469	up
MetaB_M120	0.198969993128884	-2.07299455379228e-17	6.01843325658915	2.69404609292303e-08	1.21232074181536e-07	8.71995651469885	6.9163824643511	up
MetaB_M094	0.197113038297035	-1.9897278269454e-17	5.94299257823856	3.80072249928441e-08	1.65849709059683e-07	8.38836567514755	6.7802852860009	up
MetaB_M008	0.196720581025312	1.92185677094781e-17	5.92714182867204	4.08473246256198e-08	1.73000433708507e-07	8.31895028839538	6.76195280810256	up
MetaB_M121	0.195230081668376	3.98986399474666e-19	5.86723418969548	5.35938062544154e-08	2.20500231446738e-07	8.05740966332872	6.65659095034132	up
MetaB_M134	0.192420890012393	-3.33066907387547e-17	5.75555186536687	8.86235055810432e-08	3.54494022324173e-07	7.57334741806875	6.45039108373483	up
MetaB_M051	0.191665471316158	-1.00267016911459e-17	5.7257868750688	1.01260001285249e-07	3.94092977975023e-07	7.44512773530663	6.40440130340861	up
MetaB_M126	0.191213259296097	8.05779054591227e-18	5.70802209443809	1.0962796461143e-07	4.15432286948575e-07	7.3687631461217	6.38149975359124	up
MetaB_M028	0.190446984555345	-4.90579799006241e-17	5.6780098852897	1.25332607525607e-07	4.62766550863779e-07	7.24002761772693	6.33463803973817	up
MetaB_M092	0.189882228500598	-2.39478575858598e-17	5.65596253083603	1.38256084018385e-07	4.97721902466185e-07	7.1456799150885	6.30301324752017	up
MetaB_M018	0.188774617493375	1.85138362973625e-17	5.61289854678296	1.67380346878959e-07	5.87872437818784e-07	6.96194613583425	6.23071690106932	up
MetaB_M015	0.185823857453062	-2.07819872422021e-17	5.49928585388436	2.76221625607288e-07	9.47045573510702e-07	6.48078147346317	6.02362912147403	up
MetaB_M082	0.184797245140087	-2.40779618465581e-17	5.46012940277824	3.27892583566858e-07	1.09805888450297e-06	6.31617367425009	5.95937436978665	up
MetaB_M013	0.180027778407501	5.52509427098613e-18	5.2806326240245	7.13992388688084e-07	2.33670236297918e-06	5.56992654536498	5.63139660226236	up
MetaB_M144	0.179223372910111	2.17317483452995e-17	5.25074011331066	8.11735505299718e-07	2.5975536169591e-06	5.44701403736043	5.58543547926293	up
MetaB_M046	0.1779017659158	-4.74620343027254e-17	5.2018595198318	1.00040454563227e-06	3.13170118632711e-06	5.2468877481337	5.50421968317867	up
MetaB_M132	0.175428383494795	1.90819582357449e-19	5.11113830340523	1.47041748034934e-06	4.50510887596393e-06	4.87834193685953	5.34629470886717	up
MetaB_M004	0.171809178599317	-3.17801340798951e-17	4.98011577200248	2.54811400533905e-06	7.64434201601714e-06	4.35287387967278	5.11665989038389	up
MetaB_M081	0.171467309958624	-4.26741975090295e-18	4.96784256494663	2.68171770817661e-06	7.88096632607003e-06	4.30407306160634	5.10342052815132	up
MetaB_M065	0.170506250944618	-2.05304523381855e-17	4.93343357583903	3.09368448671962e-06	8.90981132175251e-06	4.16764705805222	5.05013149268471	up
MetaB_M071	0.170202626699611	3.10688974547446e-17	4.92259129456721	3.23580857788919e-06	9.13640069051064e-06	4.1247793648507	5.03922486204681	up
MetaB_M036	0.169438752350027	2.75170511376821e-17	4.89537356846515	3.6211514655881e-06	1.00278040585517e-05	4.01742272461884	4.99879416066527	up
MetaB_M074	0.168791749032725	-9.18015663486926e-17	4.87238663203059	3.98105126679373e-06	1.06420239538968e-05	3.92704016558665	4.97297576786633	up
MetaB_M140	0.168775073780363	3.20967211142609e-17	4.8717949902754	3.99075898271132e-06	1.06420239538968e-05	3.92471736113327	4.97297576786633	up
MetaB_M114	0.168403851112949	1.40230708989275e-17	4.85863431263578	4.21274772307109e-06	1.10297394931316e-05	3.87309339450587	4.95743474486094	up
MetaB_M089	0.167639576509356	1.07032438467769e-17	4.83160135756046	4.70700702796056e-06	1.21037323576129e-05	3.76732699438459	4.91708068816539	up
MetaB_M063	0.166689781458507	-3.34021005299334e-17	4.79812224808778	5.39763158692276e-06	1.36361219038049e-05	3.63685228326677	4.86530912493265	up
MetaB_M131	0.165731896734241	3.87363752185621e-17	4.76448655129276	6.19019261591841e-06	1.53687540809009e-05	3.50634316578935	4.81336133859797	up
MetaB_M141	0.165260307906878	1.10154940724527e-18	4.747973873532	6.61953882631377e-06	1.61561625591387e-05	3.4424855682708	4.79166178572105	up
MetaB_M038	0.162758656561919	3.37056771382294e-17	4.6608881643394	9.40723087350709e-06	2.2577354096417e-05	3.1080576238936	4.64632695561992	up
MetaB_M123	0.162209839674503	4.29777741173254e-17	4.64189615312596	1.01515475098254e-05	2.37015149271234e-05	3.03565454928011	4.62522389435009	up
MetaB_M090	0.162172027013239	-5.30478438953708e-17	4.64058911005678	1.02048189269559e-05	2.37015149271234e-05	3.03067877310804	4.62522389435009	up
MetaB_M043	0.158824839129128	-3.92914867308747e-17	4.52563193752099	1.61160233380943e-05	3.6836624772787e-05	2.59664472496225	4.43372016972674	up
MetaB_M143	0.158123417597285	-3.6576644490971e-17	4.50172502123158	1.77076170026364e-05	3.9842138255932e-05	2.50728571817307	4.3996573618188	up
MetaB_M080	0.15747922150789	5.55111512312578e-19	4.47982331975777	1.92982854911078e-05	4.27531247803004e-05	2.42569893903995	4.36903213765518	up
MetaB_M052	0.154101084542496	-3.20056481317721e-17	4.36581358261761	3.00762022491448e-05	6.5620804907225e-05	2.00533736280612	4.18295844684509	up
MetaB_M022	0.153265078506421	-2.84494650060196e-17	4.33781287712665	3.35036139399537e-05	7.20077672739303e-05	1.90322627298684	4.14262065492613	up
MetaB_M045	0.149891609377209	1.10935566288717e-17	4.22565931280177	5.14003511724477e-05	0.00010884780248283	1.49879284530602	3.96318033446133	up
MetaB_M091	0.148857693175632	1.32446137390829e-17	4.19154831218059	5.84659497306713e-05	0.000122015895090097	1.37725474837612	3.91358358981492	up
MetaB_M023	0.141972468345565	5.03416752728469e-17	3.96738689045848	0.000134086194705697	0.00027583445768029	0.596120396529011	3.55935148201202	up
MetaB_M099	0.13997566952744	2.22087973011931e-17	3.90331283508748	0.000169083759641792	0.000342930442090396	0.378585593725553	3.46479396065627	up
MetaB_M104	0.13848758117379	-2.68882138776405e-17	3.85582447274647	0.000200478060397265	0.000400956120794529	0.219050480578833	3.39690315241599	up
MetaB_M002	0.137680294513877	2.05391259555654e-17	3.83015404587965	0.00021968760077434	0.000428561590764747	0.133417168292731	3.36798675458771	up
MetaB_M059	0.137658339964968	-5.40366362766775e-18	3.82945682122751	0.00022023303969855	0.000428561590764747	0.131097273295746	3.36798675458771	up
MetaB_M024	0.133774732454549	-3.28643362523806e-17	3.70685387428023	0.000339047458117189	0.000650971119585003	-0.271889468543861	3.18643827853333	up
MetaB_M108	0.129135305743824	-2.05412943599104e-17	3.5622306119663	0.000557323276562126	0.00105598094506508	-0.734345353583763	2.97634391847621	up
MetaB_M130	0.126511678977094	1.19002030452009e-17	3.48129193505422	0.000731816847960852	0.00136859254683588	-0.986910621155489	2.86372582944044	up
MetaB_M040	0.123760268406466	-5.8785441792164e-18	3.39704138280642	0.000967371890440389	0.00176331078763818	-1.24494545386225	2.75367113553907	up
MetaB_M020	0.122723252535342	-8.6389229103645e-17	3.3654500535518	0.00107280081729311	0.0019310414711276	-1.34040440412149	2.71420839919395	up
MetaB_M124	0.12054399154471	9.33714910944516e-18	3.29934531172347	0.00132924051959382	0.00236309425705568	-1.53783747263189	2.62651895526025	up
MetaB_M103	0.116173287130862	1.44675937896466e-17	3.16788823654026	0.00201816801103456	0.00350139992275875	-1.92101223129224	2.45575828217184	up
MetaB_M039	0.114702773678661	-3.18148285494146e-17	3.12398518304255	0.00231417792439808	0.00392048966015674	-2.04613999745149	2.40665968720828	up
MetaB_M086	0.113704008150151	-4.77352532501918e-17	3.09425717491343	0.00253700215640772	0.0042480036107292	-2.13004935892104	2.37181512278367	up
MetaB_M073	0.112188625622086	4.861996222294e-17	3.04928998250209	0.00291212919160411	0.00482007590334474	-2.2557078943941	2.31694612272708	up
MetaB_M057	0.0996878707205841	-7.71431529766886e-17	2.68428729387041	0.00846428920340146	0.0136950297223574	-3.21790412214151	1.86343702085859	up
MetaB_M072	0.0982933897164742	-4.28476698566271e-17	2.64418475422038	0.00946198912607206	0.0151391826017153	-3.31718826390475	1.8198975727321	up
MetaB_M083	0.0920319831462903	-9.15066633577766e-19	2.46550594163969	0.0153246833250492	0.0239864608565987	-3.74359873466203	1.62003382638969	up
MetaB_M060	0.0894810663248449	3.84241249928863e-17	2.39333215697769	0.0184959001071633	0.0283297964047636	-3.90834282447613	1.547756546574	up
MetaB_M035	0.0893377084651192	2.51881848711832e-17	2.38928631541287	0.0186897962392538	0.0283297964047636	-3.91744863551516	1.547756546574	up
MetaB_M110	0.0891916512410525	-2.66410157823138e-17	2.38516539610453	0.0188891429165217	0.0283337143747825	-3.92670926350917	1.54769648842586	up
MetaB_M012	0.0879485716283149	1.00700697780454e-17	2.35013738724501	0.0206611857032024	0.0306722756831046	-4.00484702104284	1.51325400099989	up
MetaB_M112	0.0875264996812397	2.24820162486594e-17	2.33826212919173	0.0212944892155339	0.030973802495322	-4.03110209844975	1.50900547525786	up
MetaB_M097	0.0831064558671828	1.421172207694e-17	2.21443549823452	0.0289897783664253	0.0405293988812159	-4.29771695886826	1.39222983752421	up
MetaB_M102	0.0808297743722067	2.57086019139763e-17	2.1510221645318	0.0337992410109006	0.0463532448149493	-4.42915456631368	1.33391985901889	up
MetaB_M029	0.0744739445026574	-1.64625257870199e-17	1.97522926159666	0.0509026983313414	0.0685045659786277	-4.77518422179166	1.16428048086909	none
