module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
MetaB_M067	-0.15790682188292	3.93868965220534e-17	-3.24281534290812	0.00118916729632008	0.0059048307127618	-1.22122704816665	-2.22879254878159	down	0.172523698781184	0.142339309349318	0.267195565234452	0.187288086006716	0.182945956113026	0.169499530123462	0.21837856506646	0.200838596939858	0.167484375112573	0.19264393576573	-0.0077620895370817	-0.156953820103338	-0.146737177037584	-0.116018372992772	-0.0494530895928931	-0.0786943735728052	-0.313874899025657	-0.245656367181458	-0.00734488244895579	-0.140759503570818	0.0182573844790892	-0.0555421197600392	0.0657137209729163	0.189944768918582	0.106261192259397	-0.182541476468052	-0.107408388720551	0.0952272211188954	-0.13639137978162	0.0687166924513661	-0.123256909923235	0.113648634348514	0.107032691880715	0.00415590964310346	-0.168818199556257	-0.19630897122285	-0.147628143641736	-0.104348834364172	-0.0218026082152298	-0.155086146686654	0.00897845354473699	0.0448042500004766	0.00138209006001973	0.21254086787736	-0.0520634182552386	-0.0733625949293673	-0.0438327667154273	0.0562103801330016	-0.00616204727639043	-0.156203295600768
MetaB_M041	-0.166985982283033	-4.6074255521944e-17	-3.4292673295616	0.000608748905831847	0.00386178038081451	-0.619437481100705	-2.41321242815177	down	0.158831123837369	0.136347249965865	0.193629358513394	0.111826452440185	0.151352578619755	0.134757249733939	0.169306526242921	0.191769100873927	0.123880034459071	0.154084042518848	-0.121420886784402	-0.22005122553821	-0.0697127142366328	-0.279842683409552	-0.140058826785709	-0.208414687667378	-0.0980650686856133	-0.163837791278427	-0.0161368701445728	-0.0183471037337658	-0.01732904925164	0.146740228106458	-0.220872099522506	0.0138197174644441	-0.0472278013024309	-0.17056750647582	-0.294373356023473	-0.100674947764781	-0.135026619333097	-0.101913219446681	-0.0657929849306088	0.0247005627164087	-0.0778076255250517	0.0843234980562718	-0.19085583916191	0.132786388153935	-0.0564733612797201	0.0599218334849767	0.0532649513353541	0.21107698038331	0.0450013946968699	0.113976148865868	0.100898536424255	-0.11558861910639	0.0949694463977247	0.146700384323255	-0.0816914938634527	-0.0412243535335605	0.287503165453567	0.011839781717411
MetaB_M128	-0.209902255888619	-8.02136135291676e-17	-4.31060702628367	1.65066485559674e-05	0.000264106376895478	2.68040692609246	-3.57822111254891	down	0.226159744308375	0.183495318875632	0.307389172485703	0.199390396601767	0.223625536632213	0.207363436287155	0.241937155321978	0.269701980034986	0.194160435032822	0.234043659670526	-0.211989501434532	-0.158300811961407	-0.150578003930297	-0.0972501319073837	-0.19618792735523	-0.180184358671829	-0.14888030677758	-0.205477976281008	-0.133576048520481	-0.196792980269209	-0.138157235262147	-0.108775743535198	-0.0900399985436399	-0.101152115160172	-0.0717778113293797	-0.0477850090620629	-0.116488695172008	-0.153969953725994	-0.0383245163773866	-0.130107670265999	-0.0341630662161159	-0.0284614416318513	-0.00288096000713196	0.0136905115458222	-0.0145227553928925	-0.0650494686543192	0.00692932533693224	-0.0412176083191466	0.00842975682995047	-0.0502101130004278	0.0261269987038416	0.0288352100513366	0.0393211180445843	0.109744053454428	0.0841433126332566	0.0867330145113762	0.0712075635476023	0.100783895385929	0.0429505057038461	0.00614010776476238
MetaB_M033	-0.134979874628952	-2.33753988387875e-17	-2.771981623157	0.00558652963920554	0.0211700070538315	-2.59117715458759	-1.67427899727395	down	0.177249085142564	0.154687974189094	0.259990512643788	0.133388683391019	0.0711612740728993	0.167466471564701	0.186090488853406	0.197781090362367	0.132508117958509	0.102149796837985	0.0432795027046249	-0.160975089038723	-0.104097674889687	-0.103816421272994	-0.185439892726586	-0.218857544415407	-0.031224952737792	-0.133133145652028	0.00326822708934847	-0.188842006092375	-0.185847968603569	0.0655703155327904	-0.0660871714809373	0.0475027922501324	-0.028536014568377	-0.146866506370874	-0.180184386234897	-0.234485150733778	0.0766839437620141	-0.189374366214377	-0.186294540080207	-0.0175059237973522	-0.128455443302405	0.0713920139026065	-0.0923562223379876	-0.141204828554787	-0.122188725110277	-0.070796692913602	0.278096970148199	0.14526359297024	-0.00336274696131821	0.0354096739440174	-0.0459137301282702	0.0265083639920653	0.0229112358376342	-0.0976293901976842	0.0781851760504486	0.152638946531714	0.219495792469959	0.214796492214164
MetaB_M142	-0.234893776576913	3.77586959095233e-17	-4.82383936016404	1.43837269660883e-06	4.14251336623342e-05	4.94824718503379	-4.38273608161181	down	0.167998586751882	0.1474941322089	0.288410268533427	0.131769891853028	0.160250023867036	0.164088206918549	0.19683053898741	0.217297568842748	0.141345331548361	0.165916100931199	-0.267604509035433	-0.143600150838297	-0.136295026709255	-0.240554440916529	-0.209829374877393	-0.163955531311742	-0.171421757474584	-0.212344988207153	-0.23105758855899	-0.102486844685925	-0.0470939055645939	-0.0689273443583577	-0.13555886208775	-0.183342163262418	-0.131728191037648	-0.106384356356266	-0.0746663333638754	-0.129956912859226	-0.102024162390547	-0.0710185375299603	0.0688855621467214	-0.00346030102418365	-0.0799399026260657	0.0256123752094657	0.00870203886293517	0.076966116814128	0.0942141029250965	0.0585548904947596	-0.0127144970718043	0.0315176417816662	0.112907771458751	0.0852098749988967	0.0350675959390001	0.136348877464698	0.151515746675767	0.204691439553222	-0.0516361030028508	6.3355625518985e-05	0.109549587007002	0.0963941577506813
MetaB_M122	-0.173703635820778	-2.17837900495788e-17	-3.56722280039422	0.000363227327555654	0.00290581862044524	-0.15252511767907	-2.53673149760791	down	0.196474748919464	0.176387275470064	0.289029123703321	0.169856638135638	0.160313190498612	0.18957567205905	0.221308393940204	0.23629804792871	0.171167175974116	0.174285311878462	-0.0890106375780726	-0.150225768715669	-0.173057889695168	-0.19406322906517	-0.0191508666170135	-0.151484186364676	-0.163877773188692	-0.211579220816119	-0.208522012201828	-0.0286575023238153	-0.161474783198864	-0.162862891925001	-0.155393970825095	-0.113108746103957	-0.216523866272683	-0.0905806300161013	0.0393159207310971	-0.0975045577847367	-0.087005871798429	-0.0077070560558535	-0.0337774498205351	-0.0079860981253266	-0.0604835365162935	-0.0779410292922326	0.165906275190261	0.0726093621529141	0.182036965351856	0.0466536301103869	-0.058282094994147	0.123629568089844	0.00127742355658081	-0.048231790991405	-0.0704082224424446	0.0180582968525008	0.0307076861382761	0.212473357048221	-0.042319270727775	-0.0892773030915328	-0.0665562181706278	0.159690410989684
MetaB_M110	-0.155088281189907	-2.66410157823138e-17	-3.1849330621116	0.00145430575360161	0.00675548479092362	-1.40120558849741	-2.17034347943717	down	-0.00332773395798262	0.000216662618817382	0.0727970121332067	-0.00760660316475425	0.0207183688924526	0.0088198471414214	0.0309104412647502	0.031132677276242	-0.00175801151550999	0.0185037739379854	-0.155152365294022	-0.0870101813839921	-0.0659592475575206	-0.382975527601222	-0.133122802473158	0.0472523698695874	-0.256810141464584	-0.0826112390255417	-0.18066657888565	0.0563494642968439	0.0920303776297292	0.0782259235820232	-0.107892978335373	-0.20573789875645	-0.180911399150203	0.104727574419541	0.0373619984290415	-0.0202856670561694	-0.243620709228629	0.00819542048239041	0.12458762231737	-0.0215248899697898	-0.0198311349539623	-0.102172167606308	-0.136962715699721	0.157860805075834	0.165080218033512	0.131551395079273	0.0130531597811172	0.148645951263579	0.198915041518182	0.081253183579874	-0.108589875542363	0.235585456840838	0.209938509831259	0.370949307218533	-0.199272191999277	-0.00465404216970614	0.141393941267823	0.122399599010661
MetaB_M085	-0.162922155499368	4.17255206081046e-18	-3.34581153146593	0.000824794575886877	0.00439890440473001	-0.892956222668941	-2.3566554758384	down	0.227218345690722	0.222267613745713	0.303512706179158	0.200278827196001	0.219929693020519	0.228269606411278	0.250173062339632	0.259917432444939	0.20989487734921	0.232798186807968	-0.111595746367125	-0.167086476744396	-0.0903388524226944	-0.286718857286722	-0.0910046600692891	-0.0574433057928285	-0.20906100483035	-0.185177214924112	-0.00560054147287471	-0.0993505840845501	0.0289531064022243	-0.016199550668536	-0.00517691671630345	-0.0821666637918263	0.00587074797810923	-0.214010014917755	-0.0942551988954344	0.0284846140633854	-0.234285101985595	-0.0434429420770073	-0.0956761395877111	-0.034199697271373	-0.0135421826555046	-0.00842226019197783	-0.159056468978029	-0.0268615196444172	-0.0797484164951414	-0.0135107397733299	-0.00471398215296464	-0.0183527801072521	0.000198038880145357	0.00384263349807328	-0.0340720267563269	-0.0479647460484592	-0.0517869491746316	0.0771197992985698	0.00714872617118109	0.100924454881091	0.0901605245537225	-0.116141455027124
MetaB_M060	-0.241164395962883	3.84241249928863e-17	-4.95261442201311	7.49606034127761e-07	4.14251336623342e-05	5.55726407742585	-4.38273608161181	down	0.0659780161942733	0.0503986502047056	0.173307708582283	0.0756670807496708	0.0580982298402999	0.0682822950504586	0.130060900278476	0.118808267785134	0.0586953848551358	0.0562458382644925	-0.188504338031399	-0.162583911565028	-0.135513514800732	-0.315224122940823	-0.213409782669204	-0.281218805654729	-0.183010313081225	-0.358832198688948	-0.0522025650686879	-0.0388156152022917	0.0931466734159952	0.0420542391009933	-0.0919617941601701	-0.064447521717097	-0.111225721477772	-0.156702244377141	-0.113085955233138	-0.0766395117844754	-0.173774921670295	-0.0229375681693374	0.0880991098472194	0.0680152448195854	-0.00948710437844575	0.0635551193364579	0.0456948127745382	0.0729050342039036	0.122994515343898	0.0264415547979923	-0.0100045611496177	0.142818129271657	0.1141767751646	0.147597489465381	0.101070920621747	0.042563883140288	0.193950437503107	0.303353241273191	-0.093011293811661	0.0063556134330502	0.291782659572076	0.0304755407416099
MetaB_M055	-0.20154776951547	-4.87804241444678e-17	-4.13903713291293	3.52910259364837e-05	0.000508190773485365	1.97912003405448	-3.29397322409629	down	0.128581546779522	0.091761471588944	0.207073681382663	0.0860694603364537	0.11537844385776	0.117212249132311	0.140776895307782	0.160084468778263	0.090287953176553	0.124791814611339	-0.20015759902099	-0.106011034764223	-0.0714173129885328	-0.354187103464703	-0.175610135290513	-0.174385736742299	-0.145233850657052	-0.188918515605536	-0.218118312818943	0.0216574452290299	0.0723853016670873	-0.0215931756851027	-0.166886103969515	-0.177635698381328	-0.173389459225221	0.0970252296370882	-0.100641692268315	-0.111435134781089	-0.166761872255809	-0.0368676527806041	0.0551587647933879	-0.0574184315477542	-0.0900850471044152	-0.0488189881666451	-0.0916494781901043	0.233929974490838	0.11179428730121	0.181709822800161	-0.0302072638045591	0.0761312965958422	0.159906367252626	0.0517826796012264	-0.0671385092384685	0.113693775565214	0.166772818924883	0.25393065003838	-0.105451499183432	-0.059062607126988	0.140960011215184	0.140225804998391
