sample	group
fam01	Human
fam02	Human
fam03	Human
fam04	Human
fam05	Human
fam06	Human
fam07	Human
fam08	Human
fam09	Human
fam10	Human
hos01	Human
hos02	Human
hos03	Human
hos04	Human
hos05	Human
hos06	Human
hos07	Human
hos08	Human
hos09	Human
hos10	Human
lab01	Other
lab02	Other
lab03	Other
lab04	Other
lab05	Other
lab06	Other
lab07	Other
lab08	Other
lab09	Other
lab10	Other
res01	Human
res02	Human
res03	Human
res04	Human
res05	Human
res06	Human
res07	Human
res08	Human
res09	Human
res10	Human
wild01	Other
wild02	Other
wild03	Other
wild04	Other
wild05	Other
wild06	Other
wild07	Other
wild08	Other
wild09	Other
wild10	Other
