sample	group
fam01	Fam
fam02	Fam
fam03	Fam
fam04	Fam
fam05	Fam
fam06	Fam
fam07	Fam
fam08	Fam
fam09	Fam
fam10	Fam
hos01	Hos
hos02	Hos
hos03	Hos
hos04	Hos
hos05	Hos
hos06	Hos
hos07	Hos
hos08	Hos
hos09	Hos
hos10	Hos
lab01	Lab
lab02	Lab
lab03	Lab
lab04	Lab
lab05	Lab
lab06	Lab
lab07	Lab
lab08	Lab
lab09	Lab
lab10	Lab
res01	Res
res02	Res
res03	Res
res04	Res
res05	Res
res06	Res
res07	Res
res08	Res
res09	Res
res10	Res
wild01	Wild
wild02	Wild
wild03	Wild
wild04	Wild
wild05	Wild
wild06	Wild
wild07	Wild
wild08	Wild
wild09	Wild
wild10	Wild
