metabolome_name	module	module_ID
neg_2208	MElightgoldenrod1	MetaB_M072
neg_22468	MEpink1	MetaB_M110
neg_23480	MElightseagreen	MetaB_M077
neg_4949	MEpink1	MetaB_M110
neg_17905	MEwheat3	MetaB_M142
neg_20252	MEyellow	MetaB_M144
neg_23059	MElightseagreen	MetaB_M077
neg_2465	MEdarkorchid3	MetaB_M042
neg_11502	MEslateblue2	MetaB_M128
neg_15318	MElightseagreen	MetaB_M077
neg_15664	MEslateblue2	MetaB_M128
neg_17583	MElightseagreen	MetaB_M077
neg_22513	MEseashell3	MetaB_M123
neg_19570	MElightcyan	MetaB_M070
neg_21498	MEforestgreen	MetaB_M050
neg_22048	MEblanchedalmond	MetaB_M009
neg_24405	MEwhitesmoke	MetaB_M143
neg_2647	MElightseagreen	MetaB_M077
neg_4493	MEaquamarine1	MetaB_M004
neg_6925	MEyellow	MetaB_M144
neg_8293	MElightseagreen	MetaB_M077
neg_15291	MEsienna3	MetaB_M126
neg_24515	MEdarkorchid3	MetaB_M042
pos_25605	MElightseagreen	MetaB_M077
neg_1118	MEindianred1	MetaB_M057
neg_20380	MEsienna2	MetaB_M125
pos_22704	MEyellow	MetaB_M144
neg_1814	MElightseagreen	MetaB_M077
neg_6549	MEdarkolivegreen2	MetaB_M037
neg_6978	MEolivedrab	MetaB_M095
neg_12973	MEslateblue1	MetaB_M127
neg_20974	MEslateblue2	MetaB_M128
neg_4166	MEwhitesmoke	MetaB_M143
neg_11633	MElightgoldenrod2	MetaB_M073
neg_12538	MElightseagreen	MetaB_M077
neg_13532	MElightseagreen	MetaB_M077
neg_14124	MEslateblue2	MetaB_M128
neg_16235	MEpeachpuff	MetaB_M106
neg_19404	MElightseagreen	MetaB_M077
neg_21029	MEdarkolivegreen2	MetaB_M037
pos_22353	MElightseagreen	MetaB_M077
neg_3915	MElavenderblush2	MetaB_M064
neg_14290	MEsienna3	MetaB_M126
neg_15613	MEdarkolivegreen2	MetaB_M037
pos_24222	MElightseagreen	MetaB_M077
pos_25473	MEdarkorchid	MetaB_M039
neg_16624	MEslateblue1	MetaB_M127
neg_21265	MEwheat3	MetaB_M142
neg_21822	MEburlywood	MetaB_M016
neg_22827	MElightseagreen	MetaB_M077
