module_ID	module
MetaB_M001	MEantiquewhite1
MetaB_M002	MEantiquewhite3
MetaB_M003	MEaquamarine
MetaB_M004	MEaquamarine1
MetaB_M005	MEaquamarine2
MetaB_M006	MEaquamarine3
MetaB_M007	MEaquamarine4
MetaB_M008	MEbisque1
MetaB_M009	MEblanchedalmond
MetaB_M010	MEblue1
MetaB_M011	MEblue2
MetaB_M012	MEblue4
MetaB_M013	MEbrown1
MetaB_M014	MEbrown2
MetaB_M015	MEbrown4
MetaB_M016	MEburlywood
MetaB_M017	MEburlywood1
MetaB_M018	MEburlywood4
MetaB_M019	MEcadetblue
MetaB_M020	MEchartreuse1
MetaB_M021	MEchartreuse3
MetaB_M022	MEchartreuse4
MetaB_M023	MEchocolate1
MetaB_M024	MEchocolate2
MetaB_M025	MEcoral3
MetaB_M026	MEcornsilk2
MetaB_M027	MEcyan2
MetaB_M028	MEcyan3
MetaB_M029	MEcyan4
MetaB_M030	MEdarkblue
MetaB_M031	MEdarkcyan
MetaB_M032	MEdarkgoldenrod2
MetaB_M033	MEdarkgoldenrod4
MetaB_M034	MEdarkgreen
MetaB_M035	MEdarkkhaki
MetaB_M036	MEdarkolivegreen1
MetaB_M037	MEdarkolivegreen2
MetaB_M038	MEdarkolivegreen4
MetaB_M039	MEdarkorchid
MetaB_M040	MEdarkorchid1
MetaB_M041	MEdarkorchid2
MetaB_M042	MEdarkorchid3
MetaB_M043	MEdarksalmon
MetaB_M044	MEdarkseagreen3
MetaB_M045	MEdarkslateblue
MetaB_M046	MEdeeppink1
MetaB_M047	MEdeepskyblue2
MetaB_M048	MEdodgerblue1
MetaB_M049	MEfloralwhite
MetaB_M050	MEforestgreen
MetaB_M051	MEgainsboro
MetaB_M052	MEgoldenrod
MetaB_M053	MEgoldenrod1
MetaB_M054	MEgoldenrod2
MetaB_M055	MEhoneydew1
MetaB_M056	MEhotpink1
MetaB_M057	MEindianred1
MetaB_M058	MEindianred2
MetaB_M059	MEivory4
MetaB_M060	MEkhaki
MetaB_M061	MEkhaki1
MetaB_M062	MEkhaki3
MetaB_M063	MEkhaki4
MetaB_M064	MElavenderblush2
MetaB_M065	MElavenderblush3
MetaB_M066	MElemonchiffon1
MetaB_M067	MElightblue1
MetaB_M068	MElightblue3
MetaB_M069	MElightblue4
MetaB_M070	MElightcyan
MetaB_M071	MElightgoldenrod
MetaB_M072	MElightgoldenrod1
MetaB_M073	MElightgoldenrod2
MetaB_M074	MElightgoldenrod3
MetaB_M075	MElightpink2
MetaB_M076	MElightpink3
MetaB_M077	MElightseagreen
MetaB_M078	MElightskyblue
MetaB_M079	MElightskyblue2
MetaB_M080	MElightyellow1
MetaB_M081	MElightyellow2
MetaB_M082	MElinen
MetaB_M083	MEmagenta3
MetaB_M084	MEmediumaquamarine
MetaB_M085	MEmediumblue
MetaB_M086	MEmediumorchid1
MetaB_M087	MEmediumorchid3
MetaB_M088	MEmediumpurple3
MetaB_M089	MEmediumturquoise
MetaB_M090	MEmediumvioletred
MetaB_M091	MEmistyrose3
MetaB_M092	MEnavajowhite
MetaB_M093	MEnavajowhite1
MetaB_M094	MEnavajowhite3
MetaB_M095	MEolivedrab
MetaB_M096	MEolivedrab3
MetaB_M097	MEolivedrab4
MetaB_M098	MEorange3
MetaB_M099	MEorangered4
MetaB_M100	MEorchid
MetaB_M101	MEorchid1
MetaB_M102	MEorchid3
MetaB_M103	MEpalegreen1
MetaB_M104	MEpalegreen3
MetaB_M105	MEpalevioletred
MetaB_M106	MEpeachpuff
MetaB_M107	MEpeachpuff3
MetaB_M108	MEpeachpuff4
MetaB_M109	MEpink
MetaB_M110	MEpink1
MetaB_M111	MEpink2
MetaB_M112	MEpowderblue
MetaB_M113	MEpurple2
MetaB_M114	MEred2
MetaB_M115	MEred3
MetaB_M116	MEred4
MetaB_M117	MEroyalblue
MetaB_M118	MEroyalblue1
MetaB_M119	MEroyalblue3
MetaB_M120	MEroyalblue4
MetaB_M121	MEsaddlebrown
MetaB_M122	MEseagreen4
MetaB_M123	MEseashell3
MetaB_M124	MEsienna
MetaB_M125	MEsienna2
MetaB_M126	MEsienna3
MetaB_M127	MEslateblue1
MetaB_M128	MEslateblue2
MetaB_M129	MEsnow4
MetaB_M130	MEspringgreen1
MetaB_M131	MEsteelblue1
MetaB_M132	MEtan1
MetaB_M133	MEtan4
MetaB_M134	MEthistle3
MetaB_M135	MEturquoise1
MetaB_M136	MEturquoise2
MetaB_M137	MEturquoise4
MetaB_M138	MEvioletred1
MetaB_M139	MEvioletred2
MetaB_M140	MEvioletred3
MetaB_M141	MEvioletred4
MetaB_M142	MEwheat3
MetaB_M143	MEwhitesmoke
MetaB_M144	MEyellow
