contract	X	number	group
Wild_vs_Lab_up	Wild_vs_Lab	46	Wild
Wild_vs_Human_up	Wild_vs_Human	41	Wild
Wild_intersection_up	Wild_intersection	39	Wild
Wild_vs_Lab_down	Wild_vs_Lab	-69	Wild
Wild_vs_Human_down	Wild_vs_Human	-89	Wild
Wild_intersection_down	Wild_intersection	-68	Wild
Lab_vs_Wild_up	Lab_vs_Wild	68	Lab
Lab_vs_Human_up	Lab_vs_Human	0	Lab
Lab_intersection_up	Lab_intersection	0	Lab
Lab_vs_Wild_down	Lab_vs_Wild	-47	Lab
Lab_vs_Human_down	Lab_vs_Human	-88	Lab
Lab_intersection_down	Lab_intersection	-34	Lab
Human_vs_Lab_up	Human_vs_Lab	89	Human
Human_vs_Wild_up	Human_vs_Wild	89	Human
Human_intersection_up	Human_intersection	53	Human
Human_vs_Lab_down	Human_vs_Lab	-40	Human
Human_vs_Wild_down	Human_vs_Wild	0	Human
Human_intersection_down	Human_intersection	0	Human
