module	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
MEaliceblue	-0.238743611721771	-0.265069192512065	-0.182588333772905	-0.25780590168663	-0.23717788863014	-0.241755958972179	-0.230548808971826	-0.229808054424201	-0.271535741220731	-0.23495815545526	-0.0263485397651701	0.0283372187105725	0.0286918258162253	-0.0794538137609	-0.0462988041831699	0.0611599981880973	-0.0964985850935912	-0.0431266738898493	-0.0662503031863477	0.0239663617080151	0.122992664910354	-0.0689506725908139	0.00976737263316965	-0.00171065245195697	0.0160980574807159	0.12739693172145	0.0944757761604774	-0.0113802657600338	0.041581916218142	0.0445448849936111	0.121809315585844	0.0751882807901181	0.0622385804714633	0.0497220709568992	0.134151951246027	0.0348155558220916	0.143074218217266	0.0183578992337799	0.107064370876228	0.0347110836381614	0.20098223159692	0.156366070413169	0.124228020641184	0.299669927131715	0.187352575509317	0.178631564404664	0.0379624987236334	0.115154718195637	0.0528764814611869	0.0966395345934057
MEantiquewhite	-0.20213396050077	-0.231787284572725	-0.262035070777798	-0.0884308330959051	-0.0768500758992785	-0.230955191142813	-0.108794088296016	-0.24098188684277	-0.132486402049561	-0.0979494007982851	0.0447005512746577	0.121653159833894	0.180754761337598	-0.106439276735112	-0.185299334426599	0.0977389475278994	-0.0208738106302276	0.013713724136773	-0.28867705459607	0.0221587344505913	0.182740198515859	-0.0882109034064226	0.170577335270348	-0.111420058125991	-0.14440763180769	0.382175068255881	0.111677901406792	-0.0411530846715832	0.139026438156985	-0.0298903387794179	-0.0433405949030867	0.0277724758465571	-0.0741582190759171	0.0612103745394365	0.0459891681398601	0.0786067999294319	0.0728501445528029	0.0759378692543572	0.0366847121393929	-0.00259122491722883	0.0914935912913015	0.0515375733570443	-0.055756101592922	0.259824848753199	0.101515190295429	0.132480170458734	0.0748092782010621	0.0777111649022598	-0.00458027387422808	0.21386191969027
MEantiquewhite1	-0.247794762295009	-0.266983760042644	-0.164789466232491	-0.272069628431139	-0.255700854359169	-0.259960817292024	-0.223992748178181	-0.204984220961098	-0.276394874965765	-0.291785309435798	-0.0192486627296166	0.0273082933078042	0.0720066886992103	-0.0617486339369353	0.00864348926533213	-0.0205215159074544	0.0451407835770808	-0.0135533314075303	-0.0856896129730701	0.0573334282188164	0.0626138262778624	-0.0284619665278441	0.152570231243314	0.00996951124753669	0.108177952185277	0.24961414844434	-0.0260443555363813	0.0340037109730318	0.187443222864471	0.0387817098497151	0.0823259063529097	0.113452354592062	0.054931020591654	0.188778101503531	-0.0369348979815154	0.011995584399848	0.0022190387213206	0.0263400607641331	0.0937159014107567	0.0715307377229978	0.130400898723936	0.132223674383401	0.0936417713859572	0.200637783238452	0.153596738608524	0.111014607384017	-0.0138222040794983	0.0968137837781342	0.0653181673624824	0.0879384961952521
MEantiquewhite2	-0.260454228407147	-0.264154756249737	-0.198162028292648	-0.249408679287445	-0.223434891252742	-0.25423709926775	-0.238780980613958	-0.237288558811562	-0.283205815957364	-0.233621775633806	-0.0847499433329612	0.041911553983231	0.0408501422629981	-0.0848829304452088	-0.0516379194784542	0.0589629606790026	-0.0575741845454652	-0.00795531316630914	-0.0821451872634725	0.0942869933219636	0.0953496623842972	0.0420625309962688	0.0141466683535711	-0.0589025390424954	0.0119039657368828	0.102054008797825	0.0848941453762802	0.0340602804928742	-0.00871323888851524	0.0593767351368133	0.136460008340674	0.0516698860306032	0.0405656933971314	0.0637958861979149	0.0700009189874114	0.165400567895218	0.135342836796792	0.144491180342008	0.0285597891549569	0.0883180955887399	0.166016241712738	0.136168958747935	0.0722902246449188	0.228657048542945	0.204085424857628	0.208516300369358	0.00755155418176455	0.0550119555914752	0.0990849186804689	0.0974629323543496
MEantiquewhite3	-0.0701925408529721	-0.0671042676246347	0.0732519208852243	-0.131261899136988	-0.125547256929046	-0.122890582209135	-0.0549078370249495	-0.0349254331792365	-0.0865890940269018	-0.0952189259487525	-0.0304430949708682	-0.0170639502529976	-0.207094816234414	0.0994121283954065	-0.101416374445023	-0.20907641720299	-0.174535179484586	-0.221467718637692	0.0818807491877859	-0.156972944473748	0.156976255237183	-0.111126889842988	0.0968998472311523	0.103378163122051	0.25895287790822	-0.168005315695678	-0.0839418486868141	0.0585789860863369	-0.0620115931978757	0.0413325253516508	0.0466340331711392	0.225261315755833	0.335440418445124	0.21396677276651	0.116718475927952	-0.185198691620265	0.0692804214332811	-0.102429553898486	0.117054230997632	-0.148793004571145	0.0324825282269502	0.0947573950538795	0.198885144564047	0.273986014440422	0.0480906557064515	0.120821853948047	-0.139514069397739	0.209572450794606	-0.0758251649711533	-0.0900607001198052
MEantiquewhite4	-0.247997523477161	-0.316361741369355	-0.261673567332837	-0.151231080509936	-0.187993149876079	-0.275683768403904	-0.167177577924943	-0.263773360893546	-0.214716200547584	-0.193634368083508	-0.00396687543929564	0.122940609639741	0.0317911333444152	-0.0633180683994646	-0.0817189559641871	0.00430468971021291	0.0149517685460566	-0.0113223473953198	-0.1355035048901	0.0785653175307696	0.147268163380918	-0.00801824696992914	0.114639427722412	-0.0486017827542273	-0.0640124427198701	0.256830825571462	0.0436438167884871	-0.0415274525130032	0.0621131065436295	0.058240804781139	0.0163736137053126	0.102156610122178	0.00550630034281932	0.118092411855851	0.0959368034354293	0.11142019984856	0.149186303472402	0.0664138701838429	0.0633053812374828	0.0964050146078838	0.086610327331555	0.0967002496621759	-0.0555380766003685	0.163401839864286	0.160948618130673	0.257201976349533	-0.0822190604885039	0.0715369844583153	0.0735096448012932	0.205993339584289
MEaquamarine	-0.203689650008036	-0.197745175750606	-0.073637659734043	-0.22704272476502	-0.214595654160777	-0.211891458804491	-0.161911938844525	-0.139645039763845	-0.209416352522747	-0.20823471384178	-0.13913610178313	-0.132452062325878	-0.126189953179379	-0.00206076536902727	-0.109347995374499	-0.16848698458669	0.0858168041507845	-0.0325587390403121	-0.140953875544135	-0.137814543608762	-0.074630982572803	0.046964044813301	0.034694565793348	0.0765782151330612	0.0839004157304919	-0.110391855503761	-0.0409307228034756	-0.0552237974978909	0.146215528604593	-0.0253798283584503	0.0773883939175863	0.0961917212460685	0.10767266172219	0.274182854630995	0.0787088843854938	0.0131455432277451	0.137686242122135	0.0905871736138641	0.171441377924073	0.140685680586322	0.115898982846124	0.0785473111022748	0.209264069274832	0.042652849510626	0.191203039342533	0.163518957654643	0.199768130200809	0.211948297170766	0.173771399537537	0.0949354315018676
MEaquamarine1	-0.122668732770313	-0.131443403975864	0.0116049651775833	-0.12574429107383	-0.166650636593095	-0.107976946347702	-0.0689200544168835	-0.0596871111874707	-0.132452898405824	-0.131499205657518	-0.0209230245849555	-0.113950863411171	-0.0216836931881586	-0.210945065876853	-0.136306727096958	-0.205745886568556	-0.214858104181411	-0.241544325437368	0.0089656649013071	-0.0396707958437994	0.0365400948954681	0.177302918394009	-0.0160483706392481	-0.0984588474697714	-0.0981674405010018	0.00302752149967814	-0.148310834585964	-0.0429537647033629	-0.0192682970548796	0.0154628048425465	0.0163642168190449	0.0980843545012425	0.0841711215402015	0.0888793176550434	-0.154187979339828	0.0687848839793747	0.0445877682212028	0.0587968097748342	0.282927739560757	0.183122311493462	0.160208955850086	0.189897272876741	0.0656237054222734	-0.0493016133789941	0.281544371176522	0.213656903107971	0.0874240138287907	0.109249924400006	0.349446301072106	0.243694973300527
MEaquamarine2	-0.040342283396532	-0.0564725580335288	-0.0410525290328352	-0.0991989293683691	-0.0435739475368307	-0.0497698729220942	-0.0452989719523027	-0.0582567799086344	-0.0746098614844298	-0.0548010693230684	-0.0206913194371414	-0.206670153136289	0.0947117215089513	-0.222716143081211	0.0574063630962452	0.0794452893712962	0.031924215490123	0.0653031687228057	-0.176889095649818	0.0171094185296487	-0.146235744093784	-0.00791523094032992	0.125343954929645	0.118753340169103	0.291754225000206	0.112114522616484	0.0349611917595722	-0.190413090801659	0.256970171290517	0.0374235752157284	-0.227988924190688	-0.118074342452812	-0.174040180258486	0.187397238270567	-0.0532566776395123	-0.0494162076258801	-0.0708145211747531	-0.059022406539487	0.0762779337494661	0.0994253468036485	-0.160209883821334	-0.118831937585043	-0.0116383349715775	0.0623961452196938	0.0767284595526893	-0.17482813910058	-0.0507244968572901	0.324278584421771	0.31072385294445	0.343304913653687
MEaquamarine3	-0.0593014917945891	-0.0696325123051495	0.0228751608708142	-0.0931219934412294	-0.0794512660995493	-0.0658538951623789	-0.044114215092978	-0.0336158573726073	-0.0846860886745652	-0.0720910825271727	-0.259180217807119	0.00957455037024936	0.0907456747577843	-0.246903473430086	-0.0550280587759428	0.273917837163873	-0.118692059805766	0.114320250019992	-0.00419976488560796	0.0197566889554188	0.0206121601470509	0.0654320485670797	-0.123783631687644	-0.118235805424865	-0.143592350463458	0.138379485460129	0.216600060847211	-0.00143697626570356	-0.192933812828029	0.0201662102874698	-0.0957025130471965	0.117066774364392	0.0552243456864669	-0.0553686013359845	-0.350883115842548	0.206613363192014	-0.242405156321654	0.216063671817381	0.0549058253190377	0.0951487264889922	0.0339735004179327	0.0202629997778775	-0.102659199716604	0.241556654066629	0.207555586548264	-0.116936394104913	0.277003088990677	0.0432299438942447	0.163542818041366	0.105282108160992
