wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
wild01	0	11.3334227397547	44.0668895853172	11.4587472797148	9.96870508133313	5.25280054789826	11.5008628780647	17.736062574451	11.5339707543266	6.65373245923055	124.380471986525	132.772065556388	136.434617632432	115.950029129618	126.575650165152	143.769174790993	134.44161168837	144.04091031153	116.486040556694	134.406847342794	144.428621162479	125.951849232023	152.931339861657	137.549147439574	144.730279150514	145.959534521915	147.145025805168	130.687579511267	145.382866944023	136.128148473198	146.109165971883	150.783686256206	146.68380065981	169.401217119125	130.7684844277	152.287485585958	149.418964317851	154.441727796538	152.998439665562	144.941089587641	166.5633842681	171.650576571193	155.350609633695	181.102427740234	179.672506604173	185.623816406127	154.032219336342	167.219925556475	168.500817267361	154.371364570498
wild02	11.3334227397547	0	54.9148655647657	5.67926161950431	5.51470730477589	6.49066917378194	22.60675840106	28.5766892741599	2.7961357313391	7.21853542621355	125.064857468772	135.877666256278	139.736823992768	118.624634539657	128.396273464925	147.12259806315	136.803889658669	146.067192320648	118.996284012947	136.840703925977	148.892742547084	130.870533406065	157.741416075442	141.81195877709	149.333856646543	150.829166532071	151.951211244937	134.057682455715	150.598059864131	140.728421583713	152.903670673548	157.589888289708	153.299545547514	176.494185020321	136.736448915945	158.739036965032	156.690220731734	161.401170145539	160.283577789531	151.619150101648	174.361126740108	179.375030361103	162.937362887741	188.880663707315	188.217120061929	194.217989090438	161.944033653534	175.302995495685	176.712139237397	161.859870580642
wild03	44.0668895853172	54.9148655647657	0	54.8140383287761	53.8004591947259	49.0188076661412	32.9187673731636	26.5046807047438	55.5614748758473	50.4340130463388	132.318805785306	130.471949601206	134.04798072112	111.799998519227	128.069333379008	136.742744269424	127.620709858468	139.221593356679	116.574234470041	136.677350717575	137.009353717146	118.10639273736	138.266818925266	124.382342826188	129.598882746622	136.695876097171	133.599607991626	127.097895755363	127.251301132146	127.159659405074	125.848087941698	129.681281501583	125.893970705109	144.198638757513	113.15428714841	134.087581507006	127.191786061905	132.632956555931	131.199855331568	127.815068122481	142.199215318996	147.047450079478	129.564074751549	153.516193080131	151.332739155165	157.63904650772	125.193679655697	138.468073066184	143.867245919727	133.402754209565
wild04	11.4587472797148	5.67926161950431	54.8140383287761	0	3.05914324877697	6.47438521581675	21.9748145454628	28.8869501350045	4.23995169287405	6.37664770616774	120.34133712162	131.263591529613	134.927559110931	115.361194868203	124.165669685873	143.288904406952	134.403903102022	143.189505149307	114.662332663118	131.77693027185	144.132964262754	126.123225530749	154.323420438913	138.880648982387	146.456344506555	146.125449864179	148.305566722122	129.544961296044	147.890914588714	136.300490709932	149.06083722304	153.880345112919	149.739559798755	173.385141516133	133.24524714638	154.63927382772	152.868078607583	157.6858246124	156.321209256168	147.220538177565	170.461728068551	175.538198229793	159.634239212011	185.646794407045	184.578105412629	190.448090231546	159.159957989378	172.20188973285	172.618620922589	157.595156589643
wild05	9.96870508133313	5.51470730477589	53.8004591947259	3.05914324877697	0	5.42576261022227	20.9208973929687	27.6417144310102	3.37124085763768	3.83261912079269	122.667030304938	133.262317542761	136.813596225426	117.653755127477	126.490898959172	145.41864046366	136.749827182654	145.614168864444	116.845433820836	133.696716965037	145.780929088941	127.646354833513	156.180709271172	140.86966543352	148.371511683736	147.693405711458	150.142165563462	131.523187227602	149.657253225814	138.031832527994	150.315949267522	155.157987569531	151.095845863553	174.638717668075	134.78892826039	155.94990539019	153.966877885305	158.914438661345	157.383083555161	148.351909458554	171.350334608345	176.47533050757	160.704465680685	186.665467556558	185.221123553105	191.030591701072	160.141275615334	173.114169713458	173.251886420828	158.473295646335
wild06	5.25280054789826	6.49066917378194	49.0188076661412	6.47438521581675	5.42576261022227	0	16.3481409015033	22.7891034646502	6.65398531215041	3.72204488390344	123.08315091808	132.643217772315	136.377255447173	115.83954278734	125.886683525679	143.901335583751	134.386508782235	143.727527056552	116.097677067558	133.900501314381	144.954423128301	126.692423106908	153.866107852977	138.304569229686	145.671193914749	146.696037069844	148.028819156916	130.700283150093	146.66603603472	136.763002741809	147.961142749132	152.668564616363	148.496764867034	171.561877980162	132.253687336071	153.921663099758	151.524468632114	156.406643771584	155.08909970241	146.643152507497	168.941421712683	174.001842020463	157.721718618959	183.597747308362	182.500227665134	188.459321474819	156.681696278248	169.897817043528	171.075083468849	156.525205541687
wild07	11.5008628780647	22.60675840106	32.9187673731636	21.9748145454628	20.9208973929687	16.3481409015033	0	7.72567850827689	22.8987999911421	17.6836118591993	122.82696279454	128.617107480068	132.227683251527	111.628793433612	123.48237974369	138.824960280463	130.036078939698	140.034405338223	112.8498005564	131.309159358034	139.04788443551	120.268028623015	146.375288952494	131.41154137317	138.216920595215	140.158106739271	140.716048841894	126.214905132342	138.247946355197	130.399857637487	138.035090204772	142.60718824849	138.604325611266	160.662466663262	123.291202101023	144.635713977455	140.938881996476	146.130816480578	144.588440961333	137.370851262677	157.695148850223	162.778617520268	146.327845337909	171.844817687628	170.099792116513	176.108177061841	144.555830891431	157.70147379231	159.524744591206	146.053803486387
wild08	17.736062574451	28.5766892741599	26.5046807047438	28.8869501350045	27.6417144310102	22.7891034646502	7.72567850827689	0	29.2013298141733	24.190074236919	127.611294897515	131.934033346678	135.636924589588	113.838838297236	127.112339218857	141.044555071482	131.332131873626	141.965051429779	116.314005615275	135.492669667242	141.714853040829	122.826315231675	147.236806176568	132.150653757158	138.644540060684	142.527187289638	141.875732962086	129.289670751977	138.117661929536	132.660543349104	138.297014521181	142.671346580538	138.625911022331	159.750587756103	123.726325725416	145.360315277224	140.884807637706	146.092221747183	144.676439293065	138.389516090136	157.346519745246	162.36750346441	145.429988116671	170.634855519155	168.962174310027	175.085930827708	142.856279742644	156.217068250566	159.194082022116	146.403341464666
wild09	11.5339707543266	2.7961357313391	55.5614748758473	4.23995169287405	3.37124085763768	6.65398531215041	22.8987999911421	29.2013298141733	0	5.9993108291194	124.502388883046	135.459527953366	139.14836812626	119.12745897844	128.268684176853	147.271420834459	137.777645081959	146.791435651043	118.799125170134	136.015769978727	148.303718155133	130.256592704379	158.103576029884	142.472558132981	150.011335054866	150.263640412504	152.171983388071	133.716831477924	151.334509087517	140.408833335483	152.826797455246	157.605063448139	153.433593015066	176.856848652151	136.97056820988	158.518036635325	156.564837099992	161.394713005328	160.053607324698	151.123669659306	174.096173980824	179.172723173303	163.115462439284	189.080456873256	187.999355479834	193.886641519487	162.378827848789	175.532306997141	176.193180509671	161.345531228528
wild10	6.65373245923055	7.21853542621355	50.4340130463388	6.37664770616774	3.83261912079269	3.72204488390344	17.6836118591993	24.190074236919	5.9993108291194	0	124.165199198893	133.944089337037	137.454107044657	118.222802908262	127.542599248461	145.886862449988	137.231051019694	146.325544299148	117.678978071775	134.658321472026	146.009709475306	127.701832926617	156.060804650077	140.829904766443	148.202558089073	147.770094966087	150.068796031969	132.098573184257	149.233265905441	138.165800182455	149.554156873901	154.369383536144	150.349688195743	173.625977775709	134.263404641405	155.361286024838	153.019888290434	158.069693582338	156.453771341708	147.71499021663	170.211431499433	175.357299510384	159.541945777273	185.418433426085	183.739273369926	189.547162288783	158.74352316979	171.719321042237	171.965798364808	157.502409992781
