module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
M00044	0.368118252299456	-0.156123575955614	18.8345354211928	1.23541847279234e-24	5.4976122039259e-22	45.8974282641305	21.2598258981111	Wild_up	-0.24061730967163	0.034450300369163	-0.268469380897761	-0.227977239050763	-0.134003418833179	-0.283029828972966	-0.256121708239012	-0.253009127572002	-0.181574688133934	-0.270266438100884	-0.272586917453292	-0.241679645691027	-0.22098178746363	-0.217590899358347	-0.227741394735839	-0.243061107080401	-0.231475973372003	-0.259556692653519	-0.203899326128015	-0.225956741911966	-0.252621449814915	-0.135047954922235	-0.255447053792407	-0.26890103955711	-0.252532680349152	-0.265369956245454	-0.257472554901939	-0.164570277255499	-0.25956233961832	-0.259510618874796	-0.268091314287872	-0.289868155098959	-0.245124405684021	-0.228944203541969	-0.21436372792197	-0.245852254960505	-0.248412447390718	-0.236980909767489	-0.242777462182262	-0.173288925501596	0.0717207318372224	0.0580234086414255	0.143624127854813	0.194798298446436	0.103301079714501	0.176049056812981	0.18917069893489	0.205975238679992	0.0731631264047344	0.16788449151252
M00551	0.415754762488085	-0.0803398936595332	18.3165365942205	4.28506315934716e-24	9.53426552954742e-22	44.6528585233176	21.0207127571277	Wild_up	-0.109558272084179	0.00269003467645055	-0.0751550454035298	-0.18546778709229	-0.168523971711778	-0.131526933576163	-0.17512597432931	-0.224165828602357	-0.250588884057131	-0.143988652457897	-0.134190606588805	-0.111069445141219	-0.212592939972941	-0.175319338846513	-0.156183367736007	-0.16636283442145	-0.121101347422493	-0.120621001547671	-0.157575632258583	-0.0970461204076275	-0.231752127073575	-0.0647050337765157	-0.164404491503703	-0.15971891028507	-0.073695543574175	-0.245386204921075	-0.168762476030285	-0.30499170210975	-0.184714552370114	-0.182991171153245	-0.142307566543809	-0.149268035279869	-0.197087317508396	-0.138410639607095	-0.206448043355552	-0.142012103623037	-0.197526983104291	-0.162175905647932	-0.212449542521563	-0.297351547315463	0.290899973652238	0.24129768359345	0.358254236871106	0.324165007117616	0.177172664488815	0.256543748180153	0.255576296782339	0.0565962950685816	0.28407338154228	0.278059876012771
M00637	0.219868632028737	-0.244057163633278	18.0724345081912	7.77033699111418e-24	1.15259998701527e-21	44.0570120649458	20.9383213896472	Wild_up	-0.261868000259684	-0.292723589654184	-0.291381755791194	-0.295820427955813	-0.20974091978786	-0.272944194492009	-0.301857022099694	-0.291491015413708	-0.318587401797103	-0.281848853726875	-0.271127753267719	-0.266716396008729	-0.289961380698517	-0.289988695604145	-0.277737960429798	-0.266552506574959	-0.282081030424717	-0.269488858930014	-0.264927269690067	-0.265610142330778	-0.303632490965542	-0.302335032948192	-0.291654904847479	-0.287147945418789	-0.302266745684121	-0.305817683415816	-0.300259100120432	-0.362823891462333	-0.290835457678626	-0.271735130069041	-0.271469189588075	-0.295670195974857	-0.275621055243595	-0.271250670343047	-0.298265112009557	-0.276932170713759	-0.299740116913492	-0.294181533618108	-0.295943345031141	-0.361198654577442	0.0225935704276219	-0.153360237186213	-0.138391197378437	-0.0544395775043703	-0.11881578430039	-0.0831800454193461	-0.0216189930909205	-0.0593937328651065	0.00566334174647181	-0.0806799245321945
ko00907	0.241276513946681	-0.0367490457912889	17.6507969188556	2.20301348171197e-23	2.45085249840456e-21	43.0133564958509	20.6106828254499	Wild_up	-0.047661529317298	-0.0441805782202136	-0.0785566491811201	-0.104674693361407	-0.0593370657205926	-0.0436780118032189	-0.120242122760596	-0.100284217316372	-0.119248712261931	-0.077321182016025	-0.0717788886026588	-0.0773111702136457	-0.0801154341369884	-0.0858954536947612	-0.102041351751672	-0.029771801958918	-0.0926024248235908	-0.090561890699086	-0.015674152246365	-0.0411884411706095	-0.104431780928422	-0.0267554882472024	-0.0677000748564099	-0.0908740531344687	-0.0598240837147929	-0.0414783833332334	-0.0668555136078245	-0.214275057894005	-0.102889394181283	-0.0801135719958264	-0.0839610396420601	-0.120041425895266	-0.0708375575171516	-0.0776780292124409	-0.104082971181757	-0.100767026869625	-0.0994993952552195	-0.100761310184526	-0.0954457209640417	-0.20977629335238	0.150578011627248	0.138833087841174	0.215414566565524	0.190894589839512	0.108559277265947	0.147279601098093	0.188907020519194	0.111521404340085	0.149751571465262	0.16098252309852
M00548	0.2645127078134	-0.244706545680004	17.5372719763939	2.92559392704508e-23	2.60377859507013e-21	42.7291791207378	20.5843959475337	Wild_up	-0.273231001001108	-0.360580973970501	-0.300941972761142	-0.305503562001089	-0.234041481542754	-0.283460433158952	-0.311130432560544	-0.301406326156825	-0.326986735277843	-0.29188708154532	-0.282108345330345	-0.277819905146683	-0.299685487102235	-0.299890348894448	-0.288704895039609	-0.277847220052311	-0.292556296733217	-0.280524080803897	-0.276276612978677	-0.276877540902502	-0.312782984351063	-0.31154015614497	-0.301310723987126	-0.297022283803464	-0.311403581616828	-0.314695027745053	-0.30946422331721	-0.369311181549083	-0.299944978705705	-0.254269076428157	-0.282012743160646	-0.249872838048668	-0.286028034288024	-0.28193079844376	-0.307565837376035	-0.287489381739144	-0.308999869921527	-0.304083186908411	-0.305435274737018	-0.367740574475449	-0.0637934528698754	-0.0826455461595158	0.0397270616277832	0.0764514441512273	-0.0253580249453795	-0.113699385605655	0.0351099191818806	-0.169849671913591	-0.0780401659322279	0.0511340281725155
M00915	0.246862700415441	-0.158217744623186	17.153631954629	7.70600721722316e-23	5.71528868610718e-21	41.7586976480561	20.2429618279779	Wild_up	-0.167606072997012	-0.256731175998248	-0.207585753790108	-0.213812097520181	-0.197727376217494	-0.182379985093368	-0.221922729484354	-0.207722296415768	-0.244698039444355	-0.194723438452985	-0.18038646275874	-0.174351278704591	-0.205510305880084	-0.205428380304689	-0.189616744253321	-0.174160119028667	-0.194750746978117	-0.177956004022001	-0.171593117666269	-0.172412373420226	-0.223342772791212	-0.2223050488362	-0.207394594114185	-0.202260591389389	-0.222496208512124	-0.227575594186656	-0.220748462903682	-0.302291718947524	-0.207148817387998	-0.215641768704018	-0.18082339916085	-0.21337516111807	-0.186257795662097	-0.180550313909531	-0.216461024457975	-0.188387860622385	-0.219164568446032	-0.21192780928608	-0.213894023095576	-0.300489356288819	0.0583384413147737	-0.00165524732423272	0.111494272089803	0.126467458852563	-0.00584495680037227	0.0893945531709271	0.0934131210006086	-0.0381678731543098	-0.089803334480868	0.0490877224227724
M00918	0.406979467958353	-0.292883876739936	16.9087885169401	1.44139870419751e-22	9.1631774766842e-21	41.1310215400569	20.037953901736	Wild_up	-0.378791910484594	-0.297584355163739	-0.395075886520675	-0.397636260111254	-0.391225084640445	-0.384670528248563	-0.40036049761163	-0.394932505599603	-0.224572379140243	-0.389606928531199	-0.38372831076723	-0.381454699018796	-0.394297532949139	-0.394543328813835	-0.387661044602359	-0.381434216030071	-0.390057554283141	-0.38288850822952	-0.380696828435985	-0.38094262430068	-0.401937687743427	-0.159537794810993	-0.258249588017886	-0.392372132009024	-0.401302715092963	-0.402429279472818	-0.399070069321978	-0.435611721206719	-0.394502362836386	-0.248919521955367	-0.383871691688302	-0.397226600336761	-0.386288684357809	-0.383748793755955	-0.399438763119022	-0.386862208042098	-0.399131518288152	-0.396612110675023	-0.39730853229166	-0.434608054759212	-0.0299075481773219	0.0317788739032919	0.167219827546667	-0.0293638734538508	0.014183303740077	0.240871697487672	0.127116386251286	-0.0892772865686213	-0.0224268632680854	-0.0831975411936515
M00649	0.469145399726679	-0.254543868714465	16.1318801656002	1.09735680264478e-21	5.4258197464103e-20	39.0953815132254	19.2655346382264	Wild_up	-0.335810205850701	-0.0332358099230792	-0.367829381421565	-0.371041364169048	-0.361602067931547	-0.354162067077684	-0.31047389915919	-0.367304976075037	-0.383020748803793	-0.360536869571413	-0.35080259532649	-0.342543211118677	-0.362683653958761	-0.363748852318896	-0.353817926069025	-0.343100391799363	-0.357521538828878	-0.347607000246086	-0.339921184386038	-0.339544268043221	-0.376760659979617	-0.351738232187726	-0.36938620979407	-0.365272905357242	-0.353470495032697	-0.284464264019927	-0.374581100258111	-0.311257853267521	-0.366305328383219	-0.372286826867052	-0.349393255957697	-0.368796253779226	-0.354227617746	-0.35031096531412	-0.36417493166295	-0.354981450431634	-0.372483478872	-0.369042068785411	-0.371024976501969	-0.40865106011534	0.160716726963318	0.145071842715807	0.131491225658704	0.169382353211232	0.139821144124497	0.211797509420559	0.250715548021332	-0.313963018963725	0.165088508137651	0.14760267137941
M00960	0.294400252929555	-0.112158101887964	15.7466725458993	3.07776719218094e-21	1.24509672774592e-19	38.0606356908181	18.9047969082514	Wild_up	-0.131570610080117	0.0593269595168884	-0.114892567231508	-0.193593823306464	-0.153081503565745	-0.163268318341058	-0.156123312601363	-0.168797428889087	-0.21983939078524	-0.160390185761048	-0.183100790495056	-0.190987215695484	-0.233408253160154	-0.183965270439142	-0.171642872930976	-0.187069737886396	-0.201209026221644	-0.180924251126943	-0.183179925266819	-0.184097048123779	-0.202102768674987	-0.126061591840013	-0.154543561333818	-0.169891366809548	-0.160556082872032	-0.173047723957062	-0.138223978800725	-0.292505731597471	-0.188889808629263	-0.137721849184977	-0.16468883128708	-0.174447111052437	-0.213154917123515	-0.101360464006251	-0.204354298868746	-0.157132119585254	-0.180633167366751	-0.167945719858225	-0.152159448187592	-0.280290985528131	0.106313954042407	0.0478108840810387	0.169244331113943	0.122484028487804	0.124495212689362	0.220730179190464	0.189287754618111	0.0404481227899211	0.0957484010642674	0.117058136479482
M00875	0.253730458951826	-0.243545291087314	15.7014873382413	3.47738417243312e-21	1.28952996394395e-19	37.9381308899871	18.8895685619988	Wild_up	-0.271151646941673	-0.378897856645238	-0.255884657220428	-0.280901814187525	-0.310644098774085	-0.286044726403449	-0.284986266106326	-0.349176073464177	-0.201286453517296	-0.292356484392947	-0.33248146379259	-0.327224886133023	-0.284292885820727	-0.282036045242514	-0.289352290341177	-0.32789220222789	-0.271657843667724	-0.292196939672916	-0.325960497742748	-0.326100985341668	-0.302765991861463	-0.326997171241155	-0.209140015731268	-0.248749698290847	-0.298277779168161	-0.242035380511456	-0.22866454357772	-0.318500883701033	-0.307361569464092	-0.245943526682099	-0.303500534594761	-0.198087291566033	-0.336145848664404	-0.28566383836875	-0.351587777245626	-0.298132855995061	-0.29437358005813	-0.290696382623768	-0.314612431451132	-0.399892096674075	-0.124801725882278	-0.0916510718875024	0.0267059263109938	0.0371696579959761	-0.014849606491023	-0.0391716141117128	-0.044280245482093	-0.0558913817572344	-0.104992249051718	0.00615307109806324
