module	module_name	中文名	category_C	category_B	
M00044	Tyrosine degradation, tyrosine => homogentisate	酪氨酸的降解,酪氨酸→同型尿黑酸	Aromatic amino acid metabolism	Amino acid metabolism	
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	苯甲酸的降解,苯甲酸→甲基苯甲酸→甲基儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00637	Anthranilate degradation, anthranilate => catechol	色氨酸的降解,色氨酸→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
ko00907	Pinene, camphor and geraniol degradation	松油烯,樟脑和香叶醇的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00548	Benzene degradation, benzene => catechol	苯的降解,苯→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00915	Caffeine degradation, caffeine => xanthine	咖啡因的降解,咖啡因→黄嘌呤	Aromatics degradation	Xenobiotics biodegradation	
M00918	Aerobactin biosynthesis, lysine => aerobactin	空肠杆菌素的生物合成,赖氨酸→空肠杆菌素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00649	Multidrug resistance, efflux pump AdeABC	多药耐药性,外排泵AdeABC	Drug resistance	Drug resistance	
M00960	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→D-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	
M00875	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	葡萄球菌铁载体B的生物合成,L-丝氨酸→葡萄球菌铁载体B	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00534	Naphthalene degradation, naphthalene => salicylate	萘的降解,萘→水杨酸	Aromatics degradation	Xenobiotics biodegradation	
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	反式肉桂酸的降解,反式肉桂酸→乙酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00638	Salicylate degradation, salicylate => gentisate	水杨酸的降解,水杨酸→邻氨基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00956	Lysine degradation, bacteria, L-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	
M00879	Arginine succinyltransferase pathway, arginine => glutamate	精氨酸琥珀酸转移酶途径,精氨酸→谷氨酸	Arginine and proline metabolism	Amino acid metabolism	
