module	module_name	中文名	category_C	category_B	
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00705	Multidrug resistance, efflux pump MepA	多药耐药性,外排泵MepA	Drug resistance	Drug resistance	
M00651	Vancomycin resistance, D-Ala-D-Lac type	万古霉素耐药性,D-丙氨酰-D-乳酸型	Drug resistance	Drug resistance	
M00636	Phthalate degradation, phthalate => protocatechuate	邻苯二甲酸的降解,邻苯二甲酸→原儿茶酸	Aromatics degradation	Xenobiotics biodegradation	
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	泛酸的生物合成,缬氨酸/L-天冬氨酸→泛酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	不完全还原型柠檬酸循环,乙酰辅酶A→α-酮戊二酸	Carbon fixation	Energy metabolism	
M00356	Methanogenesis, methanol => methane	甲烷生成,甲醇→甲烷	Methane metabolism	Energy metabolism	
M00609	Cysteine biosynthesis, methionine => cysteine	半胱氨酸的生物合成,甲硫氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	
M00072	N-glycosylation by oligosaccharyltransferase	寡糖基转移酶介导的N-糖基化	Glycan biosynthesis	Glycan metabolism	
M00140	C1-unit interconversion, prokaryotes	C1单位的相互转化,原核生物	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
