module	module_name	中文名	category_C	category_B	
M00875	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	葡萄球菌铁载体B的生物合成,L-丝氨酸→葡萄球菌铁载体B	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00960	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→D-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	
M00649	Multidrug resistance, efflux pump AdeABC	多药耐药性,外排泵AdeABC	Drug resistance	Drug resistance	
M00918	Aerobactin biosynthesis, lysine => aerobactin	空肠杆菌素的生物合成,赖氨酸→空肠杆菌素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00915	Caffeine degradation, caffeine => xanthine	咖啡因的降解,咖啡因→黄嘌呤	Aromatics degradation	Xenobiotics biodegradation	
M00548	Benzene degradation, benzene => catechol	苯的降解,苯→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
ko00907	Pinene, camphor and geraniol degradation	松油烯,樟脑和香叶醇的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00637	Anthranilate degradation, anthranilate => catechol	色氨酸的降解,色氨酸→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	苯甲酸的降解,苯甲酸→甲基苯甲酸→甲基儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00044	Tyrosine degradation, tyrosine => homogentisate	酪氨酸的降解,酪氨酸→同型尿黑酸	Aromatic amino acid metabolism	Amino acid metabolism	
M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	阳离子抗菌肽(CAMP)耐药性,dltABCD操纵子	Drug resistance	Drug resistance	
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	戊糖磷酸途径,古菌,果糖-6P→核糖-5P	Central carbohydrate metabolism	Carbohydrate metabolism	
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	黄单胞菌致病性特征,T3SS和效应子	Pathogenicity	Pathogenicity	
M00801	dTDP-L-olivose biosynthesis	dTDP-L-橄榄糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	四氢叶酸的生物合成,由ribA和trpF介导,GTP→THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	甲醛的同化,核糖单磷酸途径	Methane metabolism	Energy metabolism	
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	丙酮酸的氧化,丙酮酸→乙酰辅酶A	Central carbohydrate metabolism	Carbohydrate metabolism	
M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	苯丙氨酸的生物合成,预苯酸→苯丙酮酸→苯丙氨酸	Aromatic amino acid metabolism	Amino acid metabolism	
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	柠檬酸循环,第二个碳的氧化,α-酮戊二酸→草酰乙酸	Central carbohydrate metabolism	Carbohydrate metabolism	
M00156	Cytochrome c oxidase, cbb3-type	细胞色素c氧化酶,cbb3型	ATP synthesis	Energy metabolism	
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	NADH脱氢酶(泛醌)Fe-S蛋白/黄素蛋白复合体,线粒体	ATP synthesis	Energy metabolism	
ko00590	Arachidonic acid metabolism	花生四烯酸的代谢	Lipid metabolism	Lipid metabolism	
ko03050	Proteasome	蛋白酶体	Folding, sorting and degradation	Genetic Information Processing	
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	L-threo-四氢生物蝶呤的生物合成,GTP→L-threo-BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	四氢生物蝶呤的生物合成,GTP→BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00609	Cysteine biosynthesis, methionine => cysteine	半胱氨酸的生物合成,甲硫氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	
