module	module_name	中文名	category_C	category_B	
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	L-threo-四氢生物蝶呤的生物合成,GTP→L-threo-BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00356	Methanogenesis, methanol => methane	甲烷生成,甲醇→甲烷	Methane metabolism	Energy metabolism	
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	不完全还原型柠檬酸循环,乙酰辅酶A→α-酮戊二酸	Carbon fixation	Energy metabolism	
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	泛酸的生物合成,缬氨酸/L-天冬氨酸→泛酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00636	Phthalate degradation, phthalate => protocatechuate	邻苯二甲酸的降解,邻苯二甲酸→原儿茶酸	Aromatics degradation	Xenobiotics biodegradation	
M00651	Vancomycin resistance, D-Ala-D-Lac type	万古霉素耐药性,D-丙氨酰-D-乳酸型	Drug resistance	Drug resistance	
M00705	Multidrug resistance, efflux pump MepA	多药耐药性,外排泵MepA	Drug resistance	Drug resistance	
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00150	Fumarate reductase, prokaryotes	富马酸还原酶,原核生物	ATP synthesis	Energy metabolism	
M00176	Assimilatory sulfate reduction, sulfate => H2S	同化性硫酸盐还原,硫酸盐→H2S	Sulfur metabolism	Energy metabolism	
M00155	Cytochrome c oxidase, prokaryotes	细胞色素c氧化酶,原核生物	ATP synthesis	Energy metabolism	
ko00982	Drug metabolism - cytochrome P450	药物代谢--细胞色素P450	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00746	Multidrug resistance, repression of porin OmpF	多药耐药性,孔蛋白OmpF的抑制	Drug resistance	Drug resistance	
M00009	Citrate cycle (TCA cycle, Krebs cycle)	柠檬酸循环(TCA循环,Krebs循环)	Central carbohydrate metabolism	Carbohydrate metabolism	
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	C4-二羧酸循环,NAD-苹果酸酶型	Carbon fixation	Energy metabolism	
ko00791	Atrazine degradation	西玛津的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	柠檬酸循环,第二个碳的氧化,α-酮戊二酸→草酰乙酸	Central carbohydrate metabolism	Carbohydrate metabolism	
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	赖氨酸的降解,赖氨酸→萨卡灵→乙酰乙酰辅酶A	Lysine metabolism	Amino acid metabolism	
M00021	Cysteine biosynthesis, serine => cysteine	半胱氨酸的生物合成,丝氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	倍半萜类和三萜类化合物的生物合成	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	戊糖磷酸途径,氧化阶段,葡萄糖-6P→核糖-5P	Central carbohydrate metabolism	Carbohydrate metabolism	
M00015	Proline biosynthesis, glutamate => proline	脯氨酸的生物合成,谷氨酸→脯氨酸	Arginine and proline metabolism	Amino acid metabolism	
M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	诺卡菌素A的生物合成,L-pHPG+精氨酸+丝氨酸→诺卡菌素A	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	幽门螺杆菌致病性特征,cagA致病岛	Pathogenicity	Pathogenicity	
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	莨菪碱,吡啶和吡啶类生物碱的生物合成	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	
ko02010	ABC transporters	ABC转运蛋白	Membrane transport	Membrane transport	
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	嘧啶的降解,尿嘧啶→3-羟基丙酸	Pyrimidine metabolism	Nucleotide metabolism	
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	多胺的生物合成,精氨酸→鸟氨酸→腐胺	Polyamine biosynthesis	Amino acid metabolism	
