gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00535	0.373402498767063	0.38052374739145	17.1294374482732	1.44073531345068e-22	1.60281803621389e-20	41.165530733255	19.7951157791766	up
M00432	0.325285194462275	0.411167090756281	16.4731828088181	7.6166218448138e-22	3.76599635660238e-20	39.4977732229908	19.4241201044756	up
M00019	0.325051730924651	0.335937491712034	12.2760137262173	1.04333520937702e-16	2.11038258260351e-15	27.6278902833868	14.6756388060995	up
M00570	0.318921894244886	0.286367510042985	11.3019528878009	2.22411188702142e-15	3.66566588786864e-14	24.5546010557263	13.4358471219345	up
M00609	0.0861556206737256	0.268509714553442	8.84170298393422	8.52264064227535e-12	8.81994206002914e-11	16.2741538811285	10.0545342678265	up
M00636	0.24162754634277	-0.0411107912269429	8.57659474283229	2.15749304634061e-11	2.04368551814435e-10	15.3436540926376	9.68958593253062	up
M00705	0.172556973450931	0.237310007039723	8.57646210461816	2.15849931129853e-11	2.04368551814435e-10	15.3431870707653	9.68958593253062	up
ko03050	0.190212505098666	-0.0843770573457069	7.87319955368821	2.60907685976617e-10	2.2327676972999e-09	12.8492250640927	8.65115645965535	up
M00620	0.106640295061958	0.32631255320763	7.82362197404786	3.11429448693572e-10	2.61483216355924e-09	12.6722698013573	8.58255618166452	up
M00651	0.0898734784967645	0.19929847774048	7.73309300978743	4.30419086177759e-10	3.54697209905746e-09	12.3488457154589	8.45014222773134	up
M00119	0.0569724353534721	0.302430543137607	7.53473418000936	8.75941615114692e-10	6.72058652975927e-09	11.6389939311835	8.17259282285062	up
ko03010	0.0654421564296624	0.160754339400864	7.45580798634774	1.16274185414384e-09	8.48229713268866e-09	11.3561659977536	8.07148651838576	up
M00092	0.159555595157785	-0.157977876705826	7.42565348920208	1.29571513888426e-09	9.15227360005546e-09	11.2480616093583	8.03847100546339	up
M00091	0.120949299349552	-0.0121816246164982	7.34132974796699	1.75425711733474e-09	1.2009914110984e-08	10.945639841568	7.92046009844714	up
M00842	0.067918713913989	0.414502631508012	7.21108050203009	2.80249768155541e-09	1.83398745337082e-08	10.4782351888358	7.7366036397404	up
M00843	0.067918713913989	0.414502631508012	7.21108050203009	2.80249768155541e-09	1.83398745337082e-08	10.4782351888358	7.7366036397404	up
M00072	0.195629707745393	-0.0912896247867048	7.08263831517904	4.45007574598153e-09	2.71271740679696e-08	10.0171156139644	7.56659544584807	up
M00140	0.0545600220848117	0.387786752187961	7.00873698348797	5.8073510721742e-09	3.44569496949003e-08	9.75177057459613	7.46272317115111	up
M00356	0.141491646764697	0.186968493531963	6.94763338388732	7.23757975311633e-09	4.23779340807469e-08	9.53238461002337	7.37286021891359	up
M00065	0.189879930869361	-0.145082031862184	6.54694343037991	3.0666365064866e-08	1.70581655673317e-07	8.09522166054289	6.76806767462344	up
M00147	0.113276569644653	-0.176355384556768	6.50636065216554	3.54920889336992e-08	1.94987402166619e-07	7.94992850885707	6.70999344682343	up
M00090	0.155814084840267	-0.0512944908952441	6.47299701819526	4.00219378772312e-08	2.1719222384595e-07	7.83053470136339	6.66315572789189	up
M00143	0.0930087004423492	-0.210306901870422	6.44388636689768	4.44431246960579e-08	2.33571536534679e-07	7.72640281391386	6.63158008227493	up
M00563	0.12977895156032	0.18484189153446	6.24040918125031	9.23723736848156e-08	4.61861868424078e-07	6.99984293159516	6.33548789187037	up
M00162	0.150768647496243	-0.0156350563389889	6.20983466162316	1.0309122746465e-07	5.0972884690855e-07	6.89089677600733	6.29266078783821	up
M00841	0.0643713500106442	0.233546019150347	6.20037618433141	1.0665170959853e-07	5.215385799049e-07	6.85720692278624	6.28271355987392	up
M00972	0.0867230675602735	0.386435330236221	6.01039240352856	2.10719246042865e-07	1.01923983140299e-06	6.18201362405881	5.99172361265736	up
ko03015	0.15791649834187	-0.167571286622884	5.94094179438403	2.70124458515645e-07	1.29253101117701e-06	5.93599038882659	5.88855902825608	up
M00730	0.137796869781998	-0.0940770544920722	5.87016472365748	3.47794500795249e-07	1.57927094748863e-06	5.6857692536959	5.80154335390272	up
M00077	0.111818030310625	0.183040389004964	5.7260102108822	5.81172609245659e-07	2.51089137004192e-06	5.17786541978202	5.60017207598157	up
ko00514	0.105437088080938	-0.0335090264161671	5.64660939669745	7.704765994964e-07	3.26535320738951e-06	4.89920486104236	5.48606983499422	up
ko00590	0.0778207492424752	-0.0362300107287156	5.63386980587225	8.06084382907985e-07	3.38403349428352e-06	4.85457270221294	5.4705653470779	up
M00014	0.0851691298309846	0.18334752109446	5.57238480343507	1.00223482859471e-06	4.12957869189487e-06	4.63948247941489	5.38409425369917	up
M00422	0.177440226022855	0.115330769392825	5.55876153621252	1.05172617903044e-06	4.29374449237197e-06	4.59189792290473	5.36716380266979	up
M00931	0.181958421780438	0.213454080679431	5.54586541557663	1.10080394636534e-06	4.45325232847797e-06	4.54687827952952	5.35132269634398	up
M00073	0.14871923503978	-0.0932537384384332	5.51403035613989	1.23188273004795e-06	4.93862896280486e-06	4.43585001344575	5.30639360098149	up
M00930	0.185412313591887	0.235286132560822	5.50086122288342	1.29052216043197e-06	5.12752108385918e-06	4.38996613609935	5.29009254518	up
ko03410	0.0666085095762601	0.143040510802999	5.44729603846629	1.55889391797555e-06	6.08515608332562e-06	4.20361295770431	5.21572827770381	up
M00163	0.110661286555222	-0.15826655205875	5.4342743505376	1.63207182159792e-06	6.26096517768169e-06	4.15837961052111	5.20335871167292	up
M00051	0.0352782172072643	0.334446189859367	5.42710186053205	1.67382029065441e-06	6.3662395670189e-06	4.13347635653258	5.19611702253614	up
M00968	0.0665255722585925	-0.0158178470892989	5.31631886055488	2.47033783353924e-06	9.16083613270803e-06	3.74993259973692	5.03806488536611	up
M00934	0.0866029663127737	-0.147179600947008	5.28800670960194	2.727961599764e-06	1.00325860487189e-05	3.65225728308855	4.99858710666778	up
M00967	0.186839318857063	0.239632660403994	5.17742085912363	4.01429709105609e-06	1.44061468187094e-05	3.27217514830824	4.84145216347087	up
M00377	0.0999456556250935	0.264054049907452	5.15332770086482	4.36566255173324e-06	1.55417586841703e-05	3.18968239922313	4.80849983858437	up
M00596	0.175068853923693	0.229332146183348	5.1133756391226	5.01632043012914e-06	1.77163697730752e-05	3.05314939774295	4.75162526377167	up
ko03020	0.0959923252069568	-0.0477725364024105	5.02578376501709	6.79591456117155e-06	2.32629383055488e-05	2.75498394505079	4.63333543108254	up
M00055	0.155265176696326	-0.133234666359661	5.01911727167258	6.95439736646201e-06	2.36237162448519e-05	2.73235904006902	4.62665178251924	up
M00024	0.035206826093419	0.1295752024412	4.94290201098699	9.04614089488687e-06	3.04964598350353e-05	2.47440882586462	4.51575057256614	up
M00357	0.115577868741688	0.17936228783054	4.91191766512418	1.00636129755252e-05	3.36714870233739e-05	2.3699258736116	4.47273770357671	up
M00146	0.0626349805560945	-0.269406385698823	4.90829354964256	1.01897380602701e-05	3.38390554986582e-05	2.35771975327446	4.47058176730693	up
ko03018	0.0682609084977702	0.0710002618684686	4.90442443684318	1.03261049751345e-05	3.40379015847026e-05	2.34469193296234	4.46803722174477	up
M00617	0.120667497100373	0.156239658169445	4.88898627745527	1.08883132943131e-05	3.56272015880096e-05	2.29274531093302	4.44821828886467	up
M00621	0.0789306914812797	0.442758019992739	4.88483124684468	1.10446964694563e-05	3.58751089701317e-05	2.27877418937473	4.44520677109265	up
M00076	0.112372436794376	0.255564312220545	4.84727543755947	1.25621175591555e-05	4.02168511785912e-05	2.15268534258685	4.39559193595948	up
M00860	0.0717675822482103	0.0162389881179456	4.82777558503711	1.34289666620338e-05	4.26849297471789e-05	2.08735453300214	4.36972542902356	up
M00797	0.0915202893362945	0.0760368163335557	4.80063173001469	1.47341477257953e-05	4.65013882126165e-05	1.9965730773612	4.33253408186102	up
M00970	0.0892917945950764	0.395823373005566	4.77453504504976	1.61060600140218e-05	5.04732162411247e-05	1.90947125718567	4.29693902038482	up
M00618	0.0760604206666607	0.294897847445451	4.71734049639584	1.95660147169178e-05	6.07755653632673e-05	1.71919776694803	4.21627099245163	up
M00096	0.0362774103266794	0.431546188382223	4.71475425449846	1.97386056419692e-05	6.07755653632673e-05	1.7106144741861	4.21627099245163	up
M00145	0.0884631309798364	-0.155217642503011	4.68885758400432	2.15512145891569e-05	6.56869211792795e-05	1.62476765734802	4.18252109353162	up
M00847	0.12272061494662	0.17143062778539	4.65328506416046	2.43094083428249e-05	7.26019242453495e-05	1.50714527769595	4.13905186858279	up
M00078	0.10956634740184	0.305656321870805	4.64259299764301	2.52040349665974e-05	7.47719704009058e-05	1.47186017063882	4.12626117461659	up
M00988	0.0514956028247835	0.359965042435468	4.61552504540923	2.76154903993064e-05	8.0319563579682e-05	1.38267682231776	4.09517865995317	up
M00567	0.129913025660715	0.121487152228267	4.55748796348285	3.35721540226268e-05	9.63845712262511e-05	1.19216634565046	4.01599248028363	up
M00003	0.0284262742799099	0.37825903188097	4.53377012313942	3.63530910535008e-05	0.000102386870372202	1.11459557111816	3.98975573174392	up
M00597	0.0793368174405171	-0.18981376696437	4.4761279757954	4.40839975259039e-05	0.000121094931475477	0.926779871520191	3.91687403421697	up
M00049	0.0370367216841952	0.324419843001172	4.43747189389509	5.0145172637188e-05	0.000136899397690483	0.801400358339068	3.86359846260579	up
M00086	0.0825310952539905	0.296928232078274	4.41740933484945	5.36041614150038e-05	0.00014542892257171	0.736513761484728	3.83734921339328	up
M00903	0.114005114728136	0.214852696468036	4.41562362125332	5.39230836501847e-05	0.00014542892257171	0.730744596028273	3.83734921339328	up
M00126	0.0294093860829645	0.234695205390038	4.40478597485377	5.5898732762468e-05	0.000149849012525893	0.695752962234218	3.82434611462003	up
ko03060	0.047604927847149	0.104037829739191	4.26614318979302	8.83216888011113e-05	0.000231195008920556	0.251527934010541	3.63602154577771	up
M00854	0.0399365351696136	0.277158110141586	4.25837675392687	9.05994499123605e-05	0.000235770498309944	0.226836057794368	3.62751053860805	up
M00549	0.0299917353234193	0.323309957327575	4.24018784481561	9.61598009531787e-05	0.000244520636709511	0.169090219770248	3.61168448201743	up
M00025	0.0321500502624233	0.107178600016136	4.22559583953106	0.000100859145577818	0.000252950094820575	0.122847714629176	3.59696515345626	up
M00115	0.025891181377425	0.373807633216261	4.22462368368259	0.00010118003792823	0.000252950094820575	0.119769594196398	3.59696515345626	up
M00924	0.0578593160509659	0.238618691686008	4.1599127907144	0.000124923619224815	0.000310564304776776	-0.0843627508216862	3.50784846209532	up
M00966	0.0853623007756437	-0.0666557698392866	4.14511053280701	0.000131071301315525	0.000324037383807825	-0.130843363630562	3.48940488286476	up
M00374	0.0470197529269658	0.278777674766588	4.08909683994375	0.000157103382459073	0.000382027350788455	-0.305995920359108	3.4179055431844	up
M00116	0.0534445398621227	0.350480424699646	4.07327382828655	0.000165322568735159	0.000399829038517097	-0.355259819816128	3.39812566742209	up
M00763	0.128897074190645	0.0529629762003695	4.0636107477609	0.000170545296023557	0.000410230576921528	-0.385298185888121	3.38697197221391	up
ko03420	0.0904830784716321	-0.0231301277722468	4.05260527010309	0.000176688286434365	0.000422721975609098	-0.419465821406235	3.37394517436713	up
M00031	0.125875627846572	0.0490096336850257	3.95894678795905	0.000238389172626615	0.00055833253588865	-0.708321107876903	3.2531070636323	up
M00906	0.0629725954486167	-0.124986742313969	3.93088150320549	0.000260623777298884	0.000607212465434573	-0.794195731792787	3.21665932141119	up
ko03450	0.117765519802725	-0.112327769423598	3.90325155449873	0.000284462392548552	0.000659300857729717	-0.878423552794428	3.18091635925244	up
