gene	Human_vs_Wild	Lab_vs_Wild
M00535	19.7951157791766	14.5519386997501
M00432	19.4241201044756	13.8312063545924
M00019	14.6756388060995	8.95739170144631
M00570	13.4358471219345	8.01822456714969
M00609	10.0545342678265	2.89065611008082
M00636	9.68958593253062	4.62258296430606
M00705	9.68958593253062	6.57228082103213
ko03050	8.65115645965535	3.00363781703737
M00620	8.58255618166452	4.89885336197091
M00651	8.45014222773134	6.94508865337949
M00119	8.17259282285062	6.30754724582002
ko03010	8.07148651838576	3.36252887506937
M00092	8.03847100546339	3.26476198226205
M00091	7.92046009844714	3.56250999341617
M00842	7.7366036397404	1.32848406842045
M00843	7.7366036397404	1.32848406842045
M00072	7.56659544584807	4.08719616964377
M00140	7.46272317115111	4.15283212467779
M00356	7.37286021891359	4.78105870503903
M00065	6.76806767462344	2.69073560947494
M00147	6.70999344682343	2.44620509722671
M00090	6.66315572789189	3.7750236976562
M00143	6.63158008227493	1.77266904082878
M00563	6.33548789187037	4.15292018645739
M00162	6.29266078783821	2.06979061362903
M00841	6.28271355987392	2.39029804110578
M00972	5.99172361265736	4.4609172104979
ko03015	5.88855902825608	2.16377428363881
M00730	5.80154335390272	4.59753986681271
M00077	5.60017207598157	2.96886188040947
ko00514	5.48606983499422	3.86064884127203
ko00590	5.4705653470779	0.868111622159528
M00014	5.38409425369917	2.25253994942747
M00422	5.36716380266979	1.93511390210855
M00931	5.35132269634398	1.76631191726276
M00073	5.30639360098149	2.95042947648406
M00930	5.29009254518	1.95700140301429
ko03410	5.21572827770381	1.89823098330434
M00163	5.20335871167292	2.24078571585054
M00051	5.19611702253614	2.37541805226125
M00968	5.03806488536611	5.51652769290444
M00934	4.99858710666778	2.89747720624493
M00967	4.84145216347087	2.12696832936704
M00377	4.80849983858437	1.76657009986707
M00596	4.75162526377167	2.89459917180998
ko03020	4.63333543108254	2.56240934348616
M00055	4.62665178251924	2.4282036997946
M00024	4.51575057256614	0.84530889117289
M00357	4.47273770357671	3.45228130827314
M00146	4.47058176730693	1.31613106516599
ko03018	4.46803722174477	2.06933112130098
M00617	4.44821828886467	3.47479121339239
