gene	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K00052	164.828001885	169.228320526	38.314907034	82.04294238	76.63718064	48.752631965	34.540069991	93.83660275	18.453495364	46.630801496	11.71192928	5.746469678	12.36798994	39.670103104	6.038029876	2.416888145	37.459484887	5.853361855	3.25770927	4.48244618	111.663017044	210.73869826	178.277350752	167.48326904	182.246869285	194.98620608	119.35571429	28.56267787	150.001866896	150.9674606	33.27763906	15.54012878	22.224276714	25.5103752	34.17361578	30.33392146	37.570340434	28.05227997	44.295323906	13.4173603	186.732968606	224.790638431	261.721374532	273.025841579	146.281761512	236.926783906	225.61789684	246.721716065	199.57685681	230.36229011
K00053	201.07658235	192.35650674	47.7663575	99.35010812	78.11042815	60.86258777	44.49544882	101.28517513	20.49302412	56.99030998	17.76206573	7.51260772	18.86548453	53.49733183	8.102919091	1.93735135	44.933085848	9.056977195	2.74192345	5.64641279	106.175214604	234.077656795	180.48080242	175.07700625	217.741430676	213.66976516	150.981148834	39.271619305	143.38891619	180.36936703	41.86806817	19.311891631	21.252740644	32.571943624	32.421044115	41.73883897	44.282407428	33.88805416	53.778199347	14.56289178	196.359365526	334.703200583	312.565698989	245.013931091	154.465045109	277.05695033	258.82617617	238.556865486	263.051750043	202.687270995
K00826	241.359401672	225.64105274	78.348941235	162.55101054	108.62436115	87.962201046	63.607636388	142.289366434	28.17332802	74.83372903	22.079272225	11.32026075	20.334839134	47.541323688	11.80418651	2.92022817	44.44568259	13.059088571	3.489574617	5.36563768	187.58888895	256.774774814	360.961374859	233.85329947	328.648833105	298.486724334	226.113341726	72.000754656	211.463077664	265.041266448	40.49320053	32.4032617	31.8561686	31.04897425	41.903978008	45.94705435	59.052597055	53.05778806	71.668366951	24.404173455	216.564327501	270.066983317	277.039240774	256.90317796	190.174188599	282.16531978	249.574409926	303.219560631	227.782608304	227.462529919
K01649	211.665632514	191.18270506	54.19713432	128.91410973	126.62791238	77.85563736	48.48032716	115.425268409	27.52513974	55.985493035	20.15415731	8.608538905	19.982454854	42.960609344	11.34506852	2.914417615	45.00655357	9.0347376	3.77723393	4.77847092	131.37576603	286.062360481	271.531824751	238.99701917	311.691806307	278.55048464	238.927027621	45.077506336	228.09031828	265.426419432	41.888904635	26.479096315	27.733968765	33.268803214	44.55609033	43.26955674	49.070017339	41.516173994	61.975754102	16.891157003	231.394429776	405.563333505	413.165246262	321.569601768	210.432232756	365.33018396	351.386365585	399.77934433	322.641993257	264.376118014
K01652	221.500755794	331.418389255	59.57303311	119.85111536	276.64904805	75.184110375	55.614108203	118.2315537	584.169643579	62.464264005	18.79801809	9.203820092	19.803174527	42.391665475	9.090127728	3.146483535	40.991515535	9.016461841	2.9067303	5.16620574	157.09466212	290.774279435	339.644027862	392.19163424	327.077682122	417.546777383	341.493494303	185.36246683	466.048507716	413.980752278	36.83131472	29.734307622	23.952745503	31.24938799	295.63324177	44.76331996	47.50734594	43.427000406	63.871752421	483.885862193	388.921129909	463.96184641	439.942918374	444.461953338	542.780048362	960.295380273	564.319514027	889.662295141	388.045659882	441.158506695
K01653	194.457246889	202.805644101	50.666794509	104.990768985	107.922519076	62.955546886	38.345446567	104.35782123	16.92696641	56.52188344	13.2497274	6.730996249	15.20307875	36.800566383	9.016830095	1.96493194	39.06262118	6.119784935	3.37447687	4.42716403	113.245808675	262.171957394	228.4510519	162.45790345	206.701762613	266.86621294	142.436036711	32.11948868	141.196144304	206.93601338	37.76016552	21.268673999	20.401162235	30.410511861	28.51989383	37.19347812	40.061468392	34.147077656	52.384141779	13.391404745	189.135171989	274.631399481	258.890129136	235.299904265	153.795740322	399.880858931	260.95787084	160.05154962	205.01805451	195.844610011
K01687	218.467796006	251.60720539	59.146235444	125.61590225	110.83506357	78.566317634	48.209765503	124.931519666	31.304322348	64.807406474	23.106380576	9.37029901	18.819947106	49.722058216	10.447347695	4.02137295	45.46345397	10.253134362	4.18238548	5.79312185	179.49970727	282.352339375	294.974564623	210.27194084	278.172247586	270.865549055	188.32395209	45.38319538	173.951199137	245.291454683	45.2343795	23.568194755	28.767228506	35.626943205	59.3259975	44.6345463	57.24195982	46.71894302	74.948819331	24.686842266	289.949478561	376.472859419	534.59697569	429.321709448	225.573213238	316.24701656	284.654453975	295.61674965	331.434190394	315.819250895
K01703	192.126247749	166.89823255	41.7005158	117.6557883	96.434080763	55.48812494	44.75512572	91.91601405	28.90367716	53.874728704	16.184219374	6.479759258	11.875647268	43.123285802	8.290288456	1.96998601	41.650005896	7.72462139	3.1595015	4.440201978	106.486278357	238.838425427	282.638896385	187.352942103	262.856032641	234.222960719	174.324247764	42.80782479	167.137227766	197.05046805	34.29777922	20.181239706	20.459146156	27.022905213	35.16450365	31.88114485	39.87294518	29.280788125	51.238217468	15.560661396	221.453156911	318.091588042	191.832038395	294.032835836	181.799768253	278.639562084	346.76475483	291.03934777	225.329598327	259.391776046
K01704	177.802485128	166.363179136	42.892626721	101.732083345	83.40999213	60.3287419	36.612059844	89.762293567	21.93378348	51.86392151	14.323620366	5.95218295	12.23450199	44.905921034	8.07948637	1.94591517	38.98579225	6.591576494	2.1625968	4.49226074	100.668559184	238.312181481	227.759553319	150.675862638	200.358521276	192.40428233	132.451162894	30.63070868	128.36228166	155.023120005	36.918217395	16.500508808	19.19834914	28.177759162	24.686823451	34.15158835	39.461086174	31.29501369	45.75120734	14.09715119	173.495773355	259.998536404	278.12769724	185.48426719	141.361391187	240.20557655	205.46489095	219.10635936	177.567736965	198.371785081
K01754	176.12824629	220.339412825	39.280810015	76.91572792	145.94445699	49.95646016	22.643960409	53.810389574	83.34602111	47.13887133	16.588581714	5.16637166	13.19284499	51.768804502	4.90420388	3.25872828	41.28778458	5.41253323	3.201179234	4.61203578	155.49786755	123.039265105	150.296457727	276.24503345	158.974423165	209.429352843	179.384212624	113.239525236	163.96816523	192.469798316	37.14740321	10.55741511	17.907861032	27.757460729	78.14375174	31.22814177	39.11610795	21.02033555	25.749092329	281.5107845	212.606640372	223.62422923	300.77911831	238.615342049	136.748579405	352.501203032	241.235423564	246.01574455	251.742219039	234.696370032
K09011	15.48406472	75.43117574	12.05801811	15.87610232	11.27029371	8.87003129	12.0284826	41.88175817	5.10551599	9.23461256	3.97796878	0	1.62768776	2.56739137	1.00140062	0.07605627	1.67035809	2.60403865	0.5063171	0	45.336849	102.01720332	47.79233277	45.71423049	76.78472286	78.614493696	44.17862835	20.98054364	29.21849758	66.91366074	3.606922365	3.637058674	4.87605832	2.93379889	4.73154819	6.01417865	7.18490682	13.30083993	20.623972996	11.888130584	25.964544418	34.029275821	2.34620827	13.09146869	41.206832824	12.48393247	16.13239076	35.976835376	28.496133718	26.941769456
K17989	0.32420437	0.87985939	0.30169848	0	0	0	0	0	0.28161806	0	0	0	0	0	0	0.17539525	0	0	0	0	0	0	0.37732416	0.3953509	0.69064194	0	0	8.07075548	0	0	0	0	0	0	0	0	0	0	0	0.85809958	0.2261497	0	5.17700463	1.86260418	1.6514276	3.39568676	6.14365037	1.0370865	0	1.12815375
K11258	0	30.8529375	0	0	0	0	0.14868562	0.7726685	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6103585	0	0	0	0.299705064	0	0	0	0.3076322	0	0	0	0	0	0	0.19306287	0	0.19106147	0	20.94046552	25.88190362	19.55288525	14.19709625	4.68738713	149.7356089	35.84159486	3.73829973	20.62871966	11.93106793
