gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00609	0.0635876660796768	0.268509714553442	7.30902700721676	1.84562091398345e-09	4.10650653361318e-07	11.4349997630118	6.38652748185654	up
M00842	0.0546603215813286	0.414502631508012	7.00708204796876	5.50836463377487e-09	5.95644025703106e-07	10.3626222739975	6.225013209823	up
M00843	0.0546603215813286	0.414502631508012	7.00708204796876	5.50836463377487e-09	5.95644025703106e-07	10.3626222739975	6.225013209823	up
ko03050	0.132514630110507	-0.0843770573457069	6.10989225450938	1.416111024093e-07	7.00188228579314e-06	7.18375988726909	5.15478519477924	up
M00432	0.182646393699039	0.411167090756281	6.05101862148467	1.7505348426862e-07	7.24024505655697e-06	6.97659510656531	5.14024673422974	up
M00535	0.208133158566504	0.38052374739145	6.02530605149725	1.92022308320102e-07	7.24024505655697e-06	6.88620823913586	5.14024673422974	up
M00019	0.191963047796923	0.335937491712034	6.02068267765508	1.95242563322885e-07	7.24024505655697e-06	6.86996185864011	5.14024673422974	up
M00570	0.188267560166883	0.286367510042985	5.79844431518735	4.33423408219018e-07	1.20545885410914e-05	6.09144216790511	4.91884760879405	up
ko00590	0.0632306725407325	-0.0362300107287156	5.65271869242427	7.29385010588652e-07	1.66732764823429e-05	5.58390912924278	4.77797904813966	up
M00143	0.0684788165916825	-0.210306901870422	5.61460085936522	8.35456584269564e-07	1.77037228571408e-05	5.45159533650256	4.75193539768883	up
M00636	0.152919922820129	-0.0411107912269429	5.5852706499795	9.27359692934351e-07	1.8757957425263e-05	5.34991869845294	4.72681445418899	up
M00092	0.105666949762609	-0.157977876705826	5.41309711338739	1.70761404047567e-06	3.16620103338197e-05	4.75558134618915	4.49946151369455	up
ko03010	0.0429746796124651	0.160754339400864	5.35187043430139	2.11965818085003e-06	3.46276856221145e-05	4.54534980166037	4.46057653401026	up
M00156	0.160202864694428	0.128618522272055	5.14909162722357	4.31949520695974e-06	6.00679802217838e-05	3.85380380889204	4.22135697090401	up
M00011	0.0422133721806624	0.270347744056497	5.11313871797587	4.89717471989303e-06	6.60376591015878e-05	3.73201018742935	4.18020832997741	up
M00147	0.0769493137466822	-0.176355384556768	5.06356883422352	5.8202746842415e-06	7.00332063830225e-05	3.56452141677373	4.15469598956553	up
M00162	0.105224500663439	-0.0156350563389889	5.05882658260361	5.91709267627968e-06	7.00332063830225e-05	3.54852501187148	4.15469598956553	up
M00091	0.0769510149861807	-0.0121816246164982	5.05576861768139	5.9803636911345e-06	7.00332063830225e-05	3.53821251268	4.15469598956553	up
M00065	0.12570586843067	-0.145082031862184	4.91019803401154	9.90228267226065e-06	0.000104003223282157	3.04967339601738	3.98295320077851	up
