Human_vs_Wild_down	Human_vs_Lab_down
M00364	M00700
M00833	M00004
ko00550	M00702
M00834	M00725
M00020	M00736
M00082	M00978
ko01055	ko00960
M00702	M00554
M00550	M00896
ko03440	M00542
M00856	ko00542
M00815	M00939
M00992	ko02010
M00888	M00632
ko00791	M00525
M00912	ko00552
M00093	M00580
M00046	M00015
M00088	M00660
M00793	M00021
M00704	M00801
M00883	ko00909
M00034	M00006
M00639	M00840
M00780	M00888
M00039	M00564
M00673	M00046
M00016	ko00550
ko02030	M00345
M00835	M00134
M00895	
M00632	
M00554	
M00097	
M00526	
M00021	
M00344	
M00004	
M00919	
ko00909	
M00038	
M00853	
ko00903	
M00852	
M00886	
M00958	
M00959	
M00746	
ko00571	
M00948	
M00700	
M00010	
ko00363	
M00153	
ko00591	
M00061	
M00827	
M00832	
M00569	
ko02025	
M00137	
M00714	
ko03070	
ko00982	
M00904	
M00006	
M00529	
ko04122	
M00984	
M00878	
M00168	
M00172	
M00170	
ko02060	
M00885	
M00042	
M00530	
M00018	
M00769	
ko00908	
M00851	
M00015	
M00538	
M00641	
M00564	
M00696	
M00175	
M00555	
M00027	
ko00625	
M00982	
M00698	
M00846	
M00991	
M00134	
M00022	
M00622	
M00672	
M00568	
M00744	
M00008	
M00017	
M00531	
ko01053	
M00887	
M00419	
M00674	
M00745	
M00664	
M00736	
M00975	
ko00902	
M00697	
M00989	
M00973	
ko00643	
ko00401	
ko00642	
M00552	
M00537	
ko00960	
ko00984	
ko00930	
M00985	
M00040	
ko02010	
M00117	
M00136	
M00417	
M00416	
ko02026	
M00616	
M00595	
M00012	
M00540	
M00533	
M00990	
M00615	
M00546	
M00957	
M00087	
ko00364	
M00879	
M00545	
M00956	
M00534	
M00638	
M00939	
M00960	
M00649	
M00875	
M00915	
M00548	
M00918	
ko00907	
M00551	
M00637	
M00044	
