Human_vs_Wild_up	Human_vs_Lab_up
M00535	M00011
M00432	M00032
M00019	M00156
M00570	M00009
M00609	M00171
M00636	M00155
M00705	M00176
ko03050	M00842
M00620	M00843
M00651	ko00791
M00119	M00609
ko03010	M00746
M00092	ko00980
M00091	ko00982
M00842	M00149
M00843	M00150
M00072	M00568
M00140	ko00590
M00356	M00921
M00065	M00982
M00147	ko03050
M00090	M00143
M00143	M00307
M00563	M00124
M00162	M00024
M00841	
M00972	
ko03015	
M00730	
M00077	
ko00514	
ko00590	
M00014	
M00422	
M00931	
M00073	
M00930	
ko03410	
M00163	
M00051	
M00968	
M00934	
M00967	
M00377	
M00596	
ko03020	
M00055	
M00024	
M00357	
M00146	
ko03018	
M00617	
M00621	
M00076	
M00860	
M00797	
M00970	
M00618	
M00096	
M00145	
M00847	
M00078	
M00988	
M00567	
M00003	
M00597	
M00049	
M00086	
M00903	
M00126	
ko03060	
M00854	
M00549	
M00025	
M00115	
M00924	
M00966	
M00374	
M00116	
M00763	
ko03420	
M00031	
M00906	
ko03450	
M00079	
M00829	
M00938	
M00358	
ko00970	
M00130	
M00866	
ko03022	
M00949	
M00048	
M00916	
M00800	
M00173	
M00614	
M00652	
M00814	
M00577	
M00001	
M00063	
M00133	
M00798	
M00825	
M00156	
M00608	
M00627	
M00159	
M00052	
M00935	
M00375	
M00914	
M00850	
M00803	
M00802	
M00035	
M00075	
M00612	
M00169	
M00898	
M00309	
ko01051	
M00011	
M00165	
M00922	
M00307	
ko03030	
M00932	
M00094	
M00074	
M00148	
M00836	
M00787	
ko01052	
ko00511	
M00774	
M00053	
M00029	
M00083	
M00740	
M00081	
M00779	
