module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
M00842	0.0546603215813286	0.414502631508012	7.00708204796876	5.50836463377487e-09	5.95644025703106e-07	10.3626222739975	6.225013209823	up	0.461581338042793	0.400395643793597	0.441452721172761	0.410666011099781	0.392982236265829	0.449670479030993	0.414769622742199	0.438854025977196	0.387987575023867	0.455701379570974	0.411954624402989	0.451256671349686	0.462098978928462	0.485180481874035	0.419979445701495	0.407514176031563	0.479806839341128	0.439360676755778	0.470161521753984	0.481890037608018	0.385006762152445	0.414141948437873	0.406524194388242	0.37328767776179	0.40834835291952	0.409447478105433	0.396854347962752	0.352457408014325	0.403499664862005	0.400080474314366	0.475586780192168	0.412340666272568	0.39641369504924	0.46530663184228	0.410668102403794	0.455771366277396	0.436695404103055	0.420719881918252	0.430948960232827	0.423286829457593	0.355851549720675	0.376049443570914	0.376522664242202	0.365689698884199	0.383368931136259	0.353552578471481	0.357476465860786	0.393414681956865	0.354678704307224	0.367875744114939
ko03050	0.132514630110507	-0.0843770573457069	6.10989225450938	1.416111024093e-07	7.00188228579314e-06	7.18375988726909	5.15478519477924	up	-0.0898069339582068	-0.0728996445633477	-0.0221412950890445	0.028961003217141	-0.117033222347434	-0.12516435950093	-0.0121421398931999	-0.0733276169015732	0.0128068548707489	-0.0237753002695677	-0.0979325294008748	-0.0745842544566052	0.028757934365942	0.0742230175370312	-0.00974823260366624	-0.0694881379004303	0.00317618014468088	-0.0848499196703036	-0.0127367857050669	-0.0392583667820902	-0.0212036070518347	-0.160118561953678	-0.14728945211113	-0.137601980490548	-0.157038969594605	-0.15908963273733	-0.159493457432209	0.170886418187045	-0.14042062002033	-0.150509741033894	-0.0827678684770213	0.0531579645408232	-0.0857647266154817	-0.111089062707231	0.0388730701260727	-0.0470244734496353	0.0137257684449667	-0.023960037575589	-0.0563961387543251	0.13707309432909	-0.226709588820536	-0.210399304893619	-0.219742765307923	-0.246588188385445	-0.231613753163504	-0.200927053854287	-0.219037708322567	-0.207289297901282	-0.216718084823469	-0.236811358529072
M00143	0.0684788165916825	-0.210306901870422	5.61460085936522	8.35456584269564e-07	1.77037228571408e-05	5.45159533650256	4.75193539768883	up	-0.175034294499296	-0.242818569740143	-0.209311477766454	-0.21653843894829	-0.196479934443602	-0.180616672711135	-0.225404166838026	-0.208098790402608	-0.237694917147272	-0.194775617067386	-0.173324160860983	-0.152659312674371	-0.0897776109027801	-0.082092996516164	-0.177453852964889	-0.152495436003581	-0.185237994827411	-0.164261780966299	-0.144645743472743	-0.142744774091579	-0.227501788224138	-0.223339320786073	-0.212228482506515	-0.204034648967018	-0.227485400557059	-0.230631832636225	-0.223109893446967	-0.295313954597016	-0.206394473026393	-0.218603285000244	-0.170407156120922	-0.102173798860305	-0.180813324716083	-0.171259314809029	-0.195086982741887	-0.181452443732164	-0.218931038341824	-0.211999055167409	-0.215047161244102	-0.288824438433734	-0.278532983508126	-0.307981621249078	-0.293986553563617	-0.303540563470671	-0.278338964013144	-0.29988796465866	-0.294117654900249	-0.199339855305492	-0.274288577734666	-0.22922601835728
M00843	0.0546603215813286	0.414502631508012	7.00708204796876	5.50836463377487e-09	5.95644025703106e-07	10.3626222739975	6.225013209823	up	0.461581338042793	0.400395643793597	0.441452721172761	0.410666011099781	0.392982236265829	0.449670479030993	0.414769622742199	0.438854025977196	0.387987575023867	0.455701379570974	0.411954624402989	0.451256671349686	0.462098978928462	0.485180481874035	0.419979445701495	0.407514176031563	0.479806839341128	0.439360676755778	0.470161521753984	0.481890037608018	0.385006762152445	0.414141948437873	0.406524194388242	0.37328767776179	0.40834835291952	0.409447478105433	0.396854347962752	0.352457408014325	0.403499664862005	0.400080474314366	0.475586780192168	0.412340666272568	0.39641369504924	0.46530663184228	0.410668102403794	0.455771366277396	0.436695404103055	0.420719881918252	0.430948960232827	0.423286829457593	0.355851549720675	0.376049443570914	0.376522664242202	0.365689698884199	0.383368931136259	0.353552578471481	0.357476465860786	0.393414681956865	0.354678704307224	0.367875744114939
M00609	0.0635876660796768	0.268509714553442	7.30902700721676	1.84562091398345e-09	4.10650653361318e-07	11.4349997630118	6.38652748185654	up	0.310824738496731	0.259696084636753	0.296418651297631	0.289379027371427	0.266167379452873	0.295754043829075	0.254102069568998	0.312240022143134	0.24545608097964	0.308153232125948	0.308098201385641	0.269613792212393	0.329029012302443	0.28925742063385	0.313906178619747	0.329129044158801	0.306652566263941	0.304909302099361	0.344439582136333	0.288302849058013	0.26448457983011	0.270137864881974	0.247063850356262	0.270066391757639	0.227855344944296	0.246570550920103	0.248555153447069	0.226036003973807	0.275385678891921	0.253095275993665	0.321419658673846	0.24997091682302	0.333021231077971	0.318434610018142	0.292617411038469	0.306331897108138	0.315826129577444	0.279537027330502	0.261310853536999	0.218344415602117	0.234132177956441	0.211725342994092	0.227733263343154	0.208821899721454	0.200707832160835	0.172898981323849	0.211060063921345	0.192746865619401	0.222030507667956	0.196034668407344
ko00590	0.0632306725407325	-0.0362300107287156	5.65271869242427	7.29385010588652e-07	1.66732764823429e-05	5.58390912924278	4.77797904813966	up	-0.0270340959018569	-0.0773311408357272	0.0220412182692636	0.0493477687165463	-0.0871671829832645	-0.0643615034551019	-0.0107670779695238	-0.030786880783919	-0.0421623095291772	0.0462241117197039	-0.0389034045430062	-0.0392186692232495	0.0535715890718229	0.0441663772778727	0.018984903878769	-0.04498096382102	0.0200232609041473	-0.0484828017919683	-0.0147423145318627	0.00243852866341273	0.00472396002611371	-0.059474104158252	-0.0790641999664286	-0.0702802668609817	-0.0692546183218452	-0.090172043844308	-0.081202258360637	0.0136533710789588	-0.0787224782155012	-0.0859907368912442	-0.0288119510896595	0.0594013394501451	-0.023567638888143	-0.0601833045210209	0.00753881601577075	-0.0223248558222721	0.0174762141891943	0.015764118277988	0.00214119633019765	-0.0264255984467401	-0.119662790577742	-0.145039666952521	-0.0570951581467311	-0.0565075519304938	-0.0714139480376427	-0.0809624845752991	-0.107332267220627	-0.058063197791273	-0.111434494306921	-0.0800733500097274
M00156	0.160202864694428	0.128618522272055	5.14909162722357	4.31949520695974e-06	6.00679802217838e-05	3.85380380889204	4.22135697090401	up	0.279876961381799	0.101613456998366	0.221155465615035	0.198206269810529	-0.0350286383813502	0.251523410681698	0.0444482981893664	0.211743140430124	-0.0902386887704818	0.255831759521211	0.213277628780466	0.253806054216274	0.270980001421059	0.290192001434027	0.219501209558482	0.221553975622606	0.282454717835342	0.201121500855554	0.271195009230786	0.294214199701991	0.0536143612556245	0.216928021879553	0.0710168050709016	-0.0516457327994504	0.000767943611352855	-0.0662016762406069	-0.0532083869871095	-0.172291737835006	0.0129171542139179	-0.0485999857843137	0.292361065592563	0.186254317875903	0.203063768277509	0.279387675713148	-0.00353154225552323	0.268636076379581	0.236703307267699	0.250204875651365	0.265764105266669	-0.15528133940701	0.00436945225380671	-0.0516622734704809	0.157573775128975	0.0672995359996545	0.0938246582834959	0.0965443595479512	0.153513120992859	0.107037395596877	-0.00780298690345637	0.0659422652934139
M00024	0.0278129233190567	0.1295752024412	4.81203417242881	1.38798322686514e-05	0.000126051537949997	2.72300904066167	3.89945185114483	up	0.148614369061957	0.162218917728559	0.119835111023013	0.13635815585811	0.121563829849182	0.133171459328114	0.134533684799194	0.138448986475945	0.171905690594975	0.125256814220127	0.12497795153756	0.156548964134067	0.145036310547861	0.147781860726181	0.140354542525649	0.150342849315769	0.156305499421556	0.127688112205844	0.175417616902914	0.176682387218426	0.116910315270123	0.144125310874794	0.132406834192993	0.101123020709751	0.123156034363781	0.115675843105217	0.133250784969273	0.130644356185714	0.0974103444017373	0.108110668167894	0.146589300674319	0.0889075340978062	0.142120672071738	0.167924392030249	0.13382345009773	0.146978023227039	0.124832347197162	0.12969562874808	0.112078023636015	0.135018667809526	0.0989079448591434	0.136222610123863	0.101152664175475	0.0948113777379051	0.0983534559512668	0.112140894998652	0.110325914095761	0.0884077779442592	0.115900906670578	0.0987119101971285
M00011	0.0422133721806624	0.270347744056497	5.11313871797587	4.89717471989303e-06	6.60376591015878e-05	3.73201018742935	4.18020832997741	up	0.314138258034542	0.307678453229715	0.294492473065359	0.275201457741962	0.215074458378304	0.30455618705976	0.26552349427172	0.299532392546165	0.2177982762309	0.307553467049717	0.280289544927825	0.304250241616379	0.295628679223274	0.309196824308606	0.283363901291579	0.291825228922753	0.317486956507594	0.293259189031995	0.331938439212928	0.312349989139777	0.242642932134456	0.273421481977675	0.249051563845251	0.210244309968477	0.245890177525768	0.218458414638255	0.225887703306294	0.208388168260512	0.205089546854272	0.224240915341249	0.302918389203799	0.269820584161319	0.285688235631536	0.297020326276073	0.224005494290015	0.29796619248099	0.306760436599193	0.288983933697777	0.298378989974897	0.224312293756401	0.245765101014682	0.256818134990607	0.257773020324001	0.250170103800966	0.25039423889047	0.282608108210452	0.260208278316781	0.28835307877365	0.247482961870636	0.257506174917533
M00307	0.0272335456434182	0.320179409897078	3.50963346240862	0.000952223719787685	0.00331046527582438	-1.32016163360916	2.48011096316613	up	0.351246097081107	0.286740335565664	0.324178735653202	0.323370508673508	0.345764402078702	0.324743744822522	0.282694045196132	0.32858165923756	0.358226335043522	0.331155423600372	0.319875215602985	0.364737440520754	0.340459170429244	0.317191537212146	0.325287750158901	0.360217770281833	0.335643208563329	0.313400214533451	0.393484950621213	0.385822286939544	0.287784963681042	0.312361623427481	0.271913941428769	0.316293783081994	0.289878503491737	0.317590511010378	0.314313414982216	0.272226265077048	0.320619835065926	0.315722614835034	0.344710135121485	0.328361817443818	0.327154103361108	0.328505037104561	0.333255557601912	0.314106083252656	0.353216706734471	0.299606134362791	0.286357465940052	0.304090971894827	0.333190393533702	0.298890132113224	0.264815525701415	0.30165153189215	0.332107596132111	0.263879511475183	0.270020899896306	0.345838432718283	0.326107382315291	0.32157878836126
